VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_JA,VO_VI,Word_Count_EN,Pause_After
"1","PV_0007","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The television is on. You can see the capital burning. The ticker at the bottom says allied strikes. As if that explains anything.","テレビがついている。首都が燃えている。下のテロップが同盟軍の攻撃と表示する。それで何か説明できるかのように。","TV đang bật. Bạn thấy thủ đô đang cháy. Dòng chạy phía dưới ghi không kích đồng minh. Như thể điều đó giải thích được gì.","18","0"
"2","PV_0007","BEAT_01_01","HOOK","ESTABLISH","NARRATION","You're sitting on a sofa in a suburb ten thousand kilometers away. There's a glass of tea on the side table. Your wife made it two hours ago. It's cold now.","あなたは一万キロ離れた郊外のソファに座っている。サイドテーブルにお茶のグラス。妻が二時間前に作った。もう冷めている。","Bạn ngồi trên sofa ở ngoại ô cách đó mười nghìn cây số. Có ly trà trên bàn bên. Vợ pha hai tiếng trước. Giờ nguội rồi.","26","0.5"
"3","PV_0007","BEAT_01_02","HOOK","CONSTRAINT","NARRATION","Your country is being bombed. The flashes on screen look like fireworks from this distance. You are not there.","あなたの国が爆撃されている。画面の閃光はこの距離から花火のように見える。あなたはそこにいない。","Đất nước bạn đang bị đánh bom. Lóe sáng trên màn hình trông như pháo hoa từ khoảng cách này. Bạn không ở đó.","18","0"
"4","PV_0007","BEAT_01_02","HOOK","CONSTRAINT","NARRATION","You haven't been there since you were seventeen. Forty-seven years. Almost half a century of watching from the outside.","十七歳からそこにいない。四十七年。ほぼ半世紀外から見ている。","Bạn chưa ở đó từ mười bảy tuổi. Bốn mươi bảy năm. Gần nửa thế kỷ nhìn từ bên ngoài.","15","1.0"
"5","PV_0007","BEAT_01_03","HOOK","REFLECT","WEIGHT_LINE","You lost a country before you were old enough to understand what it was.","国を失った -  - それが何か理解できる年齢になる前に。","Bạn mất một đất nước trước khi đủ tuổi hiểu nó là gì.","14","2.0"
"6","PV_0007","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You are seven.","あなたは七歳。","Bạn bảy tuổi.","3","1.0"
"7","PV_0007","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You live in a palace. The ceilings are so high your voice echoes when you call for your mother. The marble is cold under your bare feet in the mornings.","宮殿に住んでいる。天井が高すぎて、母を呼ぶと声が反響する。朝、素足の下の大理石が冷たい。","Bạn sống trong cung điện. Trần cao đến nỗi tiếng bạn vang vọng khi gọi mẹ. Sáng sớm đá cẩm thạch lạnh dưới chân trần.","24","0"
"8","PV_0007","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","There are rose gardens you're not allowed to play in. Guards who salute when you walk past but whose faces you can't tell apart.","遊んではいけないバラ園がある。通り過ぎると敬礼する警備員だが顔の区別がつかない。","Có vườn hồng bạn không được chơi. Lính gác chào khi bạn đi qua nhưng bạn không phân biệt nổi mặt họ.","20","0.5"
"9","PV_0007","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","They put you in a miniature military uniform for the national holiday. Gold buttons. A tiny sword. You wave from the balcony. The crowd below you waves back. Thousands of faces you will never see again.","国の祭日に小さな軍服を着せられる。金のボタン。小さな剣。バルコニーから手を振る。下の群衆が振り返す。二度と見ることのない何千もの顔。","Họ mặc cho bạn quân phục thu nhỏ cho ngày lễ quốc gia. Nút vàng. Kiếm nhỏ. Bạn vẫy từ ban công. Đám đông bên dưới vẫy lại. Hàng nghìn khuôn mặt bạn sẽ không bao giờ gặp lại.","28","0"
"10","PV_0007","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","Your father rules a dynasty older than most countries on earth. Two thousand five hundred years of unbroken succession. Kings and conquerors and oil barons.","あなたの父は地球上のほとんどの国より古い王朝を治める。二千五百年の途切れない継承。王と征服者と石油王。","Cha bạn trị vì triều đại lâu hơn hầu hết quốc gia trên trái đất. Hai nghìn năm trăm năm kế vị liên tục. Vua và chinh phạt và ông trùm dầu mỏ.","22","0"
"11","PV_0007","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","You are the next link in the chain. And then you.","あなたは次のつながり。そしてあなた。","Bạn là mắt xích tiếp theo. Rồi đến bạn.","10","1.0"
"12","PV_0007","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","You are seventeen. They send you abroad for pilot training. Your mother holds your face at the airport and says something you don't hear over the engine noise.","あなたは十七歳。海外にパイロット訓練に送られる。母が空港であなたの顔を持ち、エンジン音にかき消されて聞こえない何かを言う。","Bạn mười bảy tuổi. Họ gửi bạn ra nước ngoài học lái máy bay. Mẹ ôm mặt bạn ở sân bay và nói điều gì đó bạn không nghe thấy qua tiếng động cơ.","25","0"
"13","PV_0007","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","You pack a bag. You don't look back at the palace. You don't know it's the last time.","鞄を詰める。宮殿を振り返らない。最後だとは知らない。","Bạn xếp vali. Bạn không ngoái lại cung điện. Bạn không biết đó là lần cuối.","14","0"
"14","PV_0007","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","You'll be back in a year. That's what everyone says. Everyone is wrong.","一年で戻る。みんなそう言っている。みんな間違っている。","Bạn sẽ về trong một năm. Ai cũng nói vậy. Ai cũng sai.","12","0.5"
"15","PV_0007","BEAT_02_04","PHASE_EARLY","CRISIS","NARRATION","The revolution happens while you're on the other side of the ocean. You hear about it on a television in a foreign dormitory.","あなたが海の向こうにいる間に革命が起こる。外国の寮のテレビで知る。","Cuộc cách mạng nổ ra khi bạn ở bên kia đại dương. Bạn nghe tin trên TV trong ký túc xá nước ngoài.","18","0"
"16","PV_0007","BEAT_02_04","PHASE_EARLY","CRISIS","NARRATION","Your family flees. The palace goes dark. Then it reopens as a museum of your dynasty's crimes  -  admission is free.","家族が逃げる。宮殿が暗くなる。そして王朝の犯罪の博物館として再開する -  - 入場無料。","Gia đình bạn chạy. Cung điện tắt đèn. Rồi mở lại thành bảo tàng tội ác triều đại  -  vào cửa miễn phí.","18","0"
"17","PV_0007","BEAT_02_04","PHASE_EARLY","CRISIS","NARRATION","Your bedroom is an exhibit. Your toys behind glass. Your name on the caption underneath. Visitors take photos.","あなたの寝室が展示品になる。おもちゃがガラスの後ろに。名前がキャプションに。訪問者が写真を撮る。","Phòng ngủ bạn thành hiện vật. Đồ chơi sau kính. Tên bạn trong chú thích bên dưới. Khách tham quan chụp ảnh.","15","0.5"
"18","PV_0007","BEAT_02_05","PHASE_EARLY","CONSTRAINT","NARRATION","You try to call home. The line is dead. You try again the next day. And the next.","家に電話しようとする。回線は切れている。翌日また試す。その翌日も。","Bạn thử gọi về nhà. Đường dây chết. Bạn thử lại ngày hôm sau. Và ngày sau nữa.","14","0"
"19","PV_0007","BEAT_02_05","PHASE_EARLY","CONSTRAINT","NARRATION","You can't go back.","戻れない。","Bạn không thể quay lại.","4","0"
"20","PV_0007","BEAT_02_05","PHASE_EARLY","CONSTRAINT","WEIGHT_LINE","No one can go back.","誰も戻れない。","Không ai quay lại được.","5","2.0"
"21","PV_0007","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","You are twenty. Your father dies in a borrowed palace in a borrowed city. The doctors say cancer. He knew for years. He told no one.","あなたは二十歳。父が借りた宮殿で借りた都市で死ぬ。医者は癌と言う。何年も知っていた。誰にも言わなかった。","Bạn hai mươi tuổi. Cha bạn chết trong cung điện mượn ở thành phố mượn. Bác sĩ nói ung thư. Ông biết từ nhiều năm. Không nói ai.","22","0"
"22","PV_0007","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","He ruled a dynasty older than most civilizations. And he died in a room that wasn't his, in a city that offered him shelter out of pity.","ほとんどの文明より古い王朝を治めた。そして同情から避難所を提供した都市の、自分のものではない部屋で死んだ。","Ông trị vì triều đại lâu hơn hầu hết nền văn minh. Và chết trong phòng không phải của mình, ở thành phố cho ông trú ẩn vì thương hại.","25","0"
"23","PV_0007","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","The world sends condolence telegrams. You read them in a rented apartment. You are twenty years old and the heir to nothing.","世界が弔電を送る。賃貸アパートで読む。あなたは二十歳で何も受け継がない後継者。","Thế giới gửi điện chia buồn. Bạn đọc trong căn hộ thuê. Bạn hai mươi tuổi và thừa kế hư không.","18","1.0"
"24","PV_0007","BEAT_03_02","PHASE_CONFLICT","REFLECT","NARRATION","You declare yourself successor. To a throne that no longer exists. You say the words in a small room with no crown, no ceremony  -  just you and a tape recorder and the sound of traffic outside.","後継者を宣言する。もう存在しない王座の。小さな部屋で。王冠なし。式典なし。あなたとテープレコーダーと外の交通音だけ。","Bạn tuyên bố kế vị. Một ngai vàng không còn tồn tại. Nói trong phòng nhỏ không vương miện, không nghi lễ  -  chỉ bạn và máy ghi âm và tiếng xe ngoài đường.","30","1.0"
"25","PV_0007","BEAT_03_03","PHASE_CONFLICT","CRISIS","NARRATION","Years pass. You settle in a suburb. You marry. You have three daughters. You speak to your country through press conferences no one in your country can hear.","年月が過ぎる。郊外に定住。結婚する。三人の娘ができる。国内の誰も聞けない記者会見で祖国に語る。","Năm tháng trôi. Bạn định cư ở ngoại ô. Cưới. Có ba con gái. Nói với đất nước qua họp báo mà không ai trong nước nghe được.","24","0.5"
"26","PV_0007","BEAT_03_03","PHASE_CONFLICT","CRISIS","NARRATION","Your youngest sister dies in a hotel room in London. She is thirty-one. Overdose. The hotel finds her.","末の妹がロンドンのホテルの部屋で死ぬ。三十一歳。過剰摂取。ホテルが発見する。","Em gái út chết trong phòng khách sạn ở London. Ba mươi mốt tuổi. Quá liều. Khách sạn phát hiện.","15","0"
"27","PV_0007","BEAT_03_03","PHASE_CONFLICT","CRISIS","NARRATION","The exile found the crack in her first. She was the youngest. She remembered the least. But the nothing she remembered still destroyed her.","亡命が最初に彼女の中の亀裂を見つけた。一番年下だった。一番覚えていなかった。でも覚えていない何もないことが彼女を壊した。","Lưu vong tìm thấy vết nứt trong cô ấy trước. Cô ấy nhỏ nhất. Nhớ ít nhất. Nhưng cái hư không cô nhớ vẫn huỷ diệt cô.","20","0.5"
"28","PV_0007","BEAT_03_04","PHASE_CONFLICT","CRISIS","NARRATION","Your brother dies by suicide. Forty-four. He was the intellectual. The quiet one. The one who read philosophy and wrote about identity and exile and what it means to belong to a country that disowned you.","弟が自ら命を絶つ。四十四歳。知識人だった。静かな人。哲学を読み、アイデンティティと亡命と、あなたを捨てた国に属するとはどういう意味かについて書いた人。","Em trai bạn tự tử. Bốn mươi bốn tuổi. Anh ấy là người trí thức. Trầm lặng. Đọc triết học và viết về bản sắc và lưu vong và ý nghĩa của việc thuộc về đất nước đã chối bỏ bạn.","30","0"
"29","PV_0007","BEAT_03_04","PHASE_CONFLICT","CRISIS","NARRATION","The male line of succession ends with him. Two thousand five hundred years  -  and it stops in a bedroom in Boston on a Tuesday afternoon.","男系の継承は彼で終わる。二千五百年 -  - 火曜の午後のボストンの寝室で止まる。","Dòng nam kế vị kết thúc cùng anh ấy. Hai nghìn năm trăm năm  -  dừng trong phòng ngủ ở Boston chiều thứ Ba.","20","1.0"
"30","PV_0007","BEAT_03_05","PHASE_CONFLICT","REFLECT","NARRATION","Exile doesn't kill with bullets.","亡命は銃弾で殺さない。","Lưu vong không giết bằng đạn.","5","0"
"31","PV_0007","BEAT_03_05","PHASE_CONFLICT","REFLECT","WEIGHT_LINE","It kills with distance. And patience. And quiet rooms.","距離で殺す。忍耐で。静かな部屋で。","Nó giết bằng khoảng cách. Và kiên nhẫn. Và những căn phòng im lặng.","9","2.0"
"32","PV_0007","BEAT_04_01","PHASE_CRISIS","TIME_MARKER","NARRATION","Decades pass. You live in a suburb outside the capital of the country that gave you asylum. You mow the lawn on Saturdays. You watch your country on television.","数十年が過ぎる。亡命を受け入れた国の首都郊外に住む。土曜に苝を刈る。テレビで自分の国を見る。","Hàng thập kỷ trôi. Bạn sống ở ngoại ô thủ đô nước cho bạn tị nạn. Thứ Bảy cắt cỏ. Bạn xem đất nước mình trên TV.","24","0"
