"Slate","Start_VO_ID","End_VO_ID","Life_Phase","Scene_Type","Image_Prompt"
"PV_0007_001","1","1","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Stickman in casual home clothes, unbuttoned collar shirt, no tie. Round white circle head, grey-silver hair outline, small tired dot eyes, small tight mouth, clean-shaven. Sitting on brown leather sofa in dark suburban living room. Large TV screen ahead showing capital city skyline with orange explosion flashes, black smoke columns, ticker bar running at bottom. Blue-white TV glow illuminating stickman's face. American suburban interior  -  plush carpet, wooden side table, bookshelf, window showing dark neighborhood. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_002","2","2","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Stickman in casual home clothes, unbuttoned collar, round white circle head, grey-silver hair outline, small tired dot eyes, clean-shaven. Sitting on sofa ten thousand kilometers from war. Glass of cold tea on side table  -  untouched two hours. Wife made it. Cold now. American suburban living room  -  family photos on wall, lamp off, only TV glow lighting the room. Distance. Isolation. Exile on sofa. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_003","3","3","HOOK","POV_SHOT","First-person POV illustration from sofa. Two simple flat black stickman hands at bottom frame corners resting on sofa armrest, casual sleeves visible. Rich detailed background: large TV screen filling upper frame showing capital city being bombed  -  missile flashes like distant fireworks, smoke columns, night sky lit orange. Suburban living room visible around TV  -  carpet, coffee table edge, remote on cushion. Blue TV glow illuminating everything. Country being bombed. Not there. Flat illustration, immersive perspective. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_004","4","4","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Stickman in casual home clothes, round white circle head, grey-silver hair, small tired dot eyes, clean-shaven. Sitting on sofa  -  same position. TV still showing war footage. Calendar or clock shape on wall suggesting decades passed. Forty-seven years. Almost half a century watching from outside. Same sofa. Same distance. American suburban living room unchanged. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_005","5","5","HOOK","TEXT_OVERLAY","Dark background with subtle TV static texture and faint blue glow at edges. Large bold white sans-serif text centered: 'You lost a country before you were old enough to understand what it was.' Minimal  -  no decoration. Tiny stickman silhouette at bottom center sitting on sofa shape facing dark screen. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0007_006","6","7","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Very short child stickman in miniature military dress uniform with gold button dots. Round white circle head, small innocent dot eyes, dark hair outline. Standing in imperial palace corridor  -  extremely high ornate ceilings, marble floors cold under bare feet, voice echoing. Rose gardens visible through arched windows. Warm golden tones. Palace guards (faceless, blank white circle heads) standing at attention. Opulent childhood. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_007","8","8","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Very short child stickman in miniature uniform walking past palace guards (faceless, blank white circle heads) who salute as he passes. Round white circle head, small innocent dot eyes, dark hair. Rose garden forbidden to play in  -  visible behind ornate fence. Palace corridor  -  marble columns, golden light filtering through high windows. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_008","9","9","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Small child stickman in ceremonial miniature military uniform  -  gold buttons, tiny sword shape at side. Round white circle head, small innocent dot eyes, dark hair. Standing on ornate palace balcony waving one hand. Below: massive crowd of tiny faceless stickmen waving back  -  thousands of faces never seen again. Imperial palace facade  -  columns, royal banners, gold trim. National holiday ceremony. Warm golden celebration tones. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_009","10","11","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Palace throne room. Tall father stickman (faceless, blank white circle head, military dress uniform with medals, sunglasses outline, strong jaw shape) seated on ornate golden chair. Small child stickman beside him  -  round white circle head, small wondering dot eyes, dark hair, miniature suit. Dynasty older than most countries  -  2500 years. He is next link in chain. Gold and red tones. Royal grandeur. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0007_010","12","12","PHASE_EARLY","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Teenage stickman in cadet flight uniform with pilot wings badge on chest. Round white circle head, small dot eyes, thick dark hair outline. Standing at airport departure gate with suitcase. Mother stickwoman (faceless, blank white circle head, elegant dress, pearl necklace shape) holding his face with both hands  -  goodbye. Aircraft visible through terminal window. Engine noise. She says something he can't hear. Transition  -  warm gold palace tones behind fading to neutral airport ahead. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
