"Strip_ID","Start_VO_ID","End_VO_ID","VO_Count","Life_Phase","Scene_Type","Duration_Sec","Strip_Summary"
"PV_0010_001","1","1","1","HOOK","TEXT_OVERLAY","4.7","You built the smartest thing on Earth."
"PV_0010_002","2","2","1","HOOK","TEXT_OVERLAY","4.7","On Friday, they fire you from it."
"PV_0010_003","3","3","1","HOOK","TEXT_OVERLAY","5.2","By Tuesday  -  you own it again."
"PV_0010_004","4","5","2","PHASE_EARLY","NARRATIVE_SCENE","13.5","Young stickman alone while peers gather in school hallway. Not fitting in anywhere."
"PV_0010_005","6","8","3","PHASE_EARLY","POV_SHOT","10.7","POV: child hands on keyboard, blinking cursor on dark screen. Age 8, first computer."
"PV_0010_006","9","10","2","PHASE_EARLY","NARRATIVE_SCENE","8.3","Child stickman receiving first computer. Curious expression, reaching for laptop."
"PV_0010_007","11","11","1","PHASE_EARLY","NARRATIVE_SCENE","6.1","Child stickman taking apart computer on desk. Parts scattered. Curious intense focus."
"PV_0010_008","12","14","3","PHASE_EARLY","NARRATIVE_SCENE","11.6","Child stickman at keyboard, code on screen. Systems make more sense than people."
"PV_0010_009","15","16","2","PHASE_EARLY","NARRATIVE_SCENE","11.2","Teen stickman in chat room on screen. Other avatars visible. First belonging."
"PV_0010_010","17","17","1","PHASE_EARLY","NARRATIVE_SCENE","4.7","Teen stickman typing fast, screen glowing. No longer slowing down."
"PV_0010_011","18","18","1","PHASE_EARLY","NARRATIVE_SCENE","10.7","Teen stickman reading AI textbook at desk. Age 14, laptop and book open side by side."
"PV_0010_012","19","22","4","PHASE_EARLY","TIME_SKIP_SCENE","11.7","Two panels: left age 14 reading about AI, right age 19 dropping out of university."
"PV_0010_013","23","24","2","PHASE_EARLY","NARRATIVE_SCENE","9.4","University hallway. TALL stickman walking out past classmates. Bored expression."
"PV_0010_014","25","25","1","PHASE_EARLY","NARRATIVE_SCENE","7","Stickman sketching app wireframe on laptop. Small idea, location app concept."
"PV_0010_015","26","27","2","PHASE_EARLY","CONTRAST_SPLIT","7.9","Split: left, stickman holding phone showing app; right, number 43M on screen. Age 26."
"PV_0010_016","28","29","2","PHASE_EARLY","NARRATIVE_SCENE","10.2","Stickman looking at check/screen showing . Not enough for what he really wants."
"PV_0010_017","30","31","2","PHASE_EARLY","NARRATIVE_SCENE","10.8","Stickman staring at horizon. Something bigger than an app. Something that thinks."
"PV_0010_018","32","33","2","PHASE_CONFLICT","NARRATIVE_SCENE","14.4","VERY TALL stickman standing at podium before room of seated founders. Age 28, in charge of the launchpad."
"PV_0010_019","34","35","2","PHASE_CONFLICT","NARRATIVE_SCENE","9.3","VERY TALL stickman at podium. Youngest leader. Room full of founders."
"PV_0010_020","36","36","1","PHASE_CONFLICT","NARRATIVE_SCENE","7.4","Rows of faceless founder stickmen pitching, building. Billions in future value."
"PV_0010_021","37","37","1","PHASE_CONFLICT","TEXT_OVERLAY","5.7","None of them are building what you want."
"PV_0010_022","38","38","1","PHASE_CONFLICT","NARRATIVE_SCENE","6.5","VERY TALL stickman standing alone, gazing at empty whiteboard. The thing that thinks."
"PV_0010_023","39","41","3","PHASE_CONFLICT","NARRATIVE_SCENE","11.7","Stickman leaving accelerator building. Starting new lab. Research nonprofit."
"PV_0010_024","42","43","2","PHASE_CONFLICT","NARRATIVE_SCENE","11.1","Stickman at press conference, microphone. Telling world: building this to give it away."
"PV_0010_025","44","44","1","PHASE_CONFLICT","TEXT_OVERLAY","4.3","Humanity. The betterment of all humanity."
"PV_0010_026","45","45","1","PHASE_CONFLICT","TEXT_OVERLAY","4.7","You just never define which one."
"PV_0010_027","46","47","2","PHASE_CONFLICT","NARRATIVE_SCENE","10.7","Top researchers leaving corporate offices. Walking toward the lab. Million-dollar salaries abandoned."
"PV_0010_028","48","48","1","PHASE_CONFLICT","NARRATIVE_SCENE","4.6","Researchers approaching VERY TALL stickman. Coming to him. Believing."
"PV_0010_029","49","49","1","PHASE_CONFLICT","TEXT_OVERLAY","3.3","Because they believe you."
"PV_0010_030","50","50","1","PHASE_CONFLICT","NARRATIVE_SCENE","6.5","Growing team around whiteboard. Small then bigger. Lab expanding."
"PV_0010_031","51","51","1","PHASE_CONFLICT","NARRATIVE_SCENE","9.7","Lab at night. Whiteboards full of equations. Alignment arguments. Intense atmosphere."
"PV_0010_032","52","52","1","PHASE_CONFLICT","NARRATIVE_SCENE","7","Pizza boxes at 2AM in lab. Cold slices. Nobody noticing."
"PV_0010_033","53","53","1","PHASE_CONFLICT","NARRATIVE_SCENE","9.3","Balding stickman with rectangular glasses and beard, the conscience, working late in lab."
"PV_0010_034","54","54","1","PHASE_CONFLICT","NARRATIVE_SCENE","5.6","Chief scientist (glasses, beard, balding) staring at screen. Believes more than anyone."
"PV_0010_035","55","56","2","PHASE_CONFLICT","NARRATIVE_SCENE","4.3","Remember that."
"PV_0010_036","57","57","1","PHASE_CONFLICT","NARRATIVE_SCENE","10.2","VERY TALL stickman at keynote stage with microphone. Promising safety in every speech."
"PV_0010_037","58","58","1","PHASE_CONFLICT","NARRATIVE_SCENE","6","Split screen: model benchmarks climbing. Faster. Smarter. Every week."
"PV_0010_038","59","60","2","PHASE_CONFLICT","NARRATIVE_SCENE","11.6","Large corporate buildings looming. Bigger companies paying attention. More money, more data."
"PV_0010_039","61","62","2","PHASE_CONFLICT","NARRATIVE_SCENE","6.1","But speed is what gets funded."
"PV_0010_040","63","64","2","PHASE_CONFLICT","NARRATIVE_SCENE","8.4","Handshake with faceless suited investor figure. Billion-dollar deal. Then ten billion more."
"PV_0010_041","65","65","1","PHASE_CONFLICT","NARRATIVE_SCENE","7","Nonprofit sign slowly morphing. Something else forming underneath. Not calling it that."
"PV_0010_042","66","66","1","PHASE_CONFLICT","NARRATIVE_SCENE","6","Original team members walking away from lab. Quietly. No scene."
"PV_0010_043","67","67","1","PHASE_CONFLICT","TEXT_OVERLAY","3.8","They just stop believing you."
"PV_0010_044","68","70","3","PHASE_CONFLICT","NARRATIVE_SCENE","8.4","November. Finger pressing launch button on laptop. Chatbot released."
"PV_0010_045","71","71","1","PHASE_CONFLICT","NARRATIVE_SCENE","14.8","Massive crowd of faceless stickmen holding glowing phones. Chatbot explosion, 100M users."
"PV_0010_046","72","72","1","PHASE_CONFLICT","NARRATIVE_SCENE","10.2","Montage: faceless stickmen using chatbot on phones/laptops. Writing, planning, talking to it."
"PV_0010_047","73","75","3","PHASE_CONFLICT","NARRATIVE_SCENE","10.2","VERY TALL stickman scrolling phone numbers. Cold coffee on desk. Not noticing."
"PV_0010_048","76","78","3","PHASE_CONFLICT","NARRATIVE_SCENE","9.8","Globe montage: news headlines, world waking up. Everyone talking, afraid, wanting it."
"PV_0010_049","79","79","1","PHASE_CONFLICT","NARRATIVE_SCENE","7.4","Congressional hearing room. VERY TALL stickman at witness table. Magazine covers background."
"PV_0010_050","80","81","2","PHASE_CONFLICT","NARRATIVE_SCENE","11.6","Senators (faceless) listening. VERY TALL stickman explaining from witness chair."
"PV_0010_051","82","83","2","PHASE_CONFLICT","NARRATIVE_SCENE","10.7","Senators nodding. Not understanding. VERY TALL stickman explaining simpler, slower."
"PV_0010_052","84","84","1","PHASE_CONFLICT","NARRATIVE_SCENE","4.2","VERY TALL stickman walking out of hearing room. Thinks he understands now."
"PV_0010_053","85","86","2","PHASE_CONFLICT","NARRATIVE_SCENE","9.4","Dark interior of lab. Tension building. Something shifting that can't be named."
"PV_0010_054","87","87","1","PHASE_CONFLICT","NARRATIVE_SCENE","6","Chief scientist (balding, glasses, beard) confronting VERY TALL stickman. Asking about direction."
"PV_0010_055","88","88","1","PHASE_CONFLICT","NARRATIVE_SCENE","7","Tense meeting. Questions about investors, direction, speed. Atmosphere heavy."
"PV_0010_056","89","90","2","PHASE_CONFLICT","NARRATIVE_SCENE","7.5","Lab boardroom. Nobody asking about safety anymore. Different question now."
"PV_0010_057","91","91","1","PHASE_CONFLICT","NARRATIVE_SCENE","6","VERY TALL stickman tapping table edge once. Nervous fidget. Then stopping."
"PV_0010_058","92","92","1","PHASE_CONFLICT","EMOTIONAL_CLOSEUP","8.5","Closeup: VERY TALL stickman shoulders raised, tense posture. Dread wash background."
"PV_0010_059","93","94","2","PHASE_CRISIS","NARRATIVE_SCENE","5.2","Friday. VERY TALL stickman receiving phone message. Normal morning."
"PV_0010_060","95","95","1","PHASE_CRISIS","TEXT_OVERLAY","3.3","One line. Meet me."
"PV_0010_061","96","97","2","PHASE_CRISIS","NARRATIVE_SCENE","7.9","VERY TALL stickman walking to meeting room. No concern yet."
"PV_0010_062","98","99","2","PHASE_CRISIS","NARRATIVE_SCENE","8.9","Video call screen: four faceless figures. Rehearsed words. We don't trust you."
"PV_0010_063","100","100","1","PHASE_CRISIS","TEXT_OVERLAY","3.8","They don't say why."
