Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Situation room 3AM  -  you sit alone, screens glowing, satellite feed of a burning nuclear facility",TENSION,12,NARRATIVE_SCENE,"Large stickman in dark suit at long table in underground room, wall of screens showing fire/smoke, red phone on table"
BEAT_01_02,HOOK,ESTABLISH,"You gave that order 47 minutes ago. The facility is still burning. Nobody told you it would look like that.",DREAD,10,POV_SHOT,"POV through stickman's eyes at screen showing drone feed of burning facility, timestamp 03:47 AM"
BEAT_01_03,HOOK,REFLECT,"40 years ago you sold apartments. Today you sell war. The math is the same  -  leverage, pressure, closing. Except nobody signs at the end.",TENSION,12,TEXT_OVERLAY,"Wide shot: tiny stickman at situation room table, massive screens behind, text overlay"
BEAT_01_04,HOOK,ESTABLISH,"Rewind  -  golden elevator doors opening. 2015. You step down, wave, smile. The cameras love you.",WONDER,10,NARRATIVE_SCENE,"Stickman on golden escalator descending, camera flashes from crowd below, confident wave, gold lobby"
BEAT_02_01,PHASE_EARLY,TIME_MARKER,"You are seven. Outer borough of New York. Large house. Father's real estate company pays for everything.",WONDER,12,NARRATIVE_SCENE,"Small stickman in large suburban house, well-kept lawn, father stocky stickman in suit pointing at construction site"
BEAT_02_02,PHASE_EARLY,PRIVILEGE,"Your father builds apartment complexes in the outer boroughs. Working-class tenants. He teaches you: always negotiate from strength. Never show weakness.",WONDER,12,NARRATIVE_SCENE,"Father stickman showing blueprints to small stickman at construction site, apartment buildings rising behind"
BEAT_02_03,PHASE_EARLY,CONSTRAINT,"You are thirteen. Too loud, too aggressive for private school. They send you to a military academy upstate.",TENSION,12,NARRATIVE_SCENE,"Teen stickman in cadet uniform standing at attention in dormitory, drill sergeant faceless stickman nearby, bed made perfectly"
BEAT_02_04,PHASE_EARLY,REFLECT,"Military school teaches you to command a room. Stand straight. Speak loud. Never apologize. You will use this every day for the next sixty years.",TENSION,10,TEXT_OVERLAY,"Teen stickman at podium in front of cadets, confident posture, American flag behind"
BEAT_02_05,PHASE_EARLY,TIME_MARKER,"You are twenty-two. Ivy League business school diploma on the wall. Draft notice on the table. Medical deferment approved  -  bone spurs.",TENSION,12,TIME_SKIP_SCENE,"Young stickman in graduation cap holding diploma in one hand, draft letter in other hand marked 'EXEMPT', Vietnam-era background"
BEAT_02_06,PHASE_EARLY,PRIVILEGE,"Your father hands you the company. You look at the outer boroughs and think: too small. You want the island. The most expensive addresses in the world.",LONGING,12,NARRATIVE_SCENE,"Young stickman in suit looking across river at Manhattan skyline, father handing company keys, outer borough apartments behind"
BEAT_03_01,PHASE_CONFLICT_1,TIME_MARKER,"1983. Your tower opens on the most famous avenue in the country. Gold lobby. Gold elevators. Your name in gold letters five stories tall.",WONDER,12,NARRATIVE_SCENE,"Stickman standing in front of golden tower, name in huge gold letters on facade, Fifth Avenue scene"
BEAT_03_02,PHASE_CONFLICT_1,PRIVILEGE,"You become the symbol of the 1980s. Magazine covers. Television interviews. Private helicopter. Three floors of penthouse.",WONDER,10,NARRATIVE_SCENE,"Stickman on magazine cover, helicopter on rooftop, penthouse interior with gold decor"
