VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0012,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"They trust you.","Ho tin ban.",3,0
2,PV_0012,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"That's how you win.","Do la cach ban thang.",4,1.5
3,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The man across the table is laughing at something you said.","Nguoi dan ong ben kia ban dang cuoi vi dieu ban vua noi.",11,0
4,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"His hand is warm when he shakes yours.","Tay anh ta am khi bat tay ban.",8,0
5,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He thinks you're a consultant from Munich.","Anh ta nghi ban la mot chuyen gia tu van tu Munich.",7,0
6,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He thinks you went to the same university.","Anh ta nghi ban hoc cung truong dai hoc.",8,0
7,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He thinks you like the same wine.","Anh ta nghi ban thich cung loai ruou.",7,0
8,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"None of it is true.","Khong dieu nao la that.",5,0.5
9,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"But he believes all of it.","Nhung anh ta tin het.",6,0
10,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You know his real name.","Ban biet ten that cua anh ta.",5,0
11,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"His home address.","Dia chi nha.",3,0
12,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"His children's school.","Truong hoc cua con anh ta.",3,0
13,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He doesn't know yours.","Anh ta khong biet cua ban.",4,0
14,PV_0012,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He doesn't know your country.","Anh ta khong biet dat nuoc ban.",5,0
15,PV_0012,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"Every word he says to you goes into a file he'll never see.","Moi loi anh ta noi voi ban deu di vao mot ho so anh ta se khong bao gio thay.",13,1.5
16,PV_0012,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You've never told anyone who you are.","Ban chua bao gio noi cho ai biet ban la ai.",7,0
