Clip_ID,Source_Strip,Start_VO_ID,End_VO_ID,Duration_Sec,Camera_Movement,Animation_Note,Veo_Prompt
PV_0012_C001,PV_0012_001,1,3,9.8,STATIC,Text fades in line by line - otherwise static,"Dark charcoal background. Large bold white sans-serif text centered: 'They trust you. That's how you win.' Smaller secondary text below: 'The man across the table is laughing.' Flat design, premium typography.. Camera: Fixed camera, no movement. Text fades in line by line - otherwise static. Minimalist stickman animation, flat illustration style, dark solid background. Duration: 9.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C002,PV_0012_002,4,6,10.6,SLOW_ZOOM_IN,Two stickmen shaking hands - simple arm extension and contact,"Medium-tall stickman, neat short styled hair, dark casual blazer over light shirt, collar slightly open. Dot eyes, controlled smile. Plain wristwatch on left wrist. Stickman shaking hands warmly across a small round European cafe table. Warm cobblestone Viennese cafe exterior with ornate ironwork chairs and amber lighting. Second faceless stickman (blank white circle head, no eyes, no mouth) seated opposite in suit and tie with glasses.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Two stickmen shaking hands - simple arm extension and contact. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C003,PV_0012_003,7,9,8.8,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman, neat short styled hair, dark casual blazer over light shirt. Dot eyes, controlled smile. Plain wristwatch on left wrist. Two stickmen at European cafe table with wine glasses. Subject leaning forward, charming. Faceless target stickman (blank white circle head, no eyes, no mouth) in suit and glasses, laughing. Warm golden hour lighting through cafe window. Cobblestone Vienna street visible outside.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C004,PV_0012_004,10,12,5.1,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman, neat short styled hair, dark casual blazer over light shirt. Dot eyes, controlled smile. Plain wristwatch on left wrist. Subject stickman observing faceless target (blank white circle head, glasses, suit) across cafe table. Warm interior with detailed mahogany panels and brass fixtures. Subject's gaze direct, knowing.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 5.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C005,PV_0012_005,13,15,11.7,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman in dark blazer over light shirt. Dot eyes, neutral expression. Plain wristwatch on left wrist. Subject stickman seated at cafe writing discreetly in small notebook under table. Faceless target visible opposite, unaware. Rich European cafe interior with ornate ceiling, warm pendant lights.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 11.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C006,PV_0012_006,16,18,8.8,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman in dark blazer over light shirt. Dot eyes, neutral expression. Plain wristwatch on left wrist. Subject stickman walking alone on classic Viennese street at dusk. Ornate Habsburg-era architecture, gas-lamp-style street lights, detailed cobblestones. No one recognizes subject. Solitary figure against grand European cityscape.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 8.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C007,PV_0012_007,19,20,9.3,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman in dark blazer. Dot eyes, neutral expression. Plain wristwatch on left wrist. Subject stickman seated in airplane window seat. Faceless stickman (blank white circle head) beside in aisle seat. Aircraft cabin interior with overhead bins and small oval window showing Tel Aviv coastline below. Blue sky outside.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 9.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C008,PV_0012_008,21,23,11.1,SLOW_ZOOM_IN,"Stickman wrist micro-shift, watch hands barely visible tick - otherwise still","Close-up of stickman left wrist wearing plain watch (no brand, no markings). Thin black line arm, flat colored sleeve edge. Multiple passports scattered blurred in background. Background fades from European city tones on one side to pure white opposite. Warm amber glow at edges. Single focus on watch.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman wrist micro-shift, watch hands barely visible tick - otherwise still. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 11.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C009,PV_0012_009,24,24,1.8,SLOW_ZOOM_IN,"Stickman performs simple action (gesture, turn, step) - minimal movement","Medium-tall stickman in dark blazer. Dot eyes, neutral expression. Plain wristwatch on left wrist prominently visible. Subject standing alone in minimal space. Wristwatch emphasized through composition - centered, close framing on wrist. Background minimal, fading European architecture.. Camera: Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman performs simple action (gesture, turn, step) - minimal movement. Minimalist stickman animation, flat illustration style, detailed painted background. Duration: 1.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0012_C010,PV_0012_010,25,25,5.7,STATIC,Text fades in line by line - otherwise static,"Dark navy background. Large bold white sans-serif text centered: 'Just time.' Smaller text below: 'That's all you're allowed to keep.' Flat design, premium typography, minimal.. Camera: Fixed camera, no movement. Text fades in line by line - otherwise static. Minimalist stickman animation, flat illustration style, dark solid background. Duration: 5.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
