"Strip_ID","Start_VO_ID","End_VO_ID","Life_Phase","Duration_Sec","Scene_Type"
"PV_0001_001","1","1","HOOK","7.4","NARRATIVE_SCENE"
"PV_0001_002","2","2","HOOK","2.8","NARRATIVE_SCENE"
"PV_0001_003","3","3","HOOK","7","NARRATIVE_SCENE"
"PV_0001_004","4","4","HOOK","3.7","NARRATIVE_SCENE"
"PV_0001_005","5","5","HOOK","4.9","NARRATIVE_SCENE"
"PV_0001_006","6","6","HOOK","3.8","TEXT_OVERLAY"
"PV_0001_007","7","7","HOOK","5.5","NARRATIVE_SCENE"
"PV_0001_008","8","8","HOOK","4.7","NARRATIVE_SCENE"
"PV_0001_009","9","9","HOOK","6.6","TEXT_OVERLAY"
"PV_0001_010","10","10","PHASE_EARLY","2.4","NARRATIVE_SCENE"
"PV_0001_011","11","11","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0001_012","12","12","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0001_013","13","13","PHASE_EARLY","2.8","NARRATIVE_SCENE"
"PV_0001_014","14","14","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0001_015","15","15","PHASE_EARLY","5.6","NARRATIVE_SCENE"
"PV_0001_016","16","16","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0001_017","17","17","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0001_018","18","18","PHASE_EARLY","6.9","NARRATIVE_SCENE"
"PV_0001_019","19","19","PHASE_EARLY","2.8","NARRATIVE_SCENE"
"PV_0001_020","20","20","PHASE_EARLY","2.3","NARRATIVE_SCENE"
"PV_0001_021","21","21","PHASE_EARLY","6.9","NARRATIVE_SCENE"
"PV_0001_022","22","22","PHASE_EARLY","5.1","NARRATIVE_SCENE"
"PV_0001_023","23","23","PHASE_EARLY","3.3","TEXT_OVERLAY"
"PV_0001_024","24","24","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0001_025","25","25","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0001_026","26","26","PHASE_EARLY","5.6","NARRATIVE_SCENE"
"PV_0001_027","27","27","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0001_028","28","28","PHASE_EARLY","3.2","NARRATIVE_SCENE"
"PV_0001_029","29","29","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0001_030","30","30","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0001_031","31","31","PHASE_EARLY","7","TEXT_OVERLAY"
"PV_0001_032","32","32","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0001_033","33","33","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0001_034","34","34","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0001_035","35","35","PHASE_EARLY","2.3","NARRATIVE_SCENE"
"PV_0001_036","36","36","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0001_037","37","37","PHASE_EARLY","3.3","TEXT_OVERLAY"
"PV_0001_038","38","38","PHASE_EARLY","3.8","NARRATIVE_SCENE"
"PV_0001_039","39","39","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0001_040","40","40","PHASE_EARLY","6.9","NARRATIVE_SCENE"
"PV_0001_041","41","41","PHASE_EARLY","3.3","NARRATIVE_SCENE"
"PV_0001_042","42","42","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0001_043","43","43","PHASE_EARLY","6.9","EMOTIONAL_CLOSEUP"
"PV_0001_044","44","44","PHASE_EARLY","4.7","TEXT_OVERLAY"
"PV_0001_045","45","45","PHASE_EARLY","4.3","TEXT_OVERLAY"
"PV_0001_046","46","46","PHASE_EARLY","3.2","NARRATIVE_SCENE"
"PV_0001_047","47","47","PHASE_EARLY","2.4","TEXT_OVERLAY"
"PV_0001_048","48","48","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0001_049","49","49","PHASE_CONFLICT","2.3","NARRATIVE_SCENE"
"PV_0001_050","50","50","PHASE_CONFLICT","6","NARRATIVE_SCENE"
"PV_0001_051","51","51","PHASE_CONFLICT","7.4","NARRATIVE_SCENE"
"PV_0001_052","52","52","PHASE_CONFLICT","8.3","NARRATIVE_SCENE"
"PV_0001_053","53","53","PHASE_CONFLICT","2.3","NARRATIVE_SCENE"
"PV_0001_054","54","54","PHASE_CONFLICT","6.5","NARRATIVE_SCENE"
"PV_0001_055","55","55","PHASE_CONFLICT","3.7","NARRATIVE_SCENE"
"PV_0001_056","56","56","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0001_057","57","57","PHASE_CONFLICT","4.2","NARRATIVE_SCENE"
"PV_0001_058","58","58","PHASE_CONFLICT","3.7","NARRATIVE_SCENE"
"PV_0001_059","59","59","PHASE_CONFLICT","7.4","NARRATIVE_SCENE"
"PV_0001_060","60","60","PHASE_CONFLICT","3.3","TEXT_OVERLAY"
"PV_0001_061","61","61","PHASE_CONFLICT","4.2","NARRATIVE_SCENE"
"PV_0001_062","62","62","PHASE_CONFLICT","1.8","NARRATIVE_SCENE"
"PV_0001_063","63","63","PHASE_CONFLICT","3.8","TEXT_OVERLAY"
"PV_0001_064","64","64","PHASE_CONFLICT","2.4","TEXT_OVERLAY"
"PV_0001_065","65","65","PHASE_CONFLICT","3.7","NARRATIVE_SCENE"
"PV_0001_066","66","66","PHASE_CONFLICT","2.3","NARRATIVE_SCENE"
"PV_0001_067","67","67","PHASE_CONFLICT","3.8","TEXT_OVERLAY"
"PV_0001_068","68","68","PHASE_CONFLICT","6","NARRATIVE_SCENE"
"PV_0001_069","69","69","PHASE_CONFLICT","7","NARRATIVE_SCENE"
"PV_0001_070","70","70","PHASE_CONFLICT","6.9","EMOTIONAL_CLOSEUP"
"PV_0001_071","71","71","PHASE_CONFLICT","3.7","EMOTIONAL_CLOSEUP"
"PV_0001_072","72","72","PHASE_CONFLICT","4.6","EMOTIONAL_CLOSEUP"
"PV_0001_073","73","73","PHASE_CONFLICT","7.4","EMOTIONAL_CLOSEUP"
