Clip_ID,Source_Strip,Start_VO_ID,End_VO_ID,Duration_Sec,Camera_Movement,Animation_Note,Veo_Prompt
PV_0001_C001,PV_0001_001,1,2,10.7,SLOW_ZOOM_IN,"Hands remain still, slight breathing movement - immersive","First-person POV illustration. Two simple flat black stickman hands at bottom frame corners. Slow, gentle zoom in toward subject, 10% zoom over full duration. Hands remain still, slight breathing movement - immersive. Minimalist stickman animation, flat illustration style. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C002,PV_0001_002,3,4,11.6,SLOW_ZOOM_IN,"Hands remain still, slight breathing movement - immersive","First-person POV illustration. Two simple flat black stickman hands at bottom frame corners. Slow, gentle zoom in toward subject, 10% zoom over full duration. Hands remain still, slight breathing movement - immersive. Minimalist stickman animation, flat illustration style. Duration: 11.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C003,PV_0001_003,5,6,8.3,SLOW_ZOOM_IN,"Hands remain still, slight breathing movement - immersive","First-person POV illustration. Two simple flat black stickman hands at bottom frame corners. Slow, gentle zoom in toward subject, 10% zoom over full duration. Hands remain still, slight breathing movement - immersive. Minimalist stickman animation, flat illustration style. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C004,PV_0001_004,7,8,10.7,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 10.7 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C005,PV_0001_005,9,9,6.6,STATIC,"Text fades in line by line - otherwise static","Dark navy background. Large bold white sans-serif text centered: 'YOU DID NOT CHOOSE THIS FAMILY. Fixed camera, no movement. Text fades in line by line - otherwise static. Minimalist stickman animation, flat illustration style. Duration: 6.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C006,PV_0001_006,10,10,2.4,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 2.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C007,PV_0001_007,11,11,14.8,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 14.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C008,PV_0001_008,12,13,10.6,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C009,PV_0001_009,14,14,6.9,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C010,PV_0001_010,15,15,5.1,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 5.1 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C011,PV_0001_011,16,16,14.3,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 14.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C012,PV_0001_012,17,17,4.6,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 4.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C013,PV_0001_013,18,18,13.8,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 13.8 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C014,PV_0001_014,19,20,4.6,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 4.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C015,PV_0001_015,21,21,8.3,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C016,PV_0001_016,22,23,8.4,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 8.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C017,PV_0001_017,24,25,10.6,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 10.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0001_C018,PV_0001_018,26,26,5.6,SLOW_PAN_RIGHT,"Stickman subtle movement - slight weight shift or head turn","Minimalist stickman illustration. Simple stick figure with round white circle head and thin black body lines, no facial features. Slow horizontal pan right, steady pace. Stickman subtle movement - slight weight shift or head turn. Minimalist stickman animation, flat illustration style. Duration: 5.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
