VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The phone rings at three in the morning.",7,0
2,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Dark room.",2,0.5
3,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You reach for it without opening your eyes.",8,0
4,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The screen is bright enough to hurt.",7,0
5,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"A name you don't save.",5,0
6,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"An address you won't remember.",5,0
7,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You sit up in the dark and type two words back.",10,0
8,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You've done this before.",4,0
9,PV_0015,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"More times than you'd like to count.",7,0
10,PV_0015,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"This is how it starts.",5,1.5
11,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You don't touch anyone.",4,0
12,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You don't hold a knife.",5,0
13,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You don't step inside operating rooms.",6,0
14,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You make calls.",3,0
15,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You give addresses.",3,0
16,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You count money.",3,0
17,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"That is all you do.",5,1.0
18,PV_0015,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"That is everything.",3,1.5
19,PV_0015,BEAT_01_03,HOOK,ESTABLISH,NARRATION,"Somewhere right now someone is lying in a hospital bed waiting for a kidney that isn't coming.",16,0
