VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0019,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"The first thing that disappears is not a building.","Thu dau tien bien mat khong phai la toa nha.",9,1.5
2,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"It's the internet.","La internet.",3,0.5
3,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"One morning your VPN connects.","Mot buoi sang VPN cua ban con ket noi duoc.",5,0
4,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The next morning it spins.","Buoi sang hom sau no quay.",5,0
5,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"And spins.","Va quay.",2,0
6,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"And never catches.","Va khong bao gio bat duoc tin hieu.",3,1.0
7,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"No one asked what you thought about the war.","Khong ai hoi ban nghi gi ve cuoc chien.",9,0
8,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"No one called.","Khong ai goi.",3,0
9,PV_0019,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"No one warned.","Khong ai canh bao.",3,0
10,PV_0019,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"It just arrived.","No chi den.",3,2.0
11,PV_0019,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The glass of water on the kitchen counter shakes.","Ly nuoc tren ke bep rung.",9,0.5
12,PV_0019,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You feel it in your feet first.","Ban cam thay no duoi chan truoc.",7,0
13,PV_0019,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Then the floor.","Roi san nha.",3,0
14,PV_0019,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Then the walls.","Roi tuong.",3,0
15,PV_0019,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The sound comes last.","Tieng no den cuoi cung.",4,0.5
16,PV_0019,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"It always comes last.","No luon den cuoi cung.",4,1.5
17,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"You start counting.","Ban bat dau dem.",3,0
18,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"Distance.","Khoang cach.",1,0
19,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"Seconds.","Giay.",1,0
20,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"Bottles.","Chai nuoc.",1,0
21,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"People.","Nguoi.",1,0
22,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,WEIGHT_LINE,"You don't remember when you started.","Ban khong nho minh bat dau tu khi nao.",6,1.5
23,PV_0019,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"But you don't stop.","Nhung ban khong dung.",4,2.0
24,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You're a software engineer in Tehran.","Ban la ky su phan mem o Tehran.",6,0
25,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You build payment apps for a company that can't process international transactions.","Ban xay ung dung thanh toan cho cong ty khong the xu ly giao dich quoc te.",12,0
26,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The code works.","Code chay duoc.",3,0
27,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The banking doesn't.","Ngan hang thi khong.",3,0.5
28,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your boss sends a thumbs-up emoji at two in the morning.","Sep gui emoji like luc hai gio sang.",10,0
29,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,WEIGHT_LINE,"That's your raise.","Do la tien tang luong cua ban.",3,0.5
29b,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your wife teaches at a school across town.","Vo ban day hoc o mot truong phia ben kia thanh pho.",8,0
29c,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"She leaves before you wake up.","Co ay di truoc khi ban day.",6,0
29d,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"She puts your daughter's shoes by the front door every night.","Moi toi co ay dat giay cua con gai truoc cua.",10,0
29e,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Lined up.","Xep ngay ngam.",2,0
29f,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Ready.","San sang.",1,0.5
29g,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You don't know why that matters.","Ban khong biet tai sao dieu do quan trong.",6,0
29h,PV_0019,BEAT_02_01,PHASE_EARLY,ESTABLISH,WEIGHT_LINE,"It just does.","No chi la vay.",3,1.0
30,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Tehran is nine million people stuck on the Hemmat Expressway.","Tehran la chin trieu nguoi ket tren cao toc Hemmat.",10,0
31,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"University students smoke in front of the bookshop on Enghelab Street.","Sinh vien hut thuoc truoc hieu sach tren duong Enghelab.",10,0
32,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Your coworker is angry because Persepolis lost again.","Dong nghiep ban dang cau vi Persepolis lai thua.",8,0
33,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"He brings it up in every meeting.","Cuoc hop nao anh ta cung nhac.",7,0
34,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"That's the kind of argument you're allowed to have.","Do la loai tranh cai ma ban duoc phep co.",9,0.5
35,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"The barista at your corner cafe misspells your name on the cup.","Barista quan goc pho viet sai ten ban tren coc.",11,0
36,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"On purpose you think.","Co tinh ban nghi vay.",4,0.5
37,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Saffron ice cream from the shop on Valiasr every Friday.","Kem nghe tay tu tiem tren Valiasr moi thu Sau.",9,0
38,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Your wife's favorite.","Mon vo ban thich nhat.",3,0
39,PV_0019,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"You carry it home in a plastic bag that always drips.","Ban xach ve trong tui nilon luc nao cung ri nuoc.",10,0
