VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_JA,VO_VI,Word_Count_EN,Pause_After
"1","PV_0008","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The factory floor is dark. Three in the morning. You're lying in a sleeping bag between two assembly robots.","工場のフロアは暗い。午前三時。二台の組立ロボットの間の寝袋で横になっている。","Sàn nhà máy tối. Ba giờ sáng. Bạn nằm trong túi ngủ giữa hai robot lắp ráp.","16","0"
"2","PV_0008","BEAT_01_01","HOOK","ESTABLISH","NARRATION","Your phone lights up. Stock market crash. Rocket launch in nine hours. Custody hearing at four. All of it at once. All of it yours.","携帯が光る。株式市場暴落。九時間後にロケット打ち上げ。四時に親権審問。すべて同時に。すべてあなたのもの。","Điện thoại sáng. Sụp đổ chị trường. Phóng tên lửa trong chín tiếng. Phiên toà quyền nuôi con lúc bốn giờ. Tất cả cùng lúc. Tất cả của bạn.","18","1.0"
"3","PV_0008","BEAT_01_03","HOOK","CONSTRAINT","WEIGHT_LINE","You built all of this so you could leave.","あなたはすべてを築いた -  - 去れるように。","Bạn xây tất cả để có thể rời đi.","9","2.0"
"4","PV_0008","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You are seven.","あなたは七歳。","Bạn bảy tuổi.","3","1.0"
"5","PV_0008","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You live in a large house in South Africa. Your father's money comes from mining. The kind of money that fills rooms but doesn't make them safe.","南アフリカの大きな家に住んでいる。父の金は鉱業から。部屋を満たすが安全にはしない類の金。","Bạn sống trong ngôi nhà lớn ở Nam Phi. Tiền cha từ khai mỏ. Loại tiền lấp đầy phòng nhưng không làm chúng an toàn.","24","0"
"6","PV_0008","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your father talks at dinner. Not to you. Through you. As if you're a wall he's rehearsing against.","父が夕食で話す。あなたにではない。あなたを通して。まるでリハーサル相手の壁のように。","Cha nói chuyện ở bữa tối. Không phải với bạn. Xuyên qua bạn. Như thể bạn là bức tường để ông tập nói.","14","0.5"
"7","PV_0008","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","You read the encyclopedia. All of it. Ten hours a day. Nobody interrupts because nobody notices. The books don't hit you. The books don't leave.","百科事典を読む。全部。一日十時間。誰も邪魔しない -  - 誰も気づかないから。本は殴らない。本は去らない。","Bạn đọc bách khoa toàn thư. Hết. Mười tiếng mỗi ngày. Không ai ngắt vì không ai để ý. Sách không đánh bạn. Sách không bỏ đi.","20","0.5"
"8","PV_0008","BEAT_02_03","PHASE_EARLY","CONSTRAINT","NARRATION","School is different. Boys pin you against the concrete stairs. They break your nose. They kick until you stop moving. You spend two weeks in the hospital.","学校は違う。男の子たちがコンクリートの階段に押しつける。鼻を折る。動かなくなるまで蹴る。二週間入院する。","Trường học thì khác. Mấy đứa ghì bạn xuống cầu thang bê tông. Gãy mũi. Đá đến khi bạn không nhúc nhích. Nằm viện hai tuần.","20","0"
"9","PV_0008","BEAT_02_03","PHASE_EARLY","CONSTRAINT","NARRATION","Your father doesn't visit. Your mother sits by the bed and reads to you. She reads about space. You remember that.","父は来ない。母がベッドの隣に座って読み聞かせる。宇宙について読む。それを覚えている。","Cha không đến. Mẹ ngồi cạnh giường đọc sách cho bạn. Đọc về vũ trụ. Bạn nhớ điều đó.","16","0.5"
"10","PV_0008","BEAT_02_04","PHASE_EARLY","REFLECT","NARRATION","You lie on the bathroom floor that night. Tiles cold against your back. Ceiling light buzzing. You think one thought clearly for the first time.","その夜バスルームの床に横たわる。タイルが背中に冷たい。天井の灯りがうなる。初めて一つの考えが明確に浮かぶ。","Đêm đó bạn nằm trên sàn nhà tắm. Gạch lạnh sau lưng. Đèn trần rì rì. Lần đầu bạn nghĩ rõ ràng một điều.","24","0"
