"VO_ID","Episode_ID","Beat_ID","Life_Phase","Beat_Type","VO_Type","VO_EN","VO_JA","VO_VI","Word_Count_EN","Pause_After"
"1","PV_0004","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The room is underground. You've been underground a lot lately.","部屋は地下だ。最近はよく地下にいる。","Căn phòng dưới lòng đất. Dạo này bạn ở dưới lòng đất nhiều.","10","0"
"2","PV_0004","BEAT_01_01","HOOK","ESTABLISH","NARRATION","Screens line every wall. Each one shows a different set of coordinates. Each coordinate is a facility you've memorized.","すべての壁にスクリーン。それぞれ異なる座標を映す。すべてあなたが暗記した施設。","Màn hình phủ kín tường. Mỗi cái hiện một toạ độ khác nhau. Mỗi toạ độ là một cơ sở bạn đã thuộc lòng.","18","0.5"
"3","PV_0004","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The air smells like recycled oxygen and old carpet. The generals smell like coffee. You smell like nothing. You stopped noticing a long time ago.","空気はリサイクルされた酸素と古いカーペットの匂い。将軍たちはコーヒーの匂い。あなたは何の匂いもしない。ずっと前に気づかなくなった。","Không khí mùi oxy tái chế và thảm cũ. Các tướng mùi cà phê. Bạn không mùi gì. Bạn ngừng để ý từ lâu rồi.","24","0"
"4","PV_0004","BEAT_01_02","HOOK","CONSTRAINT","NARRATION","Your hand rests on the red folder. Fifty years to reach this table.","あなたの手が赤いフォルダーの上にある。このテーブルに辿り着くまで五十年。","Tay bạn đặt trên tập hồ sơ đỏ. Năm mươi năm để đến được chiếc bàn này.","12","0"
"5","PV_0004","BEAT_01_02","HOOK","CONSTRAINT","WEIGHT_LINE","Fifty years. And one phone call that started all of it.","五十年。そしてすべてを始めた一本の電話。","Năm mươi năm. Và một cuộc gọi khởi đầu tất cả.","10","1.5"
"6","PV_0004","BEAT_01_03","HOOK","REFLECT","NARRATION","Everyone at the table is waiting for you to speak.","テーブルの全員があなたが話すのを待っている。","Mọi người quanh bàn đang chờ bạn nói.","9","0"
"7","PV_0004","BEAT_01_03","HOOK","REFLECT","NARRATION","A pen clicks somewhere to your left. Seven times. Then it stops.","左のどこかでペンがカチカチ鳴る。七回。それから止まる。","Cây bút bấm đâu đó bên trái bạn. Bảy lần. Rồi dừng.","12","0.5"
"8","PV_0004","BEAT_01_03","HOOK","REFLECT","WEIGHT_LINE","You haven't. Not yet.","まだだ。まだ話していない。","Bạn chưa nói. Chưa.","4","2.0"
"9","PV_0004","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You're born in the capital. A small apartment full of books.","首都で生まれる。本だらけの小さなアパート。","Bạn sinh ra ở thủ đô. Một căn hộ nhỏ đầy sách.","10","0"
"10","PV_0004","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your father is a historian. Not the kind who writes about the past gently.","父は歴史家だ。過去を穏やかに書く類ではない。","Cha bạn là sử gia. Không phải kiểu viết về quá khứ một cách nhẹ nhàng.","12","0"
"11","PV_0004","BEAT_02_02","PHASE_EARLY","CONSTRAINT","NARRATION","He teaches you one thing above all else: your people survive because they never believe the world is safe.","彼が何よりも教えること：あなたの民族は世界が安全だと信じないから生き延びる。","Cha dạy bạn một điều trên hết: dân tộc bạn tồn tại vì không bao giờ tin thế giới an toàn.","18","0.5"
"12","PV_0004","BEAT_02_02","PHASE_EARLY","CONSTRAINT","NARRATION","You're seven. You don't understand the sentence. But you memorize the tone.","七歳。文は理解できない。でも口調は覚えた。","Bạn bảy tuổi. Không hiểu câu nói. Nhưng thuộc cái giọng.","12","0.5"
"13","PV_0004","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","Fourteen. The family moves to America. A suburb outside Philadelphia.","十四歳。家族がアメリカに引っ越す。フィラデルフィア郊外。","Mười bốn tuổi. Gia đình sang Mỹ. Ngoại ô Philadelphia.","8","0"
"14","PV_0004","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","Green lawns. Yellow school buses. Kids who don't know where your country is on a map.","緑の芝生。黄色いスクールバス。あなたの国が地図のどこにあるか知らない子供たち。","Bãi cỏ xanh. Xe buýt trường màu vàng. Bọn trẻ không biết nước bạn ở đâu trên bản đồ.","17","0.5"
"15","PV_0004","BEAT_02_04","PHASE_EARLY","CONFLICT","NARRATION","You learn English fast. Not just conversation  -  debate. Argument. Persuasion.","英語をすぐに習得する。会話だけじゃない -  - 討論。議論。説得。","Bạn học tiếng Anh nhanh. Không chỉ hội thoại  -  tranh luận. Phản bác. Thuyết phục.","10","0"
"16","PV_0004","BEAT_02_03","PHASE_EARLY","CONFLICT","NARRATION","You play baseball in the afternoons. You're decent at it. You're better at arguing with the coach.","午後に野球をする。まあまあだ。コーチと議論する方が得意だ。","Buổi chiều bạn chơi bóng chày. Cũng được. Nhưng cãi nhau với huấn luyện viên thì giỏi hơn.","16","0.5"
"17","PV_0004","BEAT_02_04","PHASE_EARLY","CONFLICT","NARRATION","You discover something: the language of your host country is a weapon. And you wield it better than most who were born here.","あるものに気づく：ホスト国の言語は武器だ。そしてここで生まれたほとんどの人より上手く使いこなす。","Bạn phát hiện ra: ngôn ngữ của nước chủ nhà là vũ khí. Và bạn sử dụng nó giỏi hơn phần lớn người sinh ra ở đây.","22","0.5"
"18","PV_0004","BEAT_02_05","PHASE_EARLY","TIME_MARKER","NARRATION","Eighteen. You go back. Not to visit. To serve.","十八歳。帰国する。訪問ではない。兵役。","Mười tám tuổi. Bạn quay về. Không phải thăm. Để phục vụ.","9","0"
"19","PV_0004","BEAT_02_04","PHASE_EARLY","REFLECT","NARRATION","At night you sit with your father's books. The history of what happens when your people trust too much. When they believe the promises.","夜、父の本を読む。民族が信じすぎた時の歴史。約束を信じた時の歴史。","Ban đêm bạn ngồi đọc sách của cha. Lịch sử về những lần dân tộc bạn tin quá nhiều. Khi họ tin những lời hứa.","22","0.5"
"20","PV_0004","BEAT_02_05","PHASE_EARLY","TIME_MARKER","NARRATION","The elite commando unit. The one your brother is already in.","精鋭特殊部隊。兄がすでに所属しているあの部隊。","Đơn vị biệt kích tinh nhuệ. Nơi anh trai bạn đã ở.","9","0.5"
"21","PV_0004","BEAT_02_05","PHASE_EARLY","NARRATION","NARRATION","Your brother writes you letters from the base. Short ones. He doesn't describe what he does. He asks what you're reading.","兄が基地から手紙を書いてくる。短い手紙。自分が何をしているかは書かない。何を読んでいるかを聞く。","Anh trai viết thư cho bạn từ căn cứ. Ngắn. Anh không kể làm gì. Anh hỏi bạn đang đọc gì.","18","0.5"
"22","PV_0004","BEAT_02_06","PHASE_EARLY","CONFLICT","NARRATION","They teach you to breach a door in under two seconds. To shoot from a crouch. To think with your hands.","二秒以内にドアを破る方法を教わる。しゃがんで撃つ。手で考える。","Họ dạy bạn phá cửa trong chưa đầy hai giây. Bắn từ tư thế ngồi xổm. Suy nghĩ bằng tay.","18","0"
"23","PV_0004","BEAT_02_06","PHASE_EARLY","CONFLICT","WEIGHT_LINE","Hesitation is death. You learn it in your bones.","ためらいは死。骨に刻む。","Do dự là chết. Bạn học bằng xương.","8","1.5"
"24","PV_0004","BEAT_02_06","PHASE_EARLY","CONFLICT","NARRATION","They make you run until you vomit. Then they make you run again. You don't complain. Complaining is a luxury from a country with lawns.","吐くまで走らされる。そしてまた走る。文句は言わない。文句は芝生のある国の贅沢だ。","Họ bắt bạn chạy tới khi nôn. Rồi chạy tiếp. Bạn không phàn nàn. Phàn nàn là thứ xa xỉ của xứ có bãi cỏ.","22","0"
"25","PV_0004","BEAT_02_07","PHASE_EARLY","CRISIS","NARRATION","1972. A hijacked airplane sits on a tarmac. Your team goes in.","1972年。ハイジャックされた飛行機が滑走路にある。チームが突入する。","1972. Máy bay bị cướp nằm trên đường băng. Đội của bạn xông vào.","12","0"
"26","PV_0004","BEAT_02_07","PHASE_EARLY","CRISIS","NARRATION","The passengers are still inside. You can hear someone crying through the fuselage wall. You don't think about it. You breach.","乗客はまだ中にいる。機体の壁越しに誰かの泣き声が聞こえる。考えない。突入する。","Hành khách vẫn bên trong. Bạn nghe tiếng khóc qua vách máy bay. Không nghĩ nữa. Xông vào.","16","0"
"27","PV_0004","BEAT_02_07","PHASE_EARLY","CRISIS","NARRATION","A bullet hits your shoulder. You keep moving.","肩に弾丸が当たる。動き続ける。","Viên đạn trúng vai bạn. Bạn tiếp tục di chuyển.","8","0"
"28","PV_0004","BEAT_02_07","PHASE_EARLY","CRISIS","NARRATION","Later they pull the round out. You watch them do it.","後で弾丸を取り出す。その様子を見ている。","Sau đó họ lấy viên đạn ra. Bạn nhìn họ làm.","10","0.5"
"29","PV_0004","BEAT_02_08","PHASE_EARLY","REFLECT","NARRATION","First scar.","最初の傷跡。","Vết sẹo đầu tiên.","2","0"
"30","PV_0004","BEAT_02_08","PHASE_EARLY","REFLECT","WEIGHT_LINE","Not the last.","最後ではない。","Không phải cuối cùng.","3","2.0"
"31","PV_0004","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","1976. Your brother leads a commando team to an airport in East Africa.","1976年。兄が東アフリカの空港に特殊部隊を率いる。","1976. Anh trai bạn dẫn đội biệt kích đến một sân bay ở Đông Phi.","12","0"
