Beat_ID,Life_Phase,Beat_Type,Mood_Tag,Content_Sketch,VO_Draft_EN,Word_Count
BEAT_01_01,HOOK,ESTABLISH,TENSION,"Scar visible on torso - subject pulls shirt down to hide it","There is a scar on your side. Long. Curved. You pull your shirt down. Not fast. Just enough. You've done this before. You do it every morning. Some people have birthmarks. You have this.",42
BEAT_01_02,HOOK,ESTABLISH,TENSION,"Weight line: They said it grows back - so you believed them","They said it grows back. So you believed them.",9
BEAT_02_01,PHASE_EARLY,ESTABLISH,TENSION,"Dry field stretching to horizon - your child sits on bare dirt floor","The field hasn't grown anything in two seasons. The soil cracks when you step on it. Your child sits on the floor inside. Not playing. Just sitting. There isn't much else to do when there's nothing to eat. You count what's left in the jar. It's enough for three days. Maybe four if you skip yours.",55
BEAT_02_02,PHASE_EARLY,CONSTRAINT,TENSION,"Debt collector stands outside your yard - does not knock, just stands","The man comes on Tuesdays. He doesn't knock. He stands at the edge of your yard and waits. You know what he's waiting for. Everyone on this road knows what he's waiting for. You don't have it. You didn't have it last week either. He leaves when the sun moves. He'll be back.",50
BEAT_02_03,PHASE_EARLY,CONSTRAINT,TENSION,"The phrase it grows back spreads through the village like a fact","Your neighbor came back three weeks ago. He was gone for five days. He came back with money. Not a lot. But more than anyone here has seen in months. He bought a new roof. Someone asked how. He said a word you'd heard before but never paid attention to. He said it grows back. He said it like he was talking about hair.",58
BEAT_02_04,PHASE_EARLY,REFLECT,TENSION,"You begin to consider it - not seriously, not yet","You don't think about it. Not really. But the number stays. You hear it again at the well. Someone's cousin did it in the city. Came back fine. Walking. Talking. The number is always the same. Five thousand. You do the math against your debt. It almost works.",47
BEAT_03_01,PHASE_CONFLICT,CONFLICT,TENSION,"Paper is placed on table - handwritten number, no one explains anything","A paper is on your table one morning. You didn't see who left it. A number is written in pencil. No name. No address. Just the number. You fold it. Put it under the jar. You don't throw it away.",37
BEAT_03_02,PHASE_CONFLICT,CONFLICT,TENSION,"Someone else already took the paper before you - they are gone now","The woman two houses down is gone. Her daughter says she went to visit family. But her chair is empty and her goat is still tied to the post. Nobody asks. You notice the paper under your jar again.",36
BEAT_03_03,PHASE_CONFLICT,CONFLICT,DREAD,"Night bus to the city - last hours with your body still complete","The bus leaves at night. You sit by the window with a plastic bag on your lap. Everything you brought fits inside it. You watch the village disappear behind the dust. Your body is still whole. You keep thinking that. Your body is still whole.",42
BEAT_03_04,PHASE_CONFLICT,CONFLICT,DREAD,"Silent waiting room - others sit in same posture, no one looks at anyone","The room is small. Four plastic chairs. Three other people. Nobody talks. Nobody looks at each other. You all know why you're here. One man keeps touching his side. You wonder if he's already done it. Or if he's about to.",40
BEAT_03_05,PHASE_CONFLICT,CRISIS,DREAD,"Operating room light turns on - you ask how long until it grows back","The light turns on. It's white. Too white. You're lying down. Someone puts something on your arm. You ask the question you've been carrying since the village. How long until it grows back.",33
BEAT_03_06,PHASE_CONFLICT,CRISIS,DREAD,"No one answers - countdown from ten","No one answers. Someone says count backward from ten. You get to seven.",13
BEAT_04_01,PHASE_CRISIS,CRISIS,DREAD,"You wake up lighter - something is different but you cannot name it","You wake up. The ceiling is yellow. Stained. You're in a different room now. Something is different but you can't find the word. Lighter. That's the closest you get. You feel lighter.",32
BEAT_04_02,PHASE_CRISIS,REFLECT,CLARITY,"You try to stand - body responds wrong - can't remember what normal felt like","You try to stand. Your legs work. But something is off. The balance. The weight. You reach for the wall. You try to remember what normal felt like. Before. You can't.",31
BEAT_04_03,PHASE_CRISIS,CONFLICT,CLARITY,"Envelope on bedside table - you do not count it a second time","There's an envelope on the table. You open it. You count. You count again. Then you stop. It's not what they said. You don't call anyone. The number they gave you doesn't work anymore.",34
BEAT_04_04,PHASE_CRISIS,CRISIS,DREAD,"Door opens in the room next door - another person is brought in","A door opens in the next room. You hear footsteps. Someone is being walked in. A chair scrapes. Then quiet. You lie back down.",22
BEAT_05_01,PHASE_RESOLUTION,RESOLVE,BITTERSWEET,"Home again - scar hidden under shirt, money pays half the debt","You come home. The bus ride takes longer this time. Or it feels longer. The money pays half. The man on Tuesday takes it and writes something in his book. He'll be back. You knew that. The scar sits under your shirt. You don't show anyone.",43
BEAT_05_02,PHASE_RESOLUTION,CONSTRAINT,BITTERSWEET,"Hands tremble when you carry - back will not straighten anymore","You go back to the field. You pick up what you used to carry. Your hands shake. Your back won't straighten all the way. You set it down. Try again. Same thing. You used to do this without thinking.",36
BEAT_05_03,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"Standing in your yard - across the road someone adjusts their shirt, edge of a scar visible for one second","You're standing in your yard one evening. Across the road someone pulls their shirt down. Just for a second. You see the edge. Same place. Same curve. They don't look at you. You don't look at them.",36
BEAT_05_04,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"A vehicle stops near their house - silence - no one speaks, no one reacts","A vehicle stops near their house. It's not from here. No one comes out. No one goes in. It just waits. Then it leaves. You go inside.",26
BEAT_06_01,CALLBACK_CLOSE,CALLBACK,BITTERSWEET,"You pull your shirt down - the scar is still there","You pull your shirt down. The scar is still there. It didn't grow back. Nothing did.",15
BEAT_06_02,CALLBACK_CLOSE,CTA,BITTERSWEET,"Somewhere someone is always next","And somewhere, someone is always next.",6
