VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,Stethoscope on the chest.,4,0
2,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,Left hand steadies. Right hand listens.,6,0.5
3,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,The heartbeat is steady.,4,0.5
4,PV_0023,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You write one word on the form.",7,0.5
5,PV_0023,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,Unremarkable.,1,1.5
6,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"The room is clean. The light works. The gloves are new.",11,0
7,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,Same equipment you'd find in any clinic anywhere.,8,0
8,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,Same fluorescent light overhead.,4,0.5
9,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,Different room.,2,0.5
10,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,Different purpose.,2,1.5
11,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,You don't think about the difference anymore.,7,0
12,PV_0023,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Or you do, and it doesn't slow you down.",8,1.0
13,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,Two hands.,2,0
14,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,Two rooms.,2,0.5
15,PV_0023,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,The hands don't change.,4,1.5
16,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,Only what they're used for.,5,0.5
17,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,"You didn't plan this. Nobody plans this.",7,0
18,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,"You were trained to diagnose, to observe, to report.",8,0
19,PV_0023,BEAT_01_03,HOOK,REFLECT,NARRATION,The training works in both rooms.,6,0
20,PV_0023,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,That's the problem.,3,2.0
21,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,TIME_MARKER,You are twenty-nine.,4,1.0
22,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"Medical school cost more than your parents' house.",8,0
23,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"Seven years of training, and the debt still grows faster than you can pay it.",14,0
24,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"Your hospital salary covers the rent, the electricity, the insurance.",10,0
25,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,Not the interest.,3,1.0
26,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"You eat lunch at the hospital cafeteria because it's three dollars cheaper.",11,0
27,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,You don't remember when that started.,6,0
28,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"You take the bus home instead of driving, most weeks.",9,0
29,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,You studied medicine to help people.,6,0
30,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,"You're good at it. You know you're good at it.",10,0
31,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,But good doesn't pay the interest.,6,0
32,PV_0023,BEAT_02_01,PHASE_EARLY,TIME_MARKER,NARRATION,That part hasn't started yet.,5,1.0
33,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,A man calls your office line on a Thursday.,8,0
34,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He calls you Doctor.,4,0
35,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Not your name. Just Doctor.,5,0.5
36,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He has a simple request.,5,0
37,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Blood compatibility test. Tissue typing.,5,0
38,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,Standard workup for a standard patient.,6,0.5
39,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"He'll send the patient to you.",6,0
40,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"You'll run the labs, write the results.",7,0
41,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"He'll pick up the report.",5,0
42,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,No one else needs to see it.,6,1.0
43,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"He says it the way a cardiologist would refer a case to a nephrologist.",13,0
44,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Clean, professional, routine.",3,0.5
45,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,He mentions a number.,4,0
46,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"More than your monthly salary, for one exam.",8,0.5
47,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You don't say yes.,4,0
48,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You don't say no either.,5,0
49,PV_0023,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,You write down the address.,5,1.0
50,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,The address is a back office behind a pharmacy.,8,0
51,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"End of an alley, past a metal gate that doesn't lock.",10,0
52,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,The light is yellow and hums when you flip it on.,10,0
53,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"The equipment is old, but it works.",7,0
54,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Stethoscope. Blood pressure cuff. Sample tubes.,6,0
55,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,A sharps container that's never been emptied.,7,0.5
56,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Everything you'd find in a real clinic.,7,0
57,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,Because it is one.,4,0.5
58,PV_0023,BEAT_02_03,PHASE_EARLY,CONSTRAINT,WEIGHT_LINE,Just not yours.,3,1.0
59,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,The first one sits across from you.,7,0
60,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,Thin. Dark circles under the eyes.,6,0
61,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,"He doesn't look at you. He looks at the floor.",9,0.5
62,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,"You place the stethoscope on his chest, the way you've done it a thousand times before.",15,0
63,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,But your hand isn't steady.,5,0
64,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,You check the blood pressure. You check it again.,9,0
65,PV_0023,BEAT_02_04,PHASE_EARLY,CONFLICT,NARRATION,You listen to the heart. You listen to it again.,9,0
