Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Mobile operations room  -  you are the third commander in nine months",WEIGHT,12,POV_SHOT,"Stickman in military uniform standing in mobile command center with multiple screens"
BEAT_01_02,HOOK,CRISIS,"The two before you  -  dead. The man above them  -  dead",DREAD,10,NARRATIVE_SCENE,"Two empty chairs with uniforms draped over them  -  one grand empty throne"
BEAT_01_03,HOOK,CONSTRAINT,"You are sixty-seven. They called you back because no one else is left",WEIGHT,10,EMOTIONAL_CLOSEUP,"Stickman with greying hair and square glasses  -  standing alone"
BEAT_01_04,HOOK,REFLECT,"International arrest warrant in 190 countries. But here  -  you are the law",IRONY,10,NARRATIVE_SCENE,"Red Notice document on one side  -  military commander saluted on other"
BEAT_02_01,PHASE_EARLY,TIME_MARKER,"Born in the southern city  -  you change your name when you join the guard",FORMATION,10,NARRATIVE_SCENE,"Young stickman writing new name on enlistment form  -  old name crossed out"
BEAT_02_02,PHASE_EARLY,TIME_MARKER,"Twenty-one  -  revolution erupts  -  you join the guard on the first day",DUTY,10,NARRATIVE_SCENE,"Young stickman in basic uniform joining line of recruits  -  revolution flags"
BEAT_02_03,PHASE_EARLY,CRISIS,"Eight-year war with the western neighbor  -  you rise through the trenches",TENSION,14,NARRATIVE_SCENE,"Stickman in trench warfare  -  explosions  -  promotion badges appearing"
BEAT_02_04,PHASE_EARLY,REFLECT,"You learn asymmetric warfare  -  never fight head-on  -  strike from darkness",FORMATION,10,NARRATIVE_SCENE,"Stickman studying maps in shadow  -  guerrilla tactics diagram"
BEAT_02_05,PHASE_EARLY,CONSTRAINT,"Intellectual soldier: electronics degree then masters then PhD in strategy",FORMATION,10,NARRATIVE_SCENE,"Split: stickman in uniform AND stickman in academic setting with books"
BEAT_02_06,PHASE_EARLY,REFLECT,"When the war ends you don't demobilize  -  you propose a new unit",POWER,10,NARRATIVE_SCENE,"Stickman presenting blueprint document to senior commanders"
BEAT_03_01,PHASE_CONFLICT,TIME_MARKER,"1988  -  you found the foreign operations unit. You are its first commander",POWER,12,NARRATIVE_SCENE,"Stickman at desk with world map  -  pins in multiple countries  -  new unit flag"
BEAT_03_02,PHASE_CONFLICT,CONFLICT,"You merge scattered groups into one force: cells in Lebanon and Iraq and Afghanistan",BUILDING,12,NARRATIVE_SCENE,"Web diagram connecting dots across Middle East map  -  stickman at center"
BEAT_03_03,PHASE_CONFLICT,CONFLICT,"Train fighters abroad  -  build proxy networks across the region",BUILDING,10,NARRATIVE_SCENE,"Training camp scene  -  foreign fighters  -  weapons  -  regional map overlay"
BEAT_03_04,PHASE_CONFLICT,REFLECT,"A unit nobody knows exists  -  that is your design. Invisible by architecture",SHADOW,10,EMOTIONAL_CLOSEUP,"Empty room with no insignia  -  but phone lines going everywhere"
BEAT_03_05,PHASE_CONFLICT,CRISIS,"1992  -  explosion at an embassy in South America. Twenty-nine dead",DREAD,10,NARRATIVE_SCENE,"Building exploding in distant city  -  newspaper headlines  -  question marks"
BEAT_03_06,PHASE_CONFLICT,CRISIS,"1994  -  a community center in that same city. Eighty-five dead. Attributed to your unit",HORROR,14,NARRATIVE_SCENE,"Destroyed building  -  85 ghost silhouettes rising  -  stickman in shadow watching"
BEAT_03_07,PHASE_CONFLICT,CONSTRAINT,"You never confirm. You never deny. You keep building",SHADOW,10,EMOTIONAL_CLOSEUP,"Stickman turning away from camera  -  back to maps  -  85 silhouettes fading behind"
BEAT_03_08,PHASE_CONFLICT,TIME_MARKER,"1997  -  you hand the unit to your successor. The war machine is complete",WEIGHT,12,NARRATIVE_SCENE,"Stickman handing folder to successor figure  -  global network map on wall behind"
BEAT_04_01,PHASE_CRISIS,TIME_MARKER,"2007  -  the international police agency issues your arrest warrant. Red Notice.",TENSION,10,NARRATIVE_SCENE,"Red document with stickman photo  -  190 country flags  -  WANTED"
BEAT_04_02,PHASE_CRISIS,REFLECT,"You cannot go anywhere  -  but you don't need to. Power lives inside the borders",IRONY,10,NARRATIVE_SCENE,"Stickman at grand desk  -  world map with X marks on every country  -  but comfortable"
BEAT_04_03,PHASE_CRISIS,TIME_MARKER,"2009  -  defense minister. Weapons procurement and missile modernization",POWER,10,NARRATIVE_SCENE,"Stickman in suit at military parade  -  missiles on trucks behind"
BEAT_04_04,PHASE_CRISIS,TIME_MARKER,"2021  -  interior minister. Police and domestic control and protest response",POWER,10,NARRATIVE_SCENE,"Stickman at interior ministry desk  -  surveillance screens  -  riot police"
BEAT_04_05,PHASE_CRISIS,CRISIS,"2022  -  women remove headscarves. You direct security forces to crush it",DREAD,12,NARRATIVE_SCENE,"Female stickmen with removed scarves  -  riot police approaching  -  stickman on phone"
BEAT_04_06,PHASE_CRISIS,CRISIS,"A girl dies in a police station. The country erupts. You hold your chair",HORROR,12,NARRATIVE_SCENE,"Empty chair in police station  -  protests spreading  -  stickman at desk unmoved"
BEAT_04_07,PHASE_CRISIS,REFLECT,"Your successor at the foreign unit  -  the legendary one  -  assassinated by drone. 2020",WEIGHT,10,NARRATIVE_SCENE,"Drone strike flash  -  famous commander silhouette  -  empty office after"
BEAT_04_08,PHASE_CRISIS,CRISIS,"June 2025  -  the first guard commander is killed in the twelve-day conflict",DREAD,10,NARRATIVE_SCENE,"Explosion  -  first commander chair empty  -  medals on table"
BEAT_04_09,PHASE_CRISIS,TIME_MARKER,"December 2025  -  you are appointed deputy commander. The signal is clear",TENSION,10,NARRATIVE_SCENE,"Stickman receiving appointment papers  -  looking at predecessor's empty chair"
BEAT_04_10,PHASE_CRISIS,REFLECT,"You are not the successor. You are the insurance policy",WEIGHT,10,EMOTIONAL_CLOSEUP,"Stickman standing behind glass case marked BREAK IN EMERGENCY"
BEAT_05_01,PHASE_CRISIS_PEAK,CRISIS,"February 28  -  the largest coordinated strike wave in the region's history",HORROR,14,NARRATIVE_SCENE,"Pre-dawn sky filled with missile trails  -  multiple targets  -  explosions across capital"
