"Slate","Start_VO_ID","End_VO_ID","Life_Phase","Scene_Type","Image_Prompt"
"PV_0006_001","1","1","HOOK","POV_SHOT","First-person POV illustration. Two simple flat black stickman hands at bottom frame corners  -  large adult hands, dark military uniform cuffs with sleeve insignia. Rich detailed background: mobile underground military operations room seen from standing eye level  -  long steel briefing table with tactical maps spread out, multiple glowing blue screens mounted on concrete walls showing regional maps, cables running across low ceiling, dim fluorescent lighting casting blue-grey shadows, heavy blast door visible in background corridor. Tense claustrophobic atmosphere. Flat illustration, immersive perspective. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_002","2","2","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Full dark military uniform with medals, rectangular glasses on circle head, grey-white neatly trimmed beard outline, small stern dot eyes, small tight mouth. STANDING posture at end of long briefing table. Two empty chairs visible at table  -  folded military uniforms draped over armrests. Underground bunker operations room  -  concrete walls, fluorescent blue-tinted lighting, tactical screens glowing, heavy steel blast door background. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_003","3","3","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Focus on empty ornate chair  -  large high-backed chair with folded military uniform on seat, medals still pinned, small framed portrait behind showing faceless silhouette (blank white circle head). Dim mourning atmosphere in formal military reception room  -  dark wood paneling, single overhead lamp, dust motes in light beam. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_004","4","4","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Two empty chairs at briefing table  -  each with folded military uniform draped over armrest, small medal shapes still pinned to fabric. Two untouched white coffee cups on steel table surface. No figures seated  -  chairs clearly abandoned. Underground bunker briefing room  -  blue-tinted fluorescent strip lights, concrete walls, wall-mounted tactical screens showing maps. Somber still-life composition. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_005","5","5","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Full dark military uniform with medals, rectangular glasses on circle head, grey-white neatly trimmed beard outline, small stern dot eyes, small tight mouth. Elderly stickman STANDING in doorway of bunker operations room  -  silhouetted against fluorescent interior light. Concrete corridor behind, heavy blast door frame around figure. Alone. Military bearing despite age. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_006","6","6","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Full dark military uniform with medals, rectangular glasses on circle head, grey-white neatly trimmed beard outline, small stern dot eyes, small tight mouth. STANDING beside high-backed chair at head of briefing table  -  right hand extended with two fingers touching the chair backrest gently. Not sitting. Deliberate distance from chair. Underground bunker  -  screens glowing behind, steel table surface reflecting blue light, officers in background (faceless, blank white circle heads) watching from far end of table. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_007","7","7","HOOK","NARRATIVE_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Close-up composition  -  corkboard wall in dim intelligence office with pinned document showing red-bordered notice. Photograph shape pinned to document (no identifiable face  -  just a dark square). Red border prominent. Map of world with 190 small dot markers visible on adjacent wall. Overhead desk lamp casting warm circle of light on corkboard. Dark office atmosphere. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_008","8","8","HOOK","TEXT_OVERLAY","Dark military-green background with subtle concrete texture. Large bold white sans-serif text centered: 'But here  -  you are the law.' Minimal  -  no textures, no decoration. Tiny stickman silhouette bottom-right standing with military posture. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
"PV_0006_009","9","9","PHASE_EARLY","TIME_SKIP_SCENE","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Two-panel layout. Clean vertical dividing line. Left panel label 'CHILDHOOD': Short child stickman with round white circle head, small dot eyes, simple light clothing, standing in front of modest house in warm southern Iranian city  -  clay-colored walls, arched doorway, fig tree in courtyard, golden afternoon light. Right panel label 'AGE 21': Taller young stickman with round white circle head, small dot eyes, no glasses, clean-shaven, wearing basic olive-green military uniform, standing at military recruitment gate  -  concrete barracks, iron fence, revolutionary banners on walls. Minimal flat color palette. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
"PV_0006_010","10","10","PHASE_EARLY","EMOTIONAL_CLOSEUP","Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Young stickman in basic olive-green military uniform, round white circle head, small dot eyes, no glasses, clean-shaven. Standing rigid, head slightly turned away. Older female stickwoman figure (faceless, blank white circle head) receding in background  -  arm half-extended then dropping. Background fades from warm family home doorway on one side to pure white opposite. Warm amber glow at edges. Single subject centered. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
