Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"You pull them over. You put them in the car. You don't book them.",WONDER,18,TEXT_OVERLAY,"Stickman cop silhouette at patrol car door, badge on belt, radio silent, figure in back seat, weight line overlay"
BEAT_01_02,HOOK,ESTABLISH,"Not because you forgot. Because you decided not to.",WONDER,18,NARRATIVE_SCENE,"Cop walking past booking desk, ten feet of distance, not turning, deliberate stride"
BEAT_01_03,HOOK,ESTABLISH,"They were never here.",WONDER,18,TEXT_OVERLAY,"Empty booking terminal screen, no entry, cop reflected in monitor, signature line overlay"
BEAT_02_01,PHASE_EARLY,ESTABLISH,"First week. See cop lead someone past booking desk. Door with no label. Doesn't come back.",WONDER,22,NARRATIVE_SCENE,"Night hallway: senior cop walking OUT of unmarked door, rookie watching from distance, door closing behind"
BEAT_02_02,PHASE_EARLY,CONSTRAINT,"Ask senior: Where does that door go? Answer is a look. Not a word.",TENSION,20,NARRATIVE_SCENE,"Rookie approaching senior cop, asking question, senior cop's face silent, just a look that says everything"
BEAT_02_03,PHASE_EARLY,REFLECT,"The waiting room. Everyone knows. No one says. You have not participated. You have not touched. But you are silent.",TENSION,22,NARRATIVE_SCENE,"Rookie standing in hallway, looking at unmarked door, other cops walking past without looking, collective silence"
BEAT_02_04,PHASE_EARLY,REFLECT,"Silence is the first disappearance.",TENSION,18,EMOTIONAL_CLOSEUP,"Close on rookie's face, tense expression, mouth closed, eyes on the door, point of no return"
BEAT_03_01,PHASE_CONFLICT,CONFLICT,"3AM. Too much paperwork. Turn left instead of right. Door with no label. Room with no camera.",TENSION,22,NARRATIVE_SCENE,"Cop at hallway fork, turning left away from booking, approaching unmarked door, no camera visible, room interior dark"
BEAT_03_02,PHASE_CONFLICT,CONFLICT,"Does anyone know you're here? No. Door opens. Phone rings 3 times during drive. Turn it off. Remove battery. Battery in pocket.",TENSION,25,NARRATIVE_SCENE,"Cop asking detained figure the question, phone in cop's hand with battery removed, battery going into jacket pocket"
BEAT_03_03,PHASE_CONFLICT,REFLECT,"Next morning: they're gone. No one asks. Friend calls precinct. No one by that name was brought in. System works. You exhale. First hit.",TENSION,25,NARRATIVE_SCENE,"Empty room next morning, desk sergeant answering phone at booking desk, cop across room hearing it, exhale of relief"
BEAT_03_04,PHASE_CONFLICT,REFLECT,"Check system 3 times. Not for them. For yourself. They were never here.",DREAD,20,EMOTIONAL_CLOSEUP,"Cop at terminal clicking search three times, empty results each time, face shifting from anxiety to relief, signature line weight"
BEAT_03_05,PHASE_CONFLICT,ESTABLISH,"The second time, it's not easier. It's clearer. You're not testing it. You're using it.",TENSION,18,TEXT_OVERLAY,"Attention reset: cop walking with purpose toward hallway, sharper stride, hands confident, mini-hook overlay"
BEAT_03_06,PHASE_CONFLICT,CONFLICT,"Second time. You CHOOSE. Not because of paperwork. Because you can. Test boundaries: person with a phone that keeps ringing. Person with a job.",DREAD,22,NARRATIVE_SCENE,"Cop choosing from lineup of people, deliberate selection, testing who has connections, phone ringing in evidence bag"
BEAT_03_07,PHASE_CONFLICT,CONFLICT,"Person who answers yes to 'does anyone know you're here?' You BOOK this one. Normal process. The contrast is the reveal: you are choosing who gets rights.",DREAD,22,NARRATIVE_SCENE,"Split: cop booking one person normally at desk / walking another past desk, contrast of procedure vs erasure, selection as power"
BEAT_03_08,PHASE_CONFLICT,CONFLICT,"The lawyer calls. You hear the sergeant. No record. The client is in the room. Thirty feet.",DREAD,22,NARRATIVE_SCENE,"Phone at booking desk, sergeant saying no record, split showing detained figure in room thirty feet away through wall"
BEAT_03_09,PHASE_CONFLICT,CONFLICT,"The lawyer calls again. Same answer. The client stops asking for the phone. Walk past room. Hear voice asking for phone call. Recognize the voice. Don't stop.",DREAD,22,NARRATIVE_SCENE,"Cop walking past room door, sound lines from inside, recognition in posture but feet keep walking, corridor perspective"
BEAT_03_10,PHASE_CONFLICT,REFLECT,"How many right now. You check it the way other people check the weather. The number. Not names.",DREAD,18,EMOTIONAL_CLOSEUP,"Cop checking a count casually, weather-app gesture, numbers only, no names attached, systematic detachment"
BEAT_03_11,PHASE_CONFLICT,REFLECT,"Check room before shift. Not empty. Should be empty. Don't remember putting them there. Either you forgot. Or the room has another user now.",DREAD,22,NARRATIVE_SCENE,"Cop opening room door, someone inside who shouldn't be there, confusion on face, infrastructure exceeding the cop"
BEAT_03_12,PHASE_CONFLICT,REFLECT,"Count doesn't match. One more than you remember. Recount. Same number. The room has exceeded the cop.",DREAD,20,EMOTIONAL_CLOSEUP,"Cop recounting, same wrong number, looking at room with new uncertainty, infrastructure autonomous, system alive"
BEAT_03_13,PHASE_CONFLICT,CONFLICT,"You stop choosing carefully. You start choosing conveniently.",DREAD,15,TEXT_OVERLAY,"Bridge line: cop's silhouette at hallway fork, automatic turn left, no hesitation, bridge into snap"
BEAT_04_01,PHASE_CRISIS,CRISIS,"Person in room stops asking about phone. Asks when they can leave. You don't answer. The question assumes they arrived.",DREAD,22,NARRATIVE_SCENE,"Room interior, detained figure asking, cop standing in doorway not responding, silence, door with no label visible"
