Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Image_Prompt
PV_0029_001,1,3,HOOK,POV_SHOT,"First-person POV illustration. Two simple flat black stickman hands at bottom left and right frame corners - medium adult stickman hands, dark jacket sleeve visible. Rich detailed background: First-person POV from patrol car interior. Rural road at night. Suspect visible in back seat.. Flat illustration, immersive perspective. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_002,4,5,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium-tall stickman. short dark hair. dark jacket, badge on belt, radio clipped but OFF. Clean-shaven circle head. Small dot eyes. Cold controlled expression. Radio clipped but OFF. Hand near car door.. Stickman cop by patrol car on dark road. Putting suspect in back. Not calling it in.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_003,6,7,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium-tall stickman. short dark hair. dark jacket, badge on belt, radio clipped but OFF. Clean-shaven circle head. Small dot eyes. Cold controlled expression. Radio clipped but OFF. Hand near car door.. Radio on belt untouched. Stickman standing by car on empty road. Hand away from radio.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_004,8,9,HOOK,TEXT_OVERLAY,"Typography-only composition. Dark charcoal background. Large centered bold white sans-serif text: Bold white text on dark: ""Not because you forgot. Because you decided not to."". Minimal - no textures, no decoration. Optional tiny stickman silhouette bottom-right. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_005,10,11,HOOK,TEXT_OVERLAY,"Typography-only composition. Dark charcoal background. Large centered bold white sans-serif text: Bold white text on black: ""They were never here."". Minimal - no textures, no decoration. Optional tiny stickman silhouette bottom-right. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_006,12,14,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Young stickman in fresh uniform walking precinct hallway. Night shift. Burnt coffee smell.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_007,15,16,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Everything new. Badge catching light when stickman moves. Precinct night shift glow.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_008,17,18,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Belt pulling at hips. Not used to weight yet. Young cop adjusting gear.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_009,19,21,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Stickman watching cop walk someone past booking desk, past cameras. Through unlabeled door.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_010,22,24,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Door with no label. Cop does not come back. Neither does person. Hallway silent.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_011,25,26,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Waiting for someone to say something. No one does. Young stickman standing alone.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_012,27,28,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Holding empty cup. Still holding it. Precinct quiet around him.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_013,29,31,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Young stickman facing senior cop near hallway. Asking about the door. No answer, just a look.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_014,32,33,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Conversation over before finished asking. Kind of look that ends things.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_015,34,35,PHASE_EARLY,EMOTIONAL_CLOSEUP,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Young stickman nodding. Understanding nothing. Cool blue wash.. Background fades to cool blue wash fading at edges. Single subject, centered. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0029_016,36,39,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Medium stickman. short dark hair, fresh cut. new police uniform, shiny badge, radio ON. Round white circle head. Small dot eyes. Neutral watching expression. Clean uniform. Radio still on. Eyes on hallway door.. Precinct corridor near unlabeled door. Everyone knows. No one says it in front of captain.. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
