VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You pull them over.",4,0.5
2,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Side of the road.",4,0
3,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Middle of nowhere.",3,0.5
4,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You put them in the back of your car.",8,0.5
5,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You don't call it in.",5,0.5
6,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The radio sits on your belt.",6,0
7,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You don't touch it.",4,1.0
8,PV_0029,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"Not because you forgot.",4,1.0
9,PV_0029,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Because you decided not to.",5,1.5
10,PV_0029,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"They were never here.",4,2.0
11,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"First week on patrol.",4,0.5
12,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Night shift.",2,0
13,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The precinct smells like burnt coffee and floor cleaner.",9,0
14,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Everything's new.",2,0
15,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The badge still catches the light when you move.",9,0.5
16,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You see a cop walk someone past the booking desk.",10,0
17,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Past the terminal where you log arrests.",7,0
18,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Past the cameras.",3,0.5
19,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Through a door with no label on it.",7,0.5
20,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The cop doesn't come back out.",6,0
21,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Neither does the person.",4,0.5
22,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You stand there holding a cup you've already finished.",9,0
23,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You keep holding it.",4,1.0
24,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"Next day you ask the senior cop.",7,0
25,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"Where does that door go?",5,0.5
26,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"He doesn't answer.",3,0
27,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"He just looks at you.",5,0
28,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"The kind of look that means the conversation's over before you finished asking.",13,0.5
29,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"You nod like you understand.",5,0
30,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"You don't.",2,1.0
31,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"The waiting room.",3,0.5
32,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"That's what they call it.",5,0
33,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"Everyone on the floor knows.",5,0
34,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"No one says it in front of the captain.",8,0.5
35,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"You haven't touched anything.",4,0
36,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"Haven't walked anyone through that door.",6,0
37,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"But you know where it leads.",6,0
38,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"And you're quiet.",3,0
39,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"You eat lunch in the break room on a Tuesday and nobody mentions it.",13,0
40,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"Nobody mentions anything.",3,0
41,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"The TV's on.",3,0
42,PV_0029,BEAT_02_03,PHASE_EARLY,REFLECT,NARRATION,"Someone's watching a game.",4,1.0
43,PV_0029,BEAT_02_04,PHASE_EARLY,REFLECT,WEIGHT_LINE,"Silence is the first disappearance.",5,1.5
44,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Three AM.",2,0.5
45,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Arrest goes sideways.",3,0
46,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Guy's belligerent but the paperwork would take four hours and you haven't slept since yesterday morning.",15,0
47,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"You're tired.",2,0
48,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"You turn left instead of right.",6,0.5
49,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Past the booking desk.",4,0
50,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"Past the cameras.",3,0
51,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"The door handle's cold in your hand.",7,0
52,PV_0029,BEAT_03_01,PHASE_CONFLICT,CONFLICT,NARRATION,"The door with no label.",5,0
