VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You pull them over.","Ban ep ho dung lai.",4,0.5
2,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Side of the road.","Ben duong.",4,0
3,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Middle of nowhere.","Giua hum hu.",3,0.5
4,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You put them in the back of your car.","Ban cho ho len ghe sau xe.",8,0.5
5,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You don't call it in.","Ban khong goi ve so.",5,0.5
6,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The radio sits on your belt.","Bo dam nam tren that lung ban.",6,0
7,PV_0029,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You don't touch it.","Ban khong cham vao no.",4,1.0
8,PV_0029,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"Not because you forgot.","Khong phai vi ban quen.",4,1.0
9,PV_0029,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Because you decided not to.","Vi ban quyet dinh khong lam.",5,1.5
10,PV_0029,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"They were never here.","Ho chua tung o day.",4,2.0
11,PV_0029,BEAT_01_03,HOOK,ESTABLISH,NARRATION,"You learn that first.","Ban hoc dieu do truoc.",4,1.5
12,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"First week on patrol.","Tuan dau tuan tra.",4,0.5
13,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Night shift.","Ca dem.",2,0
14,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The precinct smells like burnt coffee and floor cleaner.","Don canh sat mui ca phe chay va nuoc lau san.",9,0
15,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Everything's new.","Moi thu deu moi.",2,0
16,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The badge still catches the light when you move.","Huy hieu van bat sang moi khi ban di chuyen.",9,0.5
17,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The belt pulls at your hips.","That lung keo nang o hong.",6,0
18,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You're not used to the weight yet.","Ban chua quen voi do nang.",7,0.5
19,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You see a cop walk someone past the booking desk.","Ban thay mot canh sat dan ai do di qua ban ghi nhan.",10,0
20,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Past the terminal where you log arrests.","Qua may tinh noi ban nhap vu bat giu.",7,0
21,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Past the cameras.","Qua cac camera.",3,0.5
22,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Through a door with no label on it.","Qua mot canh cua khong co bien.",7,0.5
23,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The cop doesn't come back out.","Nguoi canh sat khong quay ra.",6,0
24,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Neither does the person.","Nguoi kia cung vay.",4,0.5
25,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You wait for someone to say something.","Ban cho ai do noi gi do.",7,0
26,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"No one does.","Khong ai noi.",3,0.5
27,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You stand there holding a cup you've already finished.","Ban dung do cam cai coc da uong het.",9,0
28,PV_0029,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You keep holding it.","Ban van cam no.",4,1.0
29,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"Next day you ask the senior cop.","Hom sau ban hoi nguoi canh sat lau nam.",7,0
30,PV_0029,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"Where does that door go?","Canh cua do di dau?",5,0.5
