VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The man sitting across from you will not survive the week.",11,0.5
2,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He doesn't know that.",4,0.5
3,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You do.",2,1.0
4,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You're in a cafe in Dubai.",6,0
5,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The air smells like cardamom and traffic exhaust.",8,0
6,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Outside the window, cranes turn slowly against the haze.",9,0.5
7,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He's drinking tea.",3,0
8,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You're reading a newspaper you finished an hour ago.",9,0.5
9,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Your coffee is untouched.",4,0
10,PV_0018,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You're not here for coffee.",5,0.5
11,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You've never been to Iran.",5,0.5
12,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You've never walked those streets.",5,0
13,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Never seen the buildings you know by satellite image.",9,0.5
14,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"But someone there trusts you with their life.",8,1.0
15,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He orders tea.",3,0
16,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Checks his watch.",3,0
17,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Slides his phone face-down across the table.",7,0.5
18,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You've done this before.",4,0
19,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Dozens of times.",3,0
20,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"In cities you're not supposed to remember.",7,0
21,PV_0018,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"With people whose real names you'll never use.",8,1.0
22,PV_0018,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"You are a ghost.",4,0.5
23,PV_0018,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"You don't pull the trigger.",5,0.5
24,PV_0018,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"But you choose who goes back.",6,2.0
25,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They train you at a place called the Farm.",8,0.5
26,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Not to fight.",3,0
27,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Not to shoot.",3,0
28,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"To disappear.",2,0.5
29,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You learn to walk into a room so no one remembers you left.",12,0
30,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You learn to build a face that fits any conversation.",10,0.5
31,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The instructors never raise their voices.",6,0
32,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They speak like someone explaining the weather.",7,0
33,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"While a building burns behind them.",6,0.5
34,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"By graduation, you can hold a conversation for forty minutes.",10,0
35,PV_0018,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"And the other person won't remember your eye color.",9,1.0
36,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Your first station is in a Gulf city.",7,0.5
37,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"The office looks like a consulting firm.",7,0
38,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Reception desk with fake brochures nobody reads.",7,0
39,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Behind it, a steel door with no handle.",7,0.5
40,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"That's where you actually work.",5,0.5
41,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"A windowless room full of screens showing a country you cannot enter.",12,0.5
42,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"They teach you a formula.",5,0
43,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"MICE.",1,0.5
44,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Money. Ideology. Compromise. Ego.",4,0.5
45,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"Four cracks in the wall of someone's loyalty.",8,0
46,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"You find one.",3,0
47,PV_0018,BEAT_02_02,PHASE_EARLY,ESTABLISH,NARRATION,"And you press it open.",5,1.0
48,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"Your first developmental contact is a telecom engineer.",8,0.5
49,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"He always orders tea.",4,0
50,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"Never coffee.",2,0.5
51,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"He checks his watch every two minutes.",7,0
52,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"Nervous habit, probably.",3,0
53,PV_0018,BEAT_02_03,PHASE_EARLY,TIME_MARKER,NARRATION,"Or maybe he's calculating how long until he can leave.",10,0.5
