Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Cafe in Dubai - you sit reading newspaper. Across from you: a man who will not survive the week. He does not know. You do.",WONDER,35,NARRATIVE_SCENE,"Two stickmen at cafe table. SUBJECT in grey suit with newspaper. FACELESS asset in grey jacket with tea cup. Dubai skyline through window."
BEAT_01_02,HOOK,ESTABLISH,"You have never been to Iran. But someone there trusts you with their life. He orders tea. Checks his watch. Slides his phone face-down.",WONDER,30,NARRATIVE_SCENE,"Close framing of cafe table. Tea cup. Phone face-down. FACELESS asset's grey jacket. SUBJECT watching from behind newspaper."
BEAT_01_03,HOOK,REFLECT,"Weight statement: You are a ghost. You don't pull the trigger. But you choose who goes back.",TENSION,20,TEXT_OVERLAY,"Dark background. Bold text. Stickman silhouette with encrypted phone."
BEAT_02_01,PHASE_EARLY,ESTABLISH,"Training at the Farm. Learning to become someone no one remembers. The art of forgettable.",WONDER,35,NARRATIVE_SCENE,"Stickman in training facility. Obstacle course. FACELESS instructors. Plain building exterior."
BEAT_02_02,PHASE_EARLY,ESTABLISH,"First station in the Gulf. Office looks like a consulting firm. SCIF behind reception desk. MICE framework - finding the crack in loyalty.",WONDER,40,NARRATIVE_SCENE,"Commercial tower interior. SUBJECT at desk with monitor. SCIF door behind. Lanyard badge. Gulf city visible through window."
BEAT_02_03,PHASE_EARLY,TIME_MARKER,"First developmental contact: telecom engineer. Always orders tea. Checks watch every 2 minutes. Grey jacket. You spend 6 months before the first ask.",TENSION,40,NARRATIVE_SCENE,"Cafe meeting. SUBJECT across from FACELESS asset in grey jacket. Tea cup. Asset checking watch. Counter-surveillance implied by window reflection."
BEAT_02_04,PHASE_EARLY,CONSTRAINT,"The ritual: 6 hours counter-surveillance for 15-minute conversation. Three taxis. Walk through souk. Sit in cafe. Same man passes twice - different shirt same shoes.",TENSION,45,NARRATIVE_SCENE,"Split composition: stickman walking through souk, sitting in cafe, watching. FACELESS man passing twice. Paranoia visual."
BEAT_02_05,PHASE_EARLY,REFLECT,"Micro-hook: Nothing happens. That is how you know something is wrong. You check the route again. Same shoes. Or did you imagine it?",TENSION,30,NARRATIVE_SCENE,"SUBJECT standing alone in alley reviewing route mentally. Suspicious shadows. Night lighting."
BEAT_02_06,PHASE_EARLY,REFLECT,"Weight line: You don't kill anyone. You just convince them to go back.",TENSION,15,TEXT_OVERLAY,"Dark background. Bold text. Stickman silhouette watching someone walk away toward taxi."
BEAT_03_01,PHASE_CONFLICT,CONFLICT,"Iran 2026 escalation. Langley demands more sources. Vetting shortened from 6 months to 3 weeks. Speed over safety.",TENSION,35,NARRATIVE_SCENE,"Langley SCIF. Multiple screens showing maps. FACELESS officials around table. Urgent posture. SUBJECT receiving phone call."
