"VO_ID","Episode_ID","Beat_ID","Life_Phase","Beat_Type","VO_Type","VO_EN","VO_JA","VO_VI","Word_Count_EN","Pause_After"
"1","PV_0005","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The room has no windows. You're not sure it has an address.","部屋に窓はない。住所があるかどうかもわからない。","Căn phòng không có cửa sổ. Bạn không chắc nó có địa chỉ.","11","0"
"2","PV_0005","BEAT_01_01","HOOK","ESTABLISH","NARRATION","You rule from here. If that's what this is.","ここから統治する。これがそう呼べるなら。","Bạn cai trị từ đây. Nếu đây gọi là cai trị.","9","0.5"
"3","PV_0005","BEAT_01_01","HOOK","ESTABLISH","NARRATION","There is a screen in the corner showing coordinates you no longer recognize. The targets changed while you were unconscious. If you were unconscious. The reports disagree.","隅のスクリーンにもう認識できない座標が表示されている。あなたが意識を失っている間に標的が変わった。意識を失っていたのなら。報告書は一致しない。","Có màn hình ở góc hiển thị toạ độ bạn không còn nhận ra. Mục tiêu thay đổi khi bạn bất tỉnh. Nếu bạn bất tỉnh. Các báo cáo không thống nhất.","28","0.5"
"4","PV_0005","BEAT_01_02","HOOK","CONSTRAINT","NARRATION","No one has seen your face since the council spoke your name.","評議会があなたの名前を告げてから誰もあなたの顔を見ていない。","Không ai nhìn thấy mặt bạn kể từ khi hội đồng đọc tên bạn.","12","0.5"
"5","PV_0005","BEAT_01_03","HOOK","CRISIS","NARRATION","Your father died in the strike. Your wife died beside him.","父は攻撃で死んだ。妻もそばで死んだ。","Cha bạn chết trong cuộc tấn công. Vợ bạn chết bên cạnh ông.","11","0"
"6","PV_0005","BEAT_01_03","HOOK","CRISIS","WEIGHT_LINE","Same building. Same explosion. Same morning.","同じ建物。同じ爆発。同じ朝。","Cùng tòa nhà. Cùng vụ nổ. Cùng buổi sáng.","6","1.5"
"7","PV_0005","BEAT_01_04","HOOK","REFLECT","NARRATION","You survived. Probably.","生き残った。おそらく。","Bạn sống sót. Có lẽ.","3","0"
"8","PV_0005","BEAT_01_04","HOOK","REFLECT","WEIGHT_LINE","No one has confirmed.","誰も確認していない。","Chưa ai xác nhận.","4","2.0"
"9","PV_0005","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You are born in the holy city in the east. A house full of scripture and certainty.","東の聖なる街で生まれる。経典と確信に満ちた家。","Bạn sinh ra ở thành phố thánh phía đông. Một ngôi nhà đầy kinh sách và sự chắc chắn.","14","0"
"10","PV_0005","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your family traces its blood to the Prophet. This matters here more than money ever could.","あなたの家族は預言者に血を遡る。ここではお金よりもこれが重要。","Gia đình bạn truy dòng máu về Tiên tri. Ở đây điều đó quan trọng hơn tiền bạc.","15","0.5"
"11","PV_0005","BEAT_02_02","PHASE_EARLY","CRISIS","NARRATION","You are ten when the revolution comes. It arrives like weather — everywhere at once.","革命が来た時あなたは十歳。天気のように——一斉にどこにでも。","Bạn mười tuổi khi cách mạng đến. Nó đến như thời tiết — khắp nơi cùng lúc.","15","0"
"12","PV_0005","BEAT_02_02","PHASE_EARLY","CRISIS","NARRATION","The king leaves. The clerics stay. Your father is one of them.","王が去る。聖職者が残る。父もその一人。","Vua ra đi. Giáo sĩ ở lại. Cha bạn là một trong số họ.","11","0.5"
"13","PV_0005","BEAT_02_02","PHASE_EARLY","CRISIS","NARRATION","The streets smell different after the revolution. Like smoke and prayer and something you can't name yet. Years later you will know: it smells like power changing hands.","革命後の街は匂いが違う。煙と祈りとまだ名前をつけられない何かの匂い。何年も後に知る：権力が移る匂い。","Đường phố có mùi khác sau cách mạng. Như khói và lời cầu nguyện và thứ gì đó bạn chưa đặt tên được. Nhiều năm sau bạn sẽ biết: mùi quyền lực đổi tay.","28","0.5"
"14","PV_0005","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","Within months your father rises. Mid-ranking cleric to inner circle. The new regime needs loyalists and he is loyal above all.","数ヶ月で父が台頭する。中堅の聖職者から内部サークルへ。新政権は忠誠者を必要とし、彼は何より忠実。","Trong vài tháng cha bạn thăng tiến. Từ giáo sĩ trung cấp vào vòng trong. Chính quyền mới cần người trung thành và cha bạn trung thành trên hết.","23","0.5"
"15","PV_0005","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","You move into the compound. High walls. Armed guards at every gate.","あなたは邸宅に引っ越す。高い壁。すべての門に武装した警備員。","Bạn dọn vào khu dinh thự. Tường cao. Lính canh vũ trang ở mọi cổng.","10","0"
"16","PV_0005","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","Your childhood now has a perimeter. Everything outside it is someone else's life.","あなたの子供時代に境界線ができた。その外のすべては他人の人生。","Tuổi thơ bạn giờ có biên giới. Mọi thứ bên ngoài là cuộc đời người khác.","12","0.5"
"17","PV_0005","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","The compound has a garden. Your mother plants roses. You are not allowed to play outside the garden walls. The world is out there — you can hear it — but it is not for you.","邸宅には庭がある。母がバラを植える。庭の壁の外で遊ぶことは許されない。世界はそこにある——聞こえる——でもそれはあなたのためではない。","Khu dinh thự có vườn. Mẹ bạn trồng hoa hồng. Bạn không được chơi ngoài tường vườn. Thế giới ở ngoài kia — bạn nghe thấy — nhưng nó không dành cho bạn.","28","0.5"
"18","PV_0005","BEAT_02_05","PHASE_EARLY","CONSTRAINT","NARRATION","Religious school. Teachers chosen by your father. Friends vetted by your father.","宗教学校。父が選んだ教師。父が審査した友人。","Trường tôn giáo. Thầy giáo do cha chọn. Bạn bè do cha duyệt.","10","0"
"19","PV_0005","BEAT_02_05","PHASE_EARLY","CONSTRAINT","WEIGHT_LINE","You learn early that proximity to power is a kind of cage.","権力への近さがある種の檻であることを早くに学ぶ。","Bạn sớm học rằng gần quyền lực là một kiểu lồng.","11","1.0"
"20","PV_0005","BEAT_02_06","PHASE_EARLY","REFLECT","NARRATION","Five siblings. But you are the one he keeps closest. The one he watches.","五人の兄弟。しかしあなたが一番近くに置かれる。見守られる。","Năm anh em. Nhưng bạn là người cha giữ gần nhất. Người cha dõi theo.","13","0.5"
"21","PV_0005","BEAT_02_07","PHASE_EARLY","CONFLICT","NARRATION","Outside the walls: an eight-year war with the western neighbor. You hear the artillery on the news. You smell nothing.","壁の外：西の隣国との八年戦争。ニュースで砲声を聞く。何も匂わない。","Bên ngoài tường: chiến tranh tám năm với nước láng giềng phía tây. Bạn nghe pháo trên tin tức. Bạn không ngửi thấy gì.","17","0.5"
"22","PV_0005","BEAT_02_07","PHASE_EARLY","CONFLICT","NARRATION","Boys from your school go to the front. Some come back missing limbs. Some don't come back at all. You watch from behind bulletproof glass.","学校の少年たちが前線に行く。手足を失って帰る者もいる。全く帰らない者もいる。あなたは防弾ガラスの後ろから見ている。","Con trai từ trường bạn ra mặt trận. Vài đứa về mất tay chân. Vài đứa không về. Bạn nhìn từ sau kính chống đạn.","19","0.5"
"23","PV_0005","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","Eighteen. You join the revolutionary guard. You ask to be deployed.","十八歳。革命防衛隊に入る。配備を志願する。","Mười tám tuổi. Bạn gia nhập lực lượng vệ binh cách mạng. Bạn xin ra mặt trận.","10","0"
"24","PV_0005","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","The training is short. They need bodies at the front more than they need trained soldiers. You are the son of the second most powerful man in the country. They still make you dig trenches.","訓練は短い。訓練された兵士より前線の人員が必要。あなたは国で二番目に権力のある男の息子。それでも塹壕を掘らされる。","Huấn luyện ngắn. Họ cần người ở mặt trận hơn cần lính đã qua đào tạo. Bạn là con trai người quyền lực thứ nhì cả nước. Họ vẫn bắt bạn đào hào.","25","0.5"
"25","PV_0005","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","Not because you're brave. Because the son of this family cannot stay behind the walls while others die.","勇敢だからではない。この家の息子は他の人が死ぬ間壁の後ろにいられない。","Không phải vì bạn dũng cảm. Vì con trai gia đình này không thể ở sau tường trong khi người khác chết.","17","0.5"
"26","PV_0005","BEAT_03_02","PHASE_CONFLICT","CRISIS","NARRATION","The front. Your battalion. Shell fragments and gas and the faces of boys who won't go home.","最前線。あなたの大隊。砲弾の破片とガスと帰らない少年たちの顔。","Mặt trận. Tiểu đoàn của bạn. Mảnh pháo và hơi cay và khuôn mặt những cậu trai không về nhà.","16","0"
"27","PV_0005","BEAT_03_02","PHASE_CONFLICT","CRISIS","WEIGHT_LINE","You survive the war. That becomes your first qualification.","あなたは戦争を生き延びる。それが最初の資格になる。","Bạn sống sót qua chiến tranh. Đó trở thành bằng cấp đầu tiên.","9","1.5"
"28","PV_0005","BEAT_03_03","PHASE_CONFLICT","TIME_MARKER","NARRATION","1989. Your father is named the supreme authority. You are twenty.","1989年。父が最高権威に任命される。あなたは二十歳。","1989. Cha bạn được tuyên bố là quyền lực tối cao. Bạn hai mươi tuổi.","10","0"
"29","PV_0005","BEAT_03_03","PHASE_CONFLICT","TIME_MARKER","NARRATION","The chair he sits in — the highest seat in the republic — will define every room you walk into for the rest of your life.","彼が座る椅子——共和国の最高の座——が残りの人生であなたが入るすべての部屋を定義する。","Chiếc ghế cha ngồi — ghế cao nhất nước cộng hoà — sẽ định hình mọi căn phòng bạn bước vào suốt phần đời còn lại.","24","0.5"
"30","PV_0005","BEAT_03_04","PHASE_CONFLICT","TIME_MARKER","NARRATION","You move to the seminary city. Theology under the grand clerics. Robes and prayer beads and endless commentary on jurisprudence.","神学校の街に引っ越す。大聖職者の下で神学。法服と数珠と法学の終わりなき注釈。","Bạn chuyển đến thành phố chủng viện. Thần học dưới các đại giáo sĩ. Áo choàng và tràng hạt và luận giải bất tận về giáo luật.","18","0.5"
"31","PV_0005","BEAT_03_04","PHASE_CONFLICT","TIME_MARKER","NARRATION","The seminary is quiet after the battlefield. The loudest sound is the turning of pages. You find you prefer it. The war taught you that silence is a weapon.","戦場の後の神学校は静か。一番大きな音はページをめくる音。そちらが好きだと気づく。戦争が沈黙は武器だと教えた。","Chủng viện yên tĩnh sau chiến trường. Âm thanh lớn nhất là tiếng lật trang. Bạn thấy mình thích hơn. Chiến tranh dạy rằng im lặng là vũ khí.","25","0.5"
"32","PV_0005","BEAT_03_05","PHASE_CONFLICT","CONSTRAINT","NARRATION","You earn a mid-level clerical title. Respectable. But not enough for the seat your father holds.","中級の聖職者称号を得る。立派だ。しかし父の座には足りない。","Bạn đạt cấp bậc giáo sĩ trung cấp. Đáng kính. Nhưng không đủ cho ghế cha đang ngồi.","15","0"
"33","PV_0005","BEAT_03_05","PHASE_CONFLICT","CONSTRAINT","WEIGHT_LINE","Not even close.","全然足りない。","Thậm chí còn xa.","3","1.5"
"34","PV_0005","BEAT_03_06","PHASE_CONFLICT","TIME_MARKER","NARRATION","The wedding is modest by the standards of the ruling class. But everyone who matters is there. The guest list is a map of power — every handshake is a transaction.","結婚式は支配階級の基準では控えめだ。しかし重要な人物は全員いる。招待客リストは権力の地図——すべての握手は取引。","Đám cưới khiêm tốn theo chuẩn tầng lớp cầm quyền. Nhưng mọi người quan trọng đều có mặt. Danh sách khách là bản đồ quyền lực — mỗi cái bắt tay là giao dịch.","25","0.5"
"35","PV_0005","BEAT_03_06","PHASE_CONFLICT","TIME_MARKER","NARRATION","You marry the parliament speaker's daughter. A political union. Three children follow.","国会議長の娘と結婚する。政治的な結婚。三人の子供が続く。","Bạn cưới con gái chủ tịch quốc hội. Hôn nhân chính trị. Ba đứa con theo sau.","12","0.5"
"36","PV_0005","BEAT_03_07","PHASE_CONFLICT","CONFLICT","NARRATION","You return to your father's office. No title. No nameplate on the door. No seat at any table that has minutes.","父のオフィスに戻る。肩書きなし。ドアに名札なし。議事録のあるテーブルに席なし。","Bạn quay về văn phòng cha. Không chức danh. Không tên trên cửa. Không ghế ở bàn nào có biên bản.","17","0"
"37","PV_0005","BEAT_03_07","PHASE_CONFLICT","CONFLICT","WEIGHT_LINE","You don't need a seat. You decide who gets one.","席は必要ない。誰が座るかを決める。","Bạn không cần ghế. Bạn quyết định ai được ngồi.","10","1.5"
"38","PV_0005","BEAT_03_08","PHASE_CONFLICT","REFLECT","NARRATION","You become the gatekeeper. Who sees father. Who doesn't. Who gets a second meeting and who disappears from the schedule entirely.","あなたは門番になる。誰が父に会え、誰が会えないか。誰が二度目の会議を得、誰がスケジュールから完全に消えるか。","Bạn trở thành người gác cổng. Ai gặp cha. Ai không. Ai được cuộc hẹn thứ hai và ai biến mất khỏi lịch hoàn toàn.","21","0.5"
"39","PV_0005","BEAT_03_08","PHASE_CONFLICT","REFLECT","NARRATION","The generals need your approval for meetings with father. The ministers need your nod. The intelligence chief needs your phone call returned. Everybody needs something from the door you guard.","将軍たちは父との会議にあなたの承認が必要。大臣にはあなたのうなずきが必要。情報長官にはあなたの折り返し電話が必要。みなあなたが守る扉から何かを必要としている。","Các tướng cần sự chấp thuận của bạn để gặp cha. Các bộ trưởng cần cái gật đầu của bạn. Giám đốc tình báo cần bạn gọi lại. Mọi người cần gì đó từ cánh cửa bạn canh giữ.","29","0.5"
"40","PV_0005","BEAT_03_09","PHASE_CONFLICT","CONFLICT","NARRATION","2005. You engineer an election. The hardline candidate wins. Everyone who matters knows who arranged it.","2005年。選挙を操る。強硬派の候補が勝つ。重要な人は誰が仕組んだか知っている。","2005. Bạn dàn xếp một cuộc bầu cử. Ứng viên cứng rắn thắng. Mọi người quan trọng đều biết ai sắp đặt.","16","0"
"41","PV_0005","BEAT_03_09","PHASE_CONFLICT","CONFLICT","WEIGHT_LINE","Power you can't see is the only kind worth having. You learned that from the man in the chair.","見えない権力だけが持つ価値がある。椅子に座る男からそれを学んだ。","Quyền lực không nhìn thấy được là loại duy nhất đáng có. Bạn học điều đó từ người trên ghế.","17","2.0"
"42","PV_0005","BEAT_04_01","PHASE_CRISIS","CRISIS","NARRATION","2009. The streets fill. Millions of them. They want a different country.","2009年。街が埋まる。何百万もの人。彼らは違う国を望んでいる。","2009. Đường phố đầy ắp. Hàng triệu người. Họ muốn một đất nước khác.","12","0"
"43","PV_0005","BEAT_04_01","PHASE_CRISIS","CRISIS","NARRATION","Green banners. Open faces. Young people who were born after the revolution and feel no debt to it.","緑の旗。露わな顔。革命後に生まれ、その恩義を感じない若者たち。","Cờ xanh. Khuôn mặt mở. Những người trẻ sinh sau cách mạng và không mang ơn nó.","17","0.5"
"44","PV_0005","BEAT_04_01","PHASE_CRISIS","CRISIS","NARRATION","They organize on phones your intelligence services didn't think to monitor. They share videos your censors can't delete fast enough. The old tools of control are failing.","あなたの諜報機関が監視を考えなかった電話で組織する。検閲が十分速く削除できないビデオを共有する。支配の古い道具が失敗している。","Họ tổ chức trên điện thoại mà tình báo bạn không nghĩ tới để giám sát. Chia sẻ video mà kiểm duyệt xoá không kịp. Công cụ kiểm soát cũ đang thất bại.","22","0.5"
"45","PV_0005","BEAT_04_02","PHASE_CRISIS","CONFLICT","NARRATION","You move the security council meetings into your father's office. You sit at the head of the table. Your father is not in the room.","安全保障会議を父のオフィスに移す。テーブルの上座に座る。父は部屋にいない。","Bạn chuyển phòng họp hội đồng an ninh vào văn phòng cha. Bạn ngồi đầu bàn. Cha bạn không ở trong phòng.","18","0.5"
"46","PV_0005","BEAT_04_03","PHASE_CRISIS","CRISIS","NARRATION","You pick up the phone. You call the militia commander. The order is three words.","電話を取る。民兵司令官に電話する。命令は三語。","Bạn nhấc điện thoại. Gọi chỉ huy dân quân. Mệnh lệnh ba từ.","12","0"
"47","PV_0005","BEAT_04_03","PHASE_CRISIS","CRISIS","WEIGHT_LINE","Crush them. All.","全員潰せ。","Đè bẹp. Tất cả.","3","1.5"
"48","PV_0005","BEAT_04_04","PHASE_CRISIS","REFLECT","NARRATION","On the streets they chant your name. Not in praise. They curse you to die. They curse you to never sit in the chair.","街で彼らはあなたの名前を叫ぶ。賞賛ではない。死を呪う。あの椅子に座るなと呪う。","Ngoài đường họ hô tên bạn. Không phải ca ngợi. Họ nguyền bạn chết. Nguyền bạn đừng bao giờ ngồi lên ghế.","19","0"
"49","PV_0005","BEAT_04_04","PHASE_CRISIS","REFLECT","WEIGHT_LINE","You hear every word. You stay behind the wall.","すべての言葉が聞こえる。壁の後ろにいる。","Bạn nghe rõ từng lời. Bạn ở sau bức tường.","9","1.5"
"50","PV_0005","BEAT_04_05","PHASE_CRISIS","CONSTRAINT","NARRATION","The crackdown lasts weeks. Arrests in the night. Bodies in the morning. You never show your face.","弾圧は数週間続く。夜の逮捕。朝の遺体。あなたは顔を見せない。","Cuộc đàn áp kéo dài hàng tuần. Bắt bớ trong đêm. Xác buổi sáng. Bạn không bao giờ lộ mặt.","14","0.5"
"51","PV_0005","BEAT_04_05","PHASE_CRISIS","CONSTRAINT","NARRATION","Your father makes one public statement. He calls the demonstrators agents of foreign powers. You wrote the statement. He read it.","父が一つの公式声明を出す。デモ参加者を外国勢力のエージェントと呼ぶ。あなたが声明を書いた。彼が読んだ。","Cha bạn ra một tuyên bố công khai. Gọi người biểu tình là tay sai ngoại quốc. Bạn viết tuyên bố. Cha đọc.","17","0.5"
