VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Your hands are shaking.",5,0.5
2,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"They always shake now.",5,0.5
3,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Right before.",2,1.0
4,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"But the moment the scalpel touches skin - steady.",9,0.5
5,PV_0016,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"Perfectly steady.",2,1.5
6,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The overhead lamp hums.",4,0
7,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The room smells like iodine and cold metal.",8,0.5
8,PV_0016,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"This is what you trained for.",6,0.5
9,PV_0016,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"This is not what you trained for.",7,2.0
10,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You didn't choose this.",5,0.5
11,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Nobody wakes up at twenty-two in medical school thinking - someday I'll cut people open in a basement.",17,0.5
12,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"For money.",2,1.5
13,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"But here you are.",4,0.5
14,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Gloves on.",2,0
15,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Lights on.",2,0
16,PV_0016,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"And someone on that table who might not want to be there.",12,2.0
17,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Medical school.",2,0.5
18,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Seven years.",2,0.5
19,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Four hours of sleep a night if you're lucky.",9,0.5
20,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You memorize every bone in the human body.",8,0
21,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Every artery.",2,0
22,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Every nerve pathway that branches from the spine to the fingertips.",11,0.5
23,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your hands learn to cut with a precision most people can't imagine.",12,0.5
24,PV_0016,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The textbook weighs four kilograms.",5,0
