Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Image_Prompt
PV_0016_001,1,3,HOOK,POV_SHOT,"First-person POV illustration. Two simple flat black stickman hands at bottom frame corners - large adult hands in tight surgical gloves, slight tremor visible. Rich detailed background: underground operating room seen from surgeon's eye level, harsh overhead surgical lamp casting sharp cone of light onto stainless steel table below, instruments laid out on tray, concrete walls painted clinical white, single door at far end. Flat illustration, immersive perspective. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_002,4,5,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman. Short dark hair, slightly graying. Surgical scrubs, scrub cap, stethoscope around neck. Dot eyes, focused expression. Hands in surgical gloves gripping scalpel with perfect steadiness over patient on table. Underground clinic operating room - harsh overhead lamp, stainless steel instrument tray, iodine-stained basin on side table, concrete walls. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_003,6,9,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman surgeon standing beside operating table. Short dark hair, slightly graying. Surgical scrubs, scrub cap, gloves. Dot eyes, intense expression. Overhead lamp humming with visible glow halo. Cold metal instruments on steel tray. Basement clinic with whitewashed concrete walls, single ventilation duct overhead, fluorescent backup light on wall. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_004,10,12,HOOK,TEXT_OVERLAY,"Dark charcoal grey background. Large bold white sans-serif text centered: 'For money.' Minimal - no textures, no decoration. Tiny stickman hand silhouette bottom-right holding surgical instrument. Flat design, premium typography. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0016_005,13,16,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman surgeon in scrubs and gloves standing beside steel operating table. Short dark hair, slightly graying. Scrub cap. Dot eyes, neutral steady gaze. Faceless stickman figure (blank white circle head, no eyes, no mouth) lying on table under harsh lamp. Dim basement operating room, concrete walls, single overhead surgical light, instrument tray. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_006,17,21,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Short-to-average height young stickman in white medical student coat. Short dark hair, neat. Stethoscope draped over neck. Dot eyes, eager expression. Sitting at wooden desk surrounded by stacked anatomy textbooks. Bright university lecture hall with tiered seating, green chalkboard, anatomical skeleton model in corner, tall windows with natural light. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_007,22,27,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Short-to-average height young stickman carrying heavy textbook under arm walking through dormitory hallway. Short dark hair, neat. White medical coat. Dot eyes, determined expression. Second faceless stickman (blank white circle head, no eyes, no mouth) roommate leaning against doorframe. University dormitory corridor with numbered doors, bulletin board, linoleum floor, fluorescent ceiling lights. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_008,28,31,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Short-to-average height young stickman sitting at small desk practicing sutures on chicken leg. Short dark hair, neat. Casual clothes, precise fingers working thread. Dot eyes, focused expression. Single desk lamp creating warm pool of light. Dark dormitory room at midnight - bed unmade behind, medical books stacked, window showing dark sky. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_009,32,34,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Average height stickman surgeon in clean green scrubs performing operation. Short dark hair, neat. Hospital badge on chest. Dot eyes, concentrated proud expression. Hands holding surgical instruments over patient area. Bright modern hospital operating room - overhead surgical lights array, heart monitor, anesthesia machine, sterile blue drapes, tiled walls, large observation window. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
PV_0016_010,35,37,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple - contrast against highly detailed, semi-realistic painted background environment. Close view of average height stickman surgeon's steady hand holding scalpel. Short dark hair, neat. Green scrubs, hospital badge. Dot eyes, confident expression. Second faceless stickman (blank white circle head, no eyes, no mouth) senior surgeon in background observing with arms crossed. Bright hospital surgical suite with overhead lights, equipment monitors, sterile field. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character, no text overlay, no subtitles, no captions, no written words, no readable text in image, no door signs, no name plates, no labels, no watermarks, no speech bubbles"
