Clip_ID,Source_Strip,Start_VO_ID,End_VO_ID,Duration_Sec,Camera_Movement,Animation_Note,Veo_Prompt
PV_0016_C001,PV_0016_001,1,3,7.5,SLOW_ZOOM_IN,"Stickman hands at frame edges shift weight slightly - subtle tremor in gloved fingers.","First-person POV of surgeon's gloved stickman hands with subtle tremor, harsh overhead surgical lamp illuminating underground operating room with steel table and instruments on tray. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman hands at frame edges shift weight slightly - subtle tremor in gloved fingers. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C002,PV_0016_002,4,5,6.6,SLOW_ZOOM_IN,"Stickman surgeon's gloved hand holds scalpel with perfect steadiness - no movement, emphasizing control.","Stickman surgeon in scrubs and scrub cap gripping scalpel with perfect steadiness over patient on table in underground clinic operating room. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman surgeon's gloved hand holds scalpel with perfect steadiness - no movement, emphasizing control. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 6.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C003,PV_0016_003,6,9,8.3,SLOW_PAN_RIGHT,"Stickman surgeon stands motionless beside operating table - only overhead lamp light flickers subtly.","Stickman surgeon standing beside operating table under humming overhead lamp in basement clinic with whitewashed concrete walls and instrument tray. Slow horizontal pan right, steady pace. Stickman surgeon stands motionless beside operating table - only overhead lamp light flickers subtly. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.3 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C004,PV_0016_004,10,12,5.0,STATIC,"Text fades in: 'For money.' appears word by word - otherwise static.","Bold white text on dark charcoal background: 'For money.' with tiny stickman hand silhouette bottom-right. Fixed camera, no movement. Text fades in: 'For money.' appears word by word - otherwise static. Minimalist stickman animation, flat illustration style, dark background. Duration: 5.0 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C005,PV_0016_005,13,16,7.2,SLOW_ZOOM_IN,"Stickman surgeon stands still beside faceless figure on table - subtle breathing micro-movement.","Stickman surgeon in scrubs beside steel operating table with faceless stickman lying under harsh lamp in dim basement operating room. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman surgeon stands still beside faceless figure on table - subtle breathing micro-movement. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 7.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C006,PV_0016_006,17,21,5.4,SLOW_PAN_RIGHT,"Young stickman turns page of textbook slowly - head tilts down then back up.","Young stickman medical student in white coat sitting at desk surrounded by anatomy textbooks in bright university lecture hall with chalkboard and skeleton model. Slow horizontal pan right, steady pace. Young stickman turns page of textbook slowly - head tilts down then back up. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 5.4 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C007,PV_0016_007,22,27,8.5,SLOW_PAN_RIGHT,"Young stickman walks slowly through corridor carrying textbook - faceless roommate waves from doorframe.","Young stickman carrying heavy textbook walking through dormitory hallway with faceless roommate stickman leaning against doorframe, fluorescent ceiling lights. Slow horizontal pan right, steady pace. Young stickman walks slowly through corridor carrying textbook - faceless roommate waves from doorframe. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 8.5 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C008,PV_0016_008,28,31,6.9,SLOW_ZOOM_IN,"Young stickman's fingers work thread precisely through chicken leg - focused repetitive motion.","Young stickman sitting at desk practicing sutures on chicken leg under single desk lamp in dark dormitory room at midnight, medical books stacked around. Slow, gentle zoom in toward subject, 10% zoom over full duration. Young stickman's fingers work thread precisely through chicken leg - focused repetitive motion. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 6.9 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C009,PV_0016_009,32,34,5.2,SLOW_ZOOM_IN,"Stickman surgeon's hands move instruments steadily over patient area - precise controlled movements.","Stickman surgeon in clean green scrubs with hospital badge performing operation in bright modern hospital operating room with overhead surgical lights and heart monitor. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman surgeon's hands move instruments steadily over patient area - precise controlled movements. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 5.2 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
PV_0016_C010,PV_0016_010,35,37,4.6,SLOW_ZOOM_IN,"Stickman surgeon's hand holds scalpel motionless - faceless senior surgeon nods slowly in background.","Close view of stickman surgeon's steady hand holding scalpel with faceless senior surgeon observing from behind in bright hospital surgical suite. Slow, gentle zoom in toward subject, 10% zoom over full duration. Stickman surgeon's hand holds scalpel motionless - faceless senior surgeon nods slowly in background. Minimalist stickman animation, flat illustration style, semi-realistic painted background. Duration: 4.6 seconds. Slow, smooth movement throughout. --no fast cuts, no realistic human faces, no photorealism, no shaky camera"
