Strip_ID,Start_VO_ID,End_VO_ID,VO_Count,Life_Phase,Scene_Type,Duration_Sec,Strip_Summary
PV_0020_001,1,3,3,HOOK,NARRATIVE_SCENE,9.8,"Stickman son in bed whispering numbers into pillow at night. Dim warm bedroom light."
PV_0020_002,4,6,3,HOOK,TEXT_OVERLAY,10.5,"Bold text on dark: 'He thinks it is a game. You don't correct him. Because he's right.'"
PV_0020_003,7,9,3,HOOK,NARRATIVE_SCENE,11.5,"Stickman at startup desk designing app buttons. Tel Aviv office with delivery map on screen."
PV_0020_004,10,12,3,HOOK,NARRATIVE_SCENE,8.3,"Driver checking shelter map on phone. Someone else designed that part. Stickman does buttons."
PV_0020_005,13,14,2,HOOK,NARRATIVE_SCENE,8.3,"Stickman on train platform arguing about basketball scores. Morning commute, HaShalom station."
PV_0020_006,15,17,3,HOOK,NARRATIVE_SCENE,11.2,"Bringing rugelach home from Dizengoff Friday. Stepping on LEGO at 2 AM barefoot. Wife asleep."
PV_0020_007,18,19,2,HOOK,TEXT_OVERLAY,5.3,"Bold text on dark: 'You are ordinary. That is the point.'"
PV_0020_008,20,21,2,HOOK,TEXT_OVERLAY,7.5,"Bold text on dark red: 'It gives you ninety seconds.'"
PV_0020_009,22,22,,HOOK,POV_SHOT,6.6,"First-person view of apartment hallway stretching ahead. Red siren glow through windows."
PV_0020_010,23,24,2,PHASE_EARLY,NARRATIVE_SCENE,10.2,"Wide Tel Aviv view: bustling Rothschild Boulevard on Friday afternoon. Crowds, cafes, palm trees."
PV_0020_011,25,26,2,PHASE_EARLY,NARRATIVE_SCENE,10.7,"Students drinking iced coffee on Ibn Gabirol. Couples on promenade at sunset, Mediterranean behind."
PV_0020_012,27,28,2,PHASE_EARLY,NARRATIVE_SCENE,5.6,"Mediterranean coastline: sea indifferent to borders. Waves rolling, golden evening light on water."
PV_0020_013,29,30,2,PHASE_EARLY,NARRATIVE_SCENE,6,"Stickman on promenade wiping salt off phone screen with shirt. Casual seaside moment, warm breeze."
PV_0020_014,31,33,3,PHASE_EARLY,NARRATIVE_SCENE,11.1,"Stickman on train with angry coworker gesturing about Maccabi loss. HaShalom platform, morning rush."
PV_0020_015,34,35,2,PHASE_EARLY,NARRATIVE_SCENE,11.6,"Arguing about roster on platform while train late. Corner cafe barista drawing smiley on cup."
PV_0020_016,36,37,2,PHASE_EARLY,NARRATIVE_SCENE,6,"Same smiley face every time on cup. Rugelach from Dizengoff every Friday. Walking home with bag."
PV_0020_017,38,39,2,PHASE_EARLY,NARRATIVE_SCENE,7,"Wife says too many rugelach. Stickman eating three on sidewalk walk home anyway. Warm evening."
PV_0020_018,40,42,3,PHASE_EARLY,NARRATIVE_SCENE,9.7,"Dark apartment: LEGO on floor. Stickman stepping on piece, wincing. Saying something regrettable."
PV_0020_019,43,43,,PHASE_EARLY,NARRATIVE_SCENE,6.5,"Tel Aviv skyline: conflict always there, like traffic or heat. Background noise nobody notices."
PV_0020_020,44,44,,PHASE_EARLY,NARRATIVE_SCENE,6,"Stickman stops noticing after a while. Or thinks he does. City continuing, tension invisible."
PV_0020_021,45,46,2,PHASE_EARLY,NARRATIVE_SCENE,4.7,"Iron Dome working: white streaks in sky. Sirens come and go. City continues below streets."
PV_0020_022,47,49,3,PHASE_EARLY,NARRATIVE_SCENE,8,"Stickman son looking up at sky casually during siren. Born into this. Sirens are weather to him."
PV_0020_023,50,51,2,PHASE_EARLY,EMOTIONAL_CLOSEUP,6.5,"Stickman on apartment balcony at golden hour. Hand on railing, gazing at skyline. Cool blue wash."
PV_0020_024,52,52,,PHASE_EARLY,TEXT_OVERLAY,7.5,"Bold text on warm amber: 'You will not understand what this city was until it stops being this.'"
PV_0020_025,53,56,4,PHASE_CONFLICT,NARRATIVE_SCENE,9.3,"Phone screen cascading Red Alert notifications: Monday 2, Tuesday 5, Wednesday 11. Escalating count."
PV_0020_026,57,58,2,PHASE_CONFLICT,NARRATIVE_SCENE,11.6,"Stickman son pointing at buzzing phone: Daddy's phone singing. Father auto-swiping alert dismissal."
PV_0020_027,59,59,,PHASE_CONFLICT,NARRATIVE_SCENE,3.7,"Father staring at phone. Not remembering when swiping became automatic. Distant expression, kitchen."
PV_0020_028,60,63,4,PHASE_CONFLICT,NARRATIVE_SCENE,6,"Empty Dizengoff street: shuttered restaurants, closed school gate, silent delivery app on phone."
PV_0020_029,64,65,2,PHASE_CONFLICT,NARRATIVE_SCENE,5.1,"Phone screen showing app: buttons nobody presses. Designed interface sitting idle. Empty delivery grid."
PV_0020_030,66,68,3,PHASE_CONFLICT,TEXT_OVERLAY,10.8,"Bold text on dark: 'The frequency is the weapon. Not the rockets.'"
PV_0020_031,69,71,3,PHASE_CONFLICT,NARRATIVE_SCENE,6.5,"Dark apartment 4:17 AM: siren wailing. Stickman body up before brain. Bare feet on cold floor."
