VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0020,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Your son counts to ninety before he falls asleep.",9,0.5
2,PV_0020,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He does it every night.",5,0
3,PV_0020,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Whispers them into the pillow.",5,0.5
4,PV_0020,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"He thinks it's a game.",5,0.5
5,PV_0020,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You don't correct him.",5,1.5
6,PV_0020,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Because he's right.",4,2.0
7,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You're a UX designer at a startup in Tel Aviv.",9,0
8,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You design buttons for a delivery app.",7,0
9,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The kind that tells a driver where to turn left.",9,0
10,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The driver checks the shelter map before every route.",9,0.5
11,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You didn't design that part.",5,0
12,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Someone else did.",3,0
13,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You just design the buttons inside it.",7,0.5
14,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Every morning you argue about basketball scores on the train.",10,0
15,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Every Friday you bring rugelach home from Dizengoff.",8,0.5
16,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You step on LEGO at 2 AM and swear quietly.",9,0
17,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Your wife doesn't wake up.",5,0.5
18,PV_0020,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"You are ordinary.",3,1.0
19,PV_0020,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"That's the point.",3,1.5
20,PV_0020,BEAT_01_03,HOOK,CONSTRAINT,NARRATION,"The siren doesn't ask if you're ready.",7,0.5
21,PV_0020,BEAT_01_03,HOOK,CONSTRAINT,WEIGHT_LINE,"It gives you ninety seconds.",5,1.5
