VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0011,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You killed someone today.",5,0
2,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Then you drove home.",4,0
3,PV_0011,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"Your daughter asked what's for dinner.",6,2.0
4,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The screen glows blue in the dark.",7,0
5,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Your hand rests on a joystick.",6,0
6,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The air conditioning hums. The trailer smells like dust and old coffee.",12,0
7,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Ten thousand feet below, a village sleeps.",7,0.5
8,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You've never been there.",5,0
9,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You'll never go.",3,0.5
10,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"But you know the name of the man in the second house on the left.",14,0
11,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You know when he wakes up.",6,0
12,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You know when his children leave for school.",8,0
13,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You know what he eats for breakfast and which route he takes to the mosque.",14,0
14,PV_0011,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You know all of this because it's your job to know.",10,0.5
15,PV_0011,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"And one day, it'll be your job to make him stop.",10,2.0
16,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"You never chose this.",4,1.5
17,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You thought you'd fly jets.",6,0
18,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"You thought you'd feel the sky pull at your chest, the throttle shaking under your hand.",16,0
19,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"Instead you got a chair.",5,0
20,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"A screen.",2,0
21,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,NARRATION,"A trailer that could be anywhere.",6,0
22,PV_0011,BEAT_01_02,HOOK,CONSTRAINT,WEIGHT_LINE,"And a war you commute to.",6,2.0
23,PV_0011,BEAT_02_01,PHASE_EARLY,ESTABLISH,TIME_MARKER,"You are eighteen.",3,1.0
24,PV_0011,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You sign up for the Air Force because you want to fly.",11,0
25,PV_0011,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The recruiter shows you a poster - an F-16 cutting through clouds.",12,0
