Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Screen glowing in a dark trailer. Hand on joystick. Aerial view of a village from 10000 feet.",WONDER,25,POV_SHOT,"POV from operator's perspective: multiple glowing screens in dark GCS trailer, hand on joystick, aerial infrared view of a village on main screen"
BEAT_01_02,HOOK,CONSTRAINT,"You have never set foot here. But you know every person by name. You mapped their routines. You logged their prayers.",WONDER,30,NARRATIVE_SCENE,"Stickman operator (dot eyes, headset) seated in dark GCS, face illuminated by screen glow, surveillance feed showing distant village with tiny figures"
BEAT_02_01,PHASE_EARLY,ESTABLISH,"You sign up for the Air Force at 18. You dream of fighter jets and open sky.",WONDER,25,NARRATIVE_SCENE,"Young stickman in recruitment office, poster of fighter jet on wall behind, signing papers at desk"
BEAT_02_02,PHASE_EARLY,CONSTRAINT,"They assign you to Remotely Piloted Aircraft. Not a real cockpit. Not a real aircraft. That is what the other pilots say.",LONGING,30,CONTRAST_SPLIT,"Split: left side shows fighter pilot climbing into jet cockpit, right side shows stickman walking toward a windowless trailer in desert"
BEAT_02_03,PHASE_EARLY,TIME_MARKER,"You are 22. One year of training. UPT. RPA pipeline. MQ-9 Reaper qualification. You learn to fly something you will never sit inside.",WONDER,30,NARRATIVE_SCENE,"Stickman in flight suit at training console, MQ-9 Reaper drone diagram on screen, Creech AFB desert landscape visible through briefing room window"
BEAT_02_04,PHASE_EARLY,ESTABLISH,"First day at Creech Air Force Base. 45 miles northwest of Las Vegas. A windowless trailer in the Nevada desert. This is your cockpit.",TENSION,30,NARRATIVE_SCENE,"Wide shot of Creech AFB in desert, stickman standing before row of Ground Control Station trailers, heat waves rising from sand, mountains in background"
BEAT_03_01,PHASE_CONFLICT,ESTABLISH,"Rotating shifts. Days. Swings. Mids. The screen never turns off. Somewhere on the other side of the planet a camera is always watching.",TENSION,25,NARRATIVE_SCENE,"Interior GCS: two stickmen (operator with dot eyes + sensor operator with buzz cut) seated before wall of screens showing aerial surveillance feeds, clock showing 0300"
BEAT_03_02,PHASE_CONFLICT,CONFLICT,"First assignment. A man. Callsign JACKPOT. You watch him for six weeks straight. You watch him eat breakfast. Take his child to school. Pray at dawn.",TENSION,35,NARRATIVE_SCENE,"Split screen effect: main monitor showing infrared view of JACKPOT (bearded figure in traditional clothing) walking with small child, operator stickman watching intently"
BEAT_03_03,PHASE_CONFLICT,REFLECT,"You know his sleep schedule. You know his Friday dinner recipe. You know his youngest plays in the front yard every afternoon. He does not know you exist.",LONGING,30,EMOTIONAL_CLOSEUP,"Close on operator stickman's face (dot eyes staring), green-tinted screen reflection on face, small surveillance image of JACKPOT playing with child in yard"
BEAT_03_04,PHASE_CONFLICT,CONSTRAINT,"Pattern of Life. That is the official term. You document a man's entire life to determine the right moment to end it.",TENSION,25,TEXT_OVERLAY,"Dark background, text 'PATTERN OF LIFE' in military stencil font, faint surveillance grid overlay beneath text"
BEAT_03_05,PHASE_CONFLICT,CONFLICT,"You drive home at 6 PM. Past schools. Grocery stores. Parks. Your wife asks how was your day. Fine. Your son asks what you do. Dad works with computers.",TENSION,30,CONTRAST_SPLIT,"Split: left shows suburban Las Vegas street with stickman driving past school and park, right shows same stickman at dinner table with wife (shoulder-length hair) and son (short hair), mundane domestic scene"
BEAT_03_06,PHASE_CONFLICT,REFLECT,"The fighter pilots call you chair force. Your war does not count. You have never been shot at. You have never run. But every morning you sit down and hold a life in your hands.",LONGING,30,NARRATIVE_SCENE,"Group of fighter pilot stickmen (faceless) laughing in break room, operator stickman (dot eyes, headset around neck) standing apart, looking away"
BEAT_03_07,PHASE_CONFLICT,REFLECT,"Psychological whiplash. The military doctor will call it that later. You do not know the name yet. You just know you talk less and less.",TENSION,25,EMOTIONAL_CLOSEUP,"Operator stickman at home on couch, family in background (wife, son), stickman staring forward with dot eyes, gap between him and family growing"
BEAT_04_01,PHASE_CRISIS,CRISIS,"Week seven. JACKPOT is sitting in his yard with his family. His wife is pouring tea. The little one runs around the table. The headset crackles: Strike authorized. Cleared hot.",DREAD,35,NARRATIVE_SCENE,"GCS interior: operator stickman gripping joystick with both hands, screen showing aerial view of JACKPOT with family (3 small figures) sitting around table in courtyard"
BEAT_04_02,PHASE_CRISIS,CRISIS,"You see the child sit down next to his father. You ask: Confirm - civilians in compound. The answer comes back: Acknowledged. Cleared hot. Execute.",DREAD,30,POV_SHOT,"POV through screen: zoomed surveillance feed, JACKPOT and child figure sitting close together, targeting crosshair centered, radio text overlay: CLEARED HOT"
BEAT_04_03,PHASE_CRISIS,CRISIS,"Three seconds. You press. Hellfire drops. Eight seconds of flight. The screen flashes white. Then it returns. The yard has no table. No chairs. No one sitting anymore.",DREAD,30,NARRATIVE_SCENE,"Screen showing aftermath: white flash fading to dust cloud over courtyard, empty crater where table was, operator stickman frozen in chair, sensor operator (buzz cut) removing headset"
BEAT_04_04,PHASE_CRISIS,REFLECT,"Shift ends. You drive to McDonald's. Buy a Happy Meal for your daughter. She runs to hug your legs at the door. She is the same age as the child on the screen.",DREAD,30,CONTRAST_SPLIT,"Split: left shows operator stickman at McDonald's counter holding Happy Meal box, right shows daughter stickman (hair bow) running to hug his legs at front door of suburban home"
BEAT_05_01,PHASE_RESOLUTION,CONFLICT,"Days after. You still show up. Still sit in the chair. Still turn on the screen. But your hands shake. Strike two. Three. Seven. You stop counting.",BITTERSWEET,30,NARRATIVE_SCENE,"GCS interior: operator stickman at same station, same screens, but posture more hunched, hands trembling on joystick, tally marks scratched on desk edge"
BEAT_05_02,PHASE_RESOLUTION,CONFLICT,"You start drinking after shifts. Then before shifts. Your wife says: I do not recognize you anymore. You do not recognize yourself either.",BITTERSWEET,30,NARRATIVE_SCENE,"Home kitchen: operator stickman alone at table with bottle, wife stickman (shoulder-length hair) standing in doorway with arms crossed, gap between them"
BEAT_05_03,PHASE_RESOLUTION,REFLECT,"The military doctor asks: Have you experienced combat? You do not know how to answer. You have never been shot at. But you have killed people. Many times. From a swivel chair.",CLARITY,30,NARRATIVE_SCENE,"Medical office: operator stickman hunched in chair facing military doctor stickman (white coat) behind desk, clinical fluorescent lighting"
BEAT_05_04,PHASE_RESOLUTION,RESOLVE,"PTSD. The file reads non-combat related stress. Infantry veterans look at you like a fraud. You were never in danger. That is the problem.",BITTERSWEET,25,EMOTIONAL_CLOSEUP,"Operator stickman sitting in VA waiting room, other veteran stickmen (some with visible injuries) nearby, operator looking down at his unmarked hands"
BEAT_05_05,PHASE_RESOLUTION,TIME_MARKER,"You leave the military. IT support for an insurance company. You sit in front of a screen eight hours a day. Identical setup. But no one dies.",BITTERSWEET,30,CONTRAST_SPLIT,"Split: left shows old GCS station with military screens and joystick, right shows identical seated posture at civilian office desk with keyboard and monitor, same hunched stickman in both"
BEAT_05_06,PHASE_RESOLUTION,REFLECT,"Your wife is gone. Your daughter calls once a week. You want to tell her what you did. But you never do. Sometimes you open Google Maps and zoom into villages you do not recognize. You do not know why.",BITTERSWEET,35,EMOTIONAL_CLOSEUP,"Apartment at night: operator stickman alone at laptop, Google Maps satellite view on screen showing aerial view of a village, phone with missed call notification beside him, empty room"
BEAT_06_01,CALLBACK,CALLBACK,"Another screen. Another desk. Another life you watch from a distance. But this time the screen is a laptop. The desk is in your apartment. And the life you are watching is your own.",BITTERSWEET,30,NARRATIVE_SCENE,"Mirror of HOOK composition: stickman seated at desk, screens glowing, but civilian apartment instead of GCS, laptop showing ordinary email instead of surveillance, same posture as opening shot"
BEAT_06_02,CALLBACK,CTA,"You were safe. You were always safe. That is the worst part. If you ever wondered what it feels like to kill from ten thousand miles away - now you know.",CLARITY,30,EMOTIONAL_CLOSEUP,"Final frame: extreme closeup of operator stickman face (dot eyes, neutral mouth), faint green glow on face fading to natural light, still and quiet"
