Strip_ID,Start_VO_ID,End_VO_ID,VO_Count,Life_Phase,Scene_Type,Duration_Sec,Strip_Summary
PV_0022_001,1,3,3,HOOK,TEXT_OVERLAY,9.9,"Bold text: You won't miss it. Not in the way you think. You hear it once."
PV_0022_002,4,4,,HOOK,NARRATIVE_SCENE,3.3,"Someone said it to you once. Setting established."
PV_0022_003,5,5,,HOOK,NARRATIVE_SCENE,8.8,"Tea stall scene: two cups of tea, nothing else between you."
PV_0022_004,6,8,3,HOOK,NARRATIVE_SCENE,10.3,"They said it like nothing. Like giving directions. You believed them."
PV_0022_005,9,10,2,HOOK,TEXT_OVERLAY,6.6,"Bold text: Not because the sentence made sense. Because you needed it to."
PV_0022_006,11,14,4,HOOK,NARRATIVE_SCENE,10.8,"Now you are the one sitting across the table. The sentence ready."
PV_0022_007,15,16,2,HOOK,TEXT_OVERLAY,5.7,"Bold text: But we are getting ahead. Let's go back."
PV_0022_008,17,18,2,PHASE_EARLY,NARRATIVE_SCENE,8.8,"No rain. Field cracked down the middle like something gave up."
PV_0022_009,19,21,3,PHASE_EARLY,NARRATIVE_SCENE,8.3,"Child on floor drawing shapes in dirt with stick. Debt not new."
PV_0022_010,22,24,3,PHASE_EARLY,NARRATIVE_SCENE,11.2,"Debt longer than the child. Every month it grows. Selling what you can."
PV_0022_011,25,29,5,PHASE_EARLY,TEXT_OVERLAY,11.3,"Selling goat, roof, earrings. Then nothing left. Except you."
PV_0022_012,30,33,4,PHASE_EARLY,NARRATIVE_SCENE,11.6,"A man appears. Not from village. Sits at tea stall across from you."
PV_0022_013,34,37,4,PHASE_EARLY,NARRATIVE_SCENE,7.5,"Same thin build as yours. Same worn shirt. Orders two cups. Doesn't rush."
PV_0022_014,38,41,4,PHASE_EARLY,NARRATIVE_SCENE,10.7,"Asks about harvest, family. You answer because he already seems to know."
PV_0022_015,42,46,5,PHASE_EARLY,NARRATIVE_SCENE,7.5,"He lifts his shirt. A scar. Long. Clean. Healed."
PV_0022_016,47,49,3,PHASE_EARLY,NARRATIVE_SCENE,10.2,"Says: the part your body can afford to lose. You know people who did it."
PV_0022_017,50,52,3,PHASE_EARLY,NARRATIVE_SCENE,8.4,"He lets it sit. Pours more tea. Doesn't ask you to decide."
PV_0022_018,53,56,4,PHASE_EARLY,NARRATIVE_SCENE,8.9,"You say no. Immediately. You stand up and leave. Tea still warm."
PV_0022_019,57,59,3,PHASE_EARLY,NARRATIVE_SCENE,12,"Walk home without looking back. That night on mat staring at ceiling."
PV_0022_020,60,62,3,PHASE_EARLY,NARRATIVE_SCENE,11.2,"The number on the receipt in your head. You don't want it but it's in there."
PV_0022_021,63,65,3,PHASE_EARLY,NARRATIVE_SCENE,7.9,"Three days later you come back. Nobody called you. Nobody followed up."
PV_0022_022,66,67,2,PHASE_EARLY,NARRATIVE_SCENE,5.2,"The sentence still in your head. Intact."
PV_0022_023,68,70,3,PHASE_EARLY,NARRATIVE_SCENE,9.8,"Night bus. Plastic bag. Everything you brought fits inside it."
PV_0022_024,71,74,4,PHASE_EARLY,NARRATIVE_SCENE,12,"Diesel and rain smell. Woman asleep. Bus stops. People on and off."
PV_0022_025,75,78,4,PHASE_EARLY,NARRATIVE_SCENE,10.8,"You stay in your seat. City twelve hours away. You don't sleep."
PV_0022_026,79,81,3,PHASE_EARLY,TEXT_OVERLAY,10.4,"Bold text: You go in whole. You wake up lighter."
PV_0022_027,82,83,2,PHASE_EARLY,NARRATIVE_SCENE,8.8,"Cheap room. Disinfectant smell. Small high window. Still dark."
PV_0022_028,84,86,3,PHASE_EARLY,NARRATIVE_SCENE,10.7,"Side won't let you sit up. Envelope on bedside table. You count it once."
PV_0022_029,87,90,4,PHASE_EARLY,NARRATIVE_SCENE,11.7,"Less than they said. Count again. Same number. Hold envelope to chest."
PV_0022_030,91,92,2,PHASE_EARLY,EMOTIONAL_CLOSEUP,6.5,"Scar is real. It hurts when you breathe in."
PV_0022_031,93,94,2,PHASE_EARLY,EMOTIONAL_CLOSEUP,8.9,"You press hand against it. Skin feels like it belongs to someone else."
PV_0022_032,95,97,3,PHASE_CONFLICT,NARRATIVE_SCENE,11.6,"Go home. Scar heals but body doesn't come back. Try to lift rice sack."
PV_0022_033,98,101,4,PHASE_CONFLICT,NARRATIVE_SCENE,11.6,"Knees buckle. Sit on ground and wait. Child watches from doorway."
PV_0022_034,102,105,4,PHASE_CONFLICT,NARRATIVE_SCENE,9.3,"Wave child away. Money lasted two months. Maybe less."
PV_0022_035,106,109,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.7,"Wife counted it the night you got back. Debt still there. Now worse."
PV_0022_036,110,111,2,PHASE_CONFLICT,NARRATIVE_SCENE,8,"Paid half with envelope. Other half grew while you were gone."
PV_0022_037,112,113,2,PHASE_CONFLICT,NARRATIVE_SCENE,6.5,"Man with phone comes back three months later. Doesn't sit down."
PV_0022_038,114,115,2,PHASE_CONFLICT,NARRATIVE_SCENE,10.7,"Stands at edge of field and waits. Says: I'm not here to buy anything."
PV_0022_039,116,118,3,PHASE_CONFLICT,NARRATIVE_SCENE,4.7,"Hands you a phone. Cheap. One contact saved."
PV_0022_040,119,122,4,PHASE_CONFLICT,NARRATIVE_SCENE,8,"Another way to earn. No surgery. No bus. Just a sentence."
PV_0022_041,123,126,4,PHASE_CONFLICT,NARRATIVE_SCENE,11.2,"Practice at night. Alone. Say it to the wall. Sounds wrong first times."
PV_0022_042,127,132,6,PHASE_CONFLICT,NARRATIVE_SCENE,11.6,"Too loud. Too fast. Try softer. Like a suggestion. Like sharing experience."
PV_0022_043,133,138,6,PHASE_CONFLICT,NARRATIVE_SCENE,8.8,"Adjust words. Never say sell. Never say organ. Help. Opportunity. Just this once."
PV_0022_044,139,140,2,PHASE_CONFLICT,TEXT_OVERLAY,8,"Bold text: You practice until it stops sounding like a lie."
PV_0022_045,141,143,3,PHASE_CONFLICT,NARRATIVE_SCENE,9.3,"First time is the neighbor. His wife sick. Daughter stopped school."
PV_0022_046,144,146,3,PHASE_CONFLICT,NARRATIVE_SCENE,11.2,"You know his situation because it was yours. That's why you go first."
PV_0022_047,147,151,5,PHASE_CONFLICT,NARRATIVE_SCENE,10.2,"Two cups. Talk about rain, harvest, debt. Pour him more tea before he asks."
PV_0022_048,152,156,5,PHASE_CONFLICT,NARRATIVE_SCENE,11.2,"You lift your shirt. Show him the scar. He goes quiet. Watch his jaw work."
PV_0022_049,157,159,3,PHASE_CONFLICT,NARRATIVE_SCENE,8.4,"He's doing the math. You know because you did it. You don't say anything. Wait."
PV_0022_050,160,161,2,PHASE_CONFLICT,NARRATIVE_SCENE,10.2,"He looks at scar for long time. Motorbike passes and neither look up."
PV_0022_051,162,165,4,PHASE_CONFLICT,NARRATIVE_SCENE,11.2,"Tea gets cold. Neither touches it. He doesn't say yes. But doesn't say no."
PV_0022_052,166,169,4,PHASE_CONFLICT,NARRATIVE_SCENE,10.7,"Three days later he comes to your house. Stands outside. Doesn't knock."
PV_0022_053,170,174,5,PHASE_CONFLICT,NARRATIVE_SCENE,10.7,"You put him on the bus. Same route. Same time. Plastic bag. Same bag you had."
PV_0022_054,175,177,3,PHASE_CONFLICT,NARRATIVE_SCENE,7.9,"He looks back through window. You don't wave. Don't say anything."
PV_0022_055,178,180,3,PHASE_CONFLICT,NARRATIVE_SCENE,11.2,"Bus pulls away. Dust takes long time to settle. You stand there until it does."
PV_0022_056,181,184,4,PHASE_CONFLICT,NARRATIVE_SCENE,9.4,"Phone buzzes. The broker. No thank you. He says: next one."
PV_0022_057,185,186,2,PHASE_CRISIS,TEXT_OVERLAY,5.2,"Bold text: You say less. They say yes faster."
PV_0022_058,187,189,3,PHASE_CRISIS,NARRATIVE_SCENE,10.3,"Second says yes before finishing. Third takes two visits. Stop counting."
PV_0022_059,190,190,,PHASE_CRISIS,NARRATIVE_SCENE,13,"Same stall. Same shirt lift. Same look. Wait before saying a word."
PV_0022_060,191,192,2,PHASE_CRISIS,NARRATIVE_SCENE,8,"Tea stall owner puts two cups down before you sit. Doesn't ask anymore."
PV_0022_061,193,195,3,PHASE_CRISIS,NARRATIVE_SCENE,9.8,"Fourth one is younger. Nineteen maybe. Hands shake."
PV_0022_062,196,201,6,PHASE_CRISIS,NARRATIVE_SCENE,9.3,"His hands shake like yours did. He says no. Immediately. Same word, same speed."
PV_0022_063,202,205,4,PHASE_CRISIS,NARRATIVE_SCENE,11.7,"You use exact sentence used on you. Same rhythm. Same pause before number."
