VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_JA,VO_VI,Word_Count_EN,Pause_After
1,PV_0002,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The house is brick. Three stories. A decent neighborhood.",「家はレンガ造りだ。三階建て。なかなか良い地区にある。」,"Ngôi nhà xây bằng gạch. Ba tầng. Khu phố khá tươm tất.",9,0
2,PV_0002,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You have a yard. Your own room. A father who drives a car that people notice.",「庭もある。自分の部屋もある。父は人目を引く車に乗っている。」,"Có sân sau. Có phòng riêng. Có cha đi một chiếc xe mà người ta quay lại nhìn.",17,0
3,PV_0002,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Most people would call this more than enough.",「たいていの人なら、十分すぎると言うだろう。」,"Hầu hết mọi người sẽ gọi đây là quá đủ rồi.",9,0
4,PV_0002,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"But then — you look across the water.",「でも、あなたは水の向こうを見る。」,"Nhưng rồi — bạn nhìn sang bên kia mặt nước.",9,1.0
5,PV_0002,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The bridge stretches out. A long grey line between here and there.","橋が伸びている。ここからあそこまでの長い灰色の線。","Cây cầu vươn ra. Một đường xám dài giữa đây và đằng kia.",12,0
6,PV_0002,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"Your father says the same thing every time he passes a building with someone else's name on it.",「父は、別の人の名前が入った建物の前を通るたびに同じことを言う。」,"Cha bạn nói cùng một câu mỗi khi đi qua một tòa nhà mang tên người khác.",15,0
7,PV_0002,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"He doesn't say it loudly. He doesn't have to.",「声を上げて言うわけじゃない。そうする必要もない。」,"Ông không nói to. Ông không cần phải thế.",9,0
8,PV_0002,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"The name on a building is the only thing no one can take from you.",「建物に刻まれた名前だけは誰にも奪えない。」,"Cái tên trên một tòa nhà là thứ duy nhất không ai có thể lấy đi.",15,0
9,PV_0002,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"You're eight. You file that away. You don't forget it.",「あなたは八歳だ。それを心に刻む。決して忘れない。」,"Bạn 8 tuổi. Bạn ghi nhớ. Không quên.",11,0.5
10,PV_0002,BEAT_01_02,HOOK,PRIVILEGE,NARRATION,"Most fathers talk about vacations. Yours talked about buildings.","たいていの父親は休暇の話をする。あなたの父は建物の話をした。","Hầu hết cha người ta nói về kỳ nghỉ. Cha bạn nói về tòa nhà.",9,0
