"Strip_ID","Start_VO_ID","End_VO_ID","Life_Phase","Duration_Sec","Scene_Type"
"PV_0002_001","1","1","HOOK","4.2","NARRATIVE_SCENE"
"PV_0002_002","2","2","HOOK","7.8","NARRATIVE_SCENE"
"PV_0002_003","3","3","HOOK","4.2","NARRATIVE_SCENE"
"PV_0002_004","4","4","HOOK","5.2","NARRATIVE_SCENE"
"PV_0002_005","5","5","HOOK","5.5","NARRATIVE_SCENE"
"PV_0002_006","6","6","HOOK","6.9","NARRATIVE_SCENE"
"PV_0002_007","7","7","HOOK","4.2","NARRATIVE_SCENE"
"PV_0002_008","8","8","HOOK","6.9","NARRATIVE_SCENE"
"PV_0002_009","9","9","HOOK","5.6","NARRATIVE_SCENE"
"PV_0002_010","10","10","HOOK","4.2","NARRATIVE_SCENE"
"PV_0002_011","11","11","HOOK","7.8","NARRATIVE_SCENE"
"PV_0002_012","12","12","HOOK","4.2","NARRATIVE_SCENE"
"PV_0002_013","13","13","HOOK","3.3","NARRATIVE_SCENE"
"PV_0002_014","14","14","HOOK","5.7","NARRATIVE_SCENE"
"PV_0002_015","15","15","PHASE_EARLY","2.4","NARRATIVE_SCENE"
"PV_0002_016","16","16","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_017","17","17","PHASE_EARLY","3.7","NARRATIVE_SCENE"
"PV_0002_018","18","18","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_019","19","19","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0002_020","20","20","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0002_021","21","21","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0002_022","22","22","PHASE_EARLY","4.7","NARRATIVE_SCENE"
"PV_0002_023","23","23","PHASE_EARLY","5.1","NARRATIVE_SCENE"
"PV_0002_024","24","24","PHASE_EARLY","5.5","NARRATIVE_SCENE"
"PV_0002_025","25","25","PHASE_EARLY","4.6","NARRATIVE_SCENE"
"PV_0002_026","26","26","PHASE_EARLY","5.5","NARRATIVE_SCENE"
"PV_0002_027","27","27","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_028","28","28","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_029","29","29","PHASE_EARLY","3.7","NARRATIVE_SCENE"
"PV_0002_030","30","30","PHASE_EARLY","8.3","NARRATIVE_SCENE"
"PV_0002_031","31","31","PHASE_EARLY","4.2","NARRATIVE_SCENE"
"PV_0002_032","32","32","PHASE_EARLY","5.1","NARRATIVE_SCENE"
"PV_0002_033","33","33","PHASE_EARLY","3.7","NARRATIVE_SCENE"
"PV_0002_034","34","34","PHASE_EARLY","6","EMOTIONAL_CLOSEUP"
"PV_0002_035","35","35","PHASE_EARLY","4.2","EMOTIONAL_CLOSEUP"
"PV_0002_036","36","36","PHASE_EARLY","7","EMOTIONAL_CLOSEUP"
"PV_0002_037","37","37","PHASE_EARLY","3.2","EMOTIONAL_CLOSEUP"
"PV_0002_038","38","38","PHASE_EARLY","7.4","NARRATIVE_SCENE"
"PV_0002_039","39","39","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_040","40","40","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0002_041","41","41","PHASE_EARLY","8.3","NARRATIVE_SCENE"
"PV_0002_042","42","42","PHASE_EARLY","2.8","NARRATIVE_SCENE"
"PV_0002_043","43","43","PHASE_EARLY","6.5","NARRATIVE_SCENE"
"PV_0002_044","44","44","PHASE_EARLY","6","NARRATIVE_SCENE"
"PV_0002_045","45","45","PHASE_EARLY","6.6","TEXT_OVERLAY"
"PV_0002_046","46","46","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_047","47","47","PHASE_CONFLICT","7.8","NARRATIVE_SCENE"
"PV_0002_048","48","48","PHASE_CONFLICT","3.7","NARRATIVE_SCENE"
"PV_0002_049","49","49","PHASE_CONFLICT","4.7","NARRATIVE_SCENE"
"PV_0002_050","50","50","PHASE_CONFLICT","7.8","NARRATIVE_SCENE"
"PV_0002_051","51","51","PHASE_CONFLICT","6","NARRATIVE_SCENE"
"PV_0002_052","52","52","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0002_053","53","53","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_054","54","54","PHASE_CONFLICT","6.5","NARRATIVE_SCENE"
"PV_0002_055","55","55","PHASE_CONFLICT","6.9","NARRATIVE_SCENE"
"PV_0002_056","56","56","PHASE_CONFLICT","5.5","NARRATIVE_SCENE"
"PV_0002_057","57","57","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0002_058","58","58","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_059","59","59","PHASE_CONFLICT","2.8","NARRATIVE_SCENE"
"PV_0002_060","60","60","PHASE_CONFLICT","6.5","NARRATIVE_SCENE"
"PV_0002_061","61","61","PHASE_CONFLICT","3.7","NARRATIVE_SCENE"
"PV_0002_062","62","62","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_063","63","63","PHASE_CONFLICT","3.3","TEXT_OVERLAY"
"PV_0002_064","64","64","PHASE_CONFLICT","4.6","NARRATIVE_SCENE"
"PV_0002_065","64","64","PHASE_CONFLICT","4.6","EMOTIONAL_CLOSEUP"
"PV_0002_066","65","65","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_067","66","66","PHASE_CONFLICT","4.8","NARRATIVE_SCENE"
"PV_0002_068","66","66","PHASE_CONFLICT","4.9","EMOTIONAL_CLOSEUP"
"PV_0002_069","67","67","PHASE_CONFLICT","5.5","NARRATIVE_SCENE"
"PV_0002_070","68","68","PHASE_CONFLICT","6","NARRATIVE_SCENE"
"PV_0002_071","69","69","PHASE_CONFLICT","5.5","NARRATIVE_SCENE"
"PV_0002_072","70","70","PHASE_CONFLICT","6.5","NARRATIVE_SCENE"
"PV_0002_073","71","71","PHASE_CONFLICT","3.2","NARRATIVE_SCENE"
"PV_0002_074","72","72","PHASE_CONFLICT","4.8","NARRATIVE_SCENE"
"PV_0002_075","72","72","PHASE_CONFLICT","4.9","EMOTIONAL_CLOSEUP"
"PV_0002_076","73","73","PHASE_CONFLICT","5.6","NARRATIVE_SCENE"
"PV_0002_077","74","74","PHASE_CONFLICT","6","NARRATIVE_SCENE"
"PV_0002_078","75","75","PHASE_CONFLICT","4.2","NARRATIVE_SCENE"
"PV_0002_079","76","76","PHASE_CONFLICT","5.6","NARRATIVE_SCENE"
"PV_0002_080","76","76","PHASE_CONFLICT","5.5","EMOTIONAL_CLOSEUP"
"PV_0002_081","77","77","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_082","78","78","PHASE_CONFLICT","7","NARRATIVE_SCENE"
"PV_0002_083","79","79","PHASE_CONFLICT","6","EMOTIONAL_CLOSEUP"
"PV_0002_084","80","80","PHASE_CONFLICT","7.4","EMOTIONAL_CLOSEUP"
"PV_0002_085","81","81","PHASE_CONFLICT","4.8","NARRATIVE_SCENE"
"PV_0002_086","81","81","PHASE_CONFLICT","4.9","EMOTIONAL_CLOSEUP"
"PV_0002_087","82","82","PHASE_CONFLICT","6","EMOTIONAL_CLOSEUP"
"PV_0002_088","83","83","PHASE_CONFLICT","5.1","NARRATIVE_SCENE"
"PV_0002_089","83","83","PHASE_CONFLICT","5.1","EMOTIONAL_CLOSEUP"
"PV_0002_090","84","84","PHASE_CONFLICT","7.1","TEXT_OVERLAY"
"PV_0002_091","85","85","PHASE_CRISIS","1.8","EMOTIONAL_CLOSEUP"
"PV_0002_092","86","86","PHASE_CRISIS","4.2","EMOTIONAL_CLOSEUP"
"PV_0002_093","87","87","PHASE_CRISIS","2.3","EMOTIONAL_CLOSEUP"
"PV_0002_094","88","88","PHASE_CRISIS","6.9","EMOTIONAL_CLOSEUP"
"PV_0002_095","89","89","PHASE_CRISIS","5.6","EMOTIONAL_CLOSEUP"
"PV_0002_096","90","90","PHASE_CRISIS","5.1","EMOTIONAL_CLOSEUP"
"PV_0002_097","91","91","PHASE_CRISIS","6.5","EMOTIONAL_CLOSEUP"
"PV_0002_098","92","92","PHASE_CRISIS","3.7","EMOTIONAL_CLOSEUP"
"PV_0002_099","93","93","PHASE_CRISIS","1.8","EMOTIONAL_CLOSEUP"
"PV_0002_100","94","94","PHASE_CRISIS","7.8","EMOTIONAL_CLOSEUP"
"PV_0002_101","95","95","PHASE_CRISIS","4.7","EMOTIONAL_CLOSEUP"
"PV_0002_102","96","96","PHASE_CRISIS","5.7","EMOTIONAL_CLOSEUP"
"PV_0002_103","97","97","PHASE_CRISIS","7.4","NARRATIVE_SCENE"
"PV_0002_104","98","98","PHASE_CRISIS","4.2","NARRATIVE_SCENE"
"PV_0002_105","99","99","PHASE_CRISIS","4.8","NARRATIVE_SCENE"
"PV_0002_106","99","99","PHASE_CRISIS","4.9","EMOTIONAL_CLOSEUP"
"PV_0002_107","100","100","PHASE_CRISIS","5.6","TEXT_OVERLAY"
"PV_0002_108","101","101","PHASE_CRISIS","1.8","NARRATIVE_SCENE"
"PV_0002_109","102","102","PHASE_CRISIS","6.5","NARRATIVE_SCENE"
"PV_0002_110","103","103","PHASE_CRISIS","6","NARRATIVE_SCENE"
"PV_0002_111","104","104","PHASE_CRISIS","5.6","NARRATIVE_SCENE"
"PV_0002_112","105","105","PHASE_CRISIS","5.1","EMOTIONAL_CLOSEUP"
"PV_0002_113","106","106","PHASE_CRISIS","5.1","EMOTIONAL_CLOSEUP"
"PV_0002_114","107","107","PHASE_CRISIS","6","EMOTIONAL_CLOSEUP"
"PV_0002_115","108","108","PHASE_CRISIS","7.4","EMOTIONAL_CLOSEUP"
"PV_0002_116","109","109","PHASE_CRISIS","4.2","NARRATIVE_SCENE"
"PV_0002_117","110","110","PHASE_CRISIS","7.4","NARRATIVE_SCENE"
"PV_0002_118","111","111","PHASE_CRISIS","6.9","NARRATIVE_SCENE"
"PV_0002_119","112","112","PHASE_CRISIS","5.1","NARRATIVE_SCENE"
"PV_0002_120","113","113","PHASE_CRISIS","7.9","NARRATIVE_SCENE"
"PV_0002_121","114","114","PHASE_CRISIS","5.5","NARRATIVE_SCENE"
"PV_0002_122","115","115","PHASE_CRISIS","5.1","NARRATIVE_SCENE"
"PV_0002_123","116","116","PHASE_CRISIS","4.3","TEXT_OVERLAY"
"PV_0002_124","117","117","PHASE_RESOLUTION","4.6","NARRATIVE_SCENE"
"PV_0002_125","118","118","PHASE_RESOLUTION","5.1","NARRATIVE_SCENE"
"PV_0002_126","119","119","PHASE_RESOLUTION","6.5","NARRATIVE_SCENE"
"PV_0002_127","120","120","PHASE_RESOLUTION","6","NARRATIVE_SCENE"
"PV_0002_128","121","121","PHASE_RESOLUTION","7","NARRATIVE_SCENE"
"PV_0002_129","122","122","PHASE_RESOLUTION","2.8","NARRATIVE_SCENE"
