VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,Word_Count_EN,Pause_After
1,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You wake up at six fifteen.",6,0
2,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"The alarm doesn't really wake you.",6,0
3,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You were already half awake, staring at the ceiling.",9,0
4,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You make coffee.",3,0
5,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You drive to work in a car that's almost paid off.",11,0
6,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You kiss your daughter on the forehead before you leave.",10,0.5
7,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"She barely looks up from her cereal.",7,0
8,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You are no one special.",5,0.5
9,PV_0017,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"And that is the point.",5,1.5
10,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The doctor sits across from you in a small room with fluorescent lights.",12,0
11,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"There's a model kidney on his desk.",7,0
12,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Plastic.",1,0
13,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He says two words you don't understand at first.",9,0.5
14,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"End-stage renal failure.",3,1.0
15,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He explains what that means.",5,0
16,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Your kidneys are dying.",4,0.5
17,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"They've been dying for a while.",6,0
18,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You just didn't know.",5,0.5
19,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"And once they stop, so do you.",7,1.5
20,PV_0017,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"You did not choose this.",5,1.0
21,PV_0017,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"Your body chose for you.",5,2.0
22,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You go to the transplant office on a Tuesday.",9,0
23,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The waiting room has plastic chairs and a television nobody watches.",11,0
24,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You fill out twelve pages of forms.",7,0
25,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Medical history.",2,0
26,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Insurance.",1,0
27,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Emergency contact.",2,0.5
28,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They give you a number.",5,0.5
29,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Eight hundred and forty-seven.",5,1.0
