VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You wake up at six fifteen.","Ban tinh day luc sau gio muoi lam.",6,0
2,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You were already half awake, staring at the ceiling.","Ban da nua tinh nua ngu, nhin tran nha.",9,0
3,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You make coffee.","Ban pha ca phe.",3,0
4,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"Same mug every morning.","Van cai coc do moi sang.",4,0
5,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You kiss your daughter on the forehead before you leave.","Ban hon len tran con gai truoc khi di.",10,0.5
6,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"She barely looks up from her cereal.","No con khong ngo len khoi bat ngu coc.",7,0
7,PV_0017,BEAT_01_01,HOOK,ESTABLISH,NARRATION,"You are no one special.","Ban chang co gi dac biet.",5,0.5
8,PV_0017,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"And that is the point.","Va do chinh la van de.",5,1.5
9,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"The doctor sits across from you in a small room with fluorescent lights.","Bac si ngoi doi dien ban trong phong nho voi den huynh quang.",12,0
10,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"There's a model kidney on his desk.","Co mot mo hinh qua than tren ban.",7,0
11,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Plastic.","Bang nhua.",1,0
12,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He picks it up when he talks, turns it over like he's explaining a car part.","Ong ay cam no len khi noi, xoay xoay nhu dang giai thich mot bo phan o to.",15,0
13,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He says two words you don't understand at first.","Ong ay noi hai tu ban khong hieu ngay.",9,0.5
14,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"End-stage renal failure.","Suy than giai doan cuoi.",3,1.0
15,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He explains what that means.","Ong ay giai thich no co nghia la gi.",5,0
16,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Your kidneys are dying.","Than cua ban dang chet.",4,0.5
17,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"They've been dying for a while.","Chung da chet dan tu lau roi.",6,0
18,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"You just didn't know.","Ban chi khong biet thoi.",5,0.5
19,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"He puts the model back on the desk.","Ong ay dat mo hinh xuong ban.",7,0
20,PV_0017,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"And once they stop, so do you.","Va khi chung dung lai, ban cung vay.",7,1.5
21,PV_0017,BEAT_01_03,HOOK,REFLECT,NARRATION,"You sit in the parking lot for twenty minutes after.","Ban ngoi trong bai do xe hai muoi phut sau do.",10,0
22,PV_0017,BEAT_01_03,HOOK,REFLECT,NARRATION,"The engine is running.","May van no.",4,0
23,PV_0017,BEAT_01_03,HOOK,REFLECT,NARRATION,"You just sit there.","Ban chi ngoi do.",4,0
24,PV_0017,BEAT_01_03,HOOK,REFLECT,NARRATION,"Your phone buzzes twice.","Dien thoai rung hai lan.",4,0
25,PV_0017,BEAT_01_03,HOOK,REFLECT,NARRATION,"You leave it.","Ban de mac.",3,0.5
26,PV_0017,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"You did not choose this.","Ban khong chon dieu nay.",5,1.0
27,PV_0017,BEAT_01_03,HOOK,REFLECT,WEIGHT_LINE,"Your body chose for you.","Co the ban da chon thay ban.",5,2.0
28,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You go to the transplant office on a Tuesday.","Ban den van phong ghep tang vao mot ngay thu Ba.",9,0
29,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The waiting room has plastic chairs and a television nobody watches.","Phong cho co ghe nhua va mot cai ti vi khong ai xem.",11,0
30,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"A talk show is playing.","Mot chuong trinh truyen hinh dang chay.",5,0
31,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The volume is too low to hear.","Am luong nho qua khong nghe duoc.",7,0
32,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Everyone in this room looks tired.","Moi nguoi trong phong nay deu trong met moi.",6,0
33,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You fill out twelve pages of forms.","Ban dien muoi hai trang mau don.",7,0
34,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Medical history.","Tien su benh.",2,0
35,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Insurance.","Bao hiem.",1,0
36,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Emergency contact.","Lien he khan cap.",2,0.5
37,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You write your wife's name.","Ban ghi ten vo.",5,0
38,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Your hand pauses at the line that says: relationship to patient.","Tay ban dung lai o dong ghi: quan he voi benh nhan.",11,0
39,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You write: wife.","Ban ghi: vo.",3,0
40,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"It feels heavier than it should.","No nang hon muc can thiet.",6,0.5
41,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They give you a number.","Ho dua ban mot con so.",5,0.5
42,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Eight hundred and forty-seven.","Tam tram bon muoi bay.",5,1.0
43,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The woman behind the desk doesn't look up.","Nguoi phu nu sau quay khong ngo len.",8,0
44,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"She's done this a thousand times.","Co ay da lam dieu nay ca ngan lan.",6,0.5
45,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You fold the paper and put it in your wallet.","Ban gap to giay va bo vao vi.",10,0
46,PV_0017,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You keep it there anyway.","Ban van giu no o do.",5,0.5
47,PV_0017,BEAT_02_02,PHASE_EARLY,CONSTRAINT,NARRATION,"Every Tuesday you sit in a chair for four hours.","Moi thu Ba ban ngoi tren ghe bon tieng.",10,0
