Beat_ID,Life_Phase,Beat_Type,Mood_Tag,Content_Sketch,VO_Draft_EN,Word_Count
BEAT_01_01,HOOK,ESTABLISH,WONDER,"Morning routine - you make coffee, drive to work, kiss your kid goodbye. You are ordinary.","You wake up at six fifteen. You make coffee. You drive to work. You kiss your daughter on the forehead before you leave. You are no one special. And that is the point.",32
BEAT_01_02,HOOK,ESTABLISH,TENSION,"Doctor's office. The word: end-stage renal failure. The countdown starts.","The doctor sits across from you. He says two words you don't understand at first. End-stage renal failure. Your kidneys are dying. And once they stop, so do you.",30
BEAT_01_03,HOOK,REFLECT,TENSION,"You didn't choose this. But your body chose for you.","You didn't choose this. Your body chose for you.",9
BEAT_02_01,PHASE_EARLY,ESTABLISH,TENSION,"You register for the transplant waiting list. Your number is 847.","You go to the transplant office. You fill out forms. They give you a number. Eight hundred and forty-seven. The woman behind the desk doesn't look up.",27
BEAT_02_02,PHASE_EARLY,CONSTRAINT,TENSION,"Every Tuesday: dialysis. Four hours in a chair.","Every Tuesday you sit in a chair for four hours. A machine cleans your blood because your body can't. You stare at the ceiling. You count the tiles. There are forty-three.",31
BEAT_02_03,PHASE_EARLY,CONSTRAINT,DREAD,"Your number moves from 847 to 843. Four spots in three months means four people died.","Three months pass. Your number moves from eight forty-seven to eight forty-three. Four spots. That means four people ahead of you died. That is how the list works. Someone dies. You move up.",33
BEAT_02_04,PHASE_EARLY,REFLECT,LONGING,"Your body changes. Swollen ankles. Constant fatigue. Your daughter asks why you sleep so much.","Your ankles swell. You sleep twelve hours and wake up tired. Your daughter asks why you nap so much. You say you're just a little under the weather. You've said that for five months now.",33
BEAT_02_05,PHASE_EARLY,CONFLICT,LONGING,"Your family watches you shrink. They smile when you look.","Your wife smiles when you catch her looking. But you've seen the face she makes when she thinks you can't see. It's not sadness. It's preparation.",27
BEAT_03_01,PHASE_CONFLICT,ESTABLISH,TENSION,"Someone at the dialysis center mentions a contact who can help outside the system.","Someone at the dialysis center leans over. He says he knows a guy. A guy who can help. Outside the system. You shake your head. You say no thanks.",29
BEAT_03_02,PHASE_CONFLICT,CONFLICT,TENSION,"Hotel lobby. A man in a dark jacket. He says: you don't need to know the details.","A hotel lobby. The man wears a dark jacket. He doesn't give you his name. He says he can get you a kidney. Four to six weeks. You don't need to know the details. Just be ready.",35
BEAT_03_03,PHASE_CONFLICT,REFLECT,TENSION,"You say no. You say you will wait. You say the system works.","You say no. You say the system works. You say you'll wait your turn. He nods. He slides a phone number across the table. He says: keep it. Just in case.",31
BEAT_03_04,PHASE_CONFLICT,CRISIS,DREAD,"Emergency room. Your kidneys are failing. The doctor says six months.","Three weeks later you're in the emergency room. Your creatinine levels have spiked. The doctor says six months. Maybe less. He says it gently. Like that makes it better.",29
BEAT_03_05,PHASE_CONFLICT,CONFLICT,DREAD,"You lie in bed staring at the ceiling. Your daughter's birthday is in seven months.","You lie in bed. Your daughter's birthday is in seven months. You do the math. You've been doing the math every night.",21
BEAT_03_06,PHASE_CONFLICT,CRISIS,DREAD,"You call the number. The broker answers on the second ring.","You find the number in your wallet. You sit in the car. Engine off. You call. He answers on the second ring. He says: I knew you'd call back.",28
BEAT_03_07,PHASE_CONFLICT,REFLECT,DREAD,"He asks: can you travel? You say yes. You don't ask anything else.","He asks if you can travel. You say yes. He asks if you have the money. You say yes. He says he'll call you with a date. You don't ask where the kidney comes from. You don't ask anything.",36
BEAT_04_01,PHASE_CRISIS,ESTABLISH,DREAD,"A foreign city. A clinic with no sign. Staff move fast and don't make eye contact.","A city you've never been to. A clinic with no name on the door. The hallway smells like bleach. Staff walk past you without looking up.",26
BEAT_04_02,PHASE_CRISIS,CRISIS,DREAD,"You lie on the operating table. You hear machines in the next room. You chose not to know.","You lie on the table. The anesthesiologist counts backward. You hear something from the other room. A machine. A voice. You close your eyes. You chose not to know.",28
BEAT_04_03,PHASE_CRISIS,REFLECT,DREAD,"You wake up. Something inside you that was not there before. You will never know who.","You wake up. There is something inside you that was not there yesterday. It is working. You can feel it. It belonged to someone. You will never know who.",28
BEAT_04_04,PHASE_CRISIS,CONFLICT,CLARITY,"A nurse hands you a false medical declaration. You sign it without reading.","A nurse hands you a form. Voluntary donation. Family member. You know every word on this page is a lie. You sign it anyway.",22
BEAT_05_01,PHASE_RESOLUTION,ESTABLISH,BITTERSWEET,"Home. Your family hugs you. Your daughter says you look better. Your eyes don't match.","You come home. Your daughter runs to the door. She says you look better. Your wife holds you and doesn't let go. You smile. Your eyes don't match your mouth.",30
BEAT_05_02,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"Every morning: one pill. Immunosuppressant. Every pill is a reminder.","Every morning you open a bottle. One pill. Immunosuppressant. Your body will reject the kidney without it. You'll take this pill every day for the rest of your life. Every pill is a clock that resets.",34
BEAT_05_03,PHASE_RESOLUTION,CONFLICT,BITTERSWEET,"A friend asks about the transplant. You answer the rehearsed story.","A friend asks at dinner: so the transplant went well? Family donor? You nod. You say your cousin. Overseas. You've rehearsed this answer so many times it almost sounds true.",30
BEAT_05_04,PHASE_RESOLUTION,CONFLICT,DREAD,"A news article about organ trafficking. You turn the page. Your hands are shaking.","You see a headline. Organ trafficking ring dismantled. Twelve arrests. You turn the page. Your hands are shaking. You put down the paper. You pick up your coffee. You pretend nothing happened.",31
BEAT_05_05,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"The phone rings. The network. They ask: need anything else? You hang up. You don't delete the number.","The phone rings. A number you recognize. A voice you recognize. They ask if you need anything. Liver segment. Cornea. You hang up. You don't delete the number. You don't know why.",32
BEAT_06_01,CALLBACK,CALLBACK,BITTERSWEET,"Morning. Coffee. Same kitchen. Same life. But you carry something now.","You wake up at six fifteen. You make coffee. You drive to work. You kiss your daughter on the forehead. Everything looks the same. But inside you there is something that will never be yours. And you will never ask who it belonged to.",42
BEAT_06_02,CALLBACK,CTA,BITTERSWEET,"If you've ever wondered what it feels like to live with a part of someone else's body.","If you've ever wondered what it feels like to carry someone else inside you and never ask how they got there. Now you know.",22
