Beat_ID,Life_Phase,Beat_Type,Mood_Tag,Content_Sketch,VO_Draft_EN,Word_Count
BEAT_01_01,HOOK,ESTABLISH,WONDER,"The call comes in. You haven't arrived yet. You already know who it is.","The call comes in. You haven't left the car yet. You already know who it is.",16
BEAT_01_02,HOOK,ESTABLISH,WONDER,"Not because you know them.","Not because you know them.",6
BEAT_01_03,HOOK,ESTABLISH,WONDER,"You don't protect people. You sort them.","You don't protect people. You sort them.",7
BEAT_02_01,PHASE_EARLY,ESTABLISH,WONDER,"Training room. Five words taught before aim.","They teach you a sentence before they teach you to aim. Five words. 'I feared for my life.' You learn to say it the way you learn to field-strip a weapon. With your eyes closed. Without thinking.",37
BEAT_02_02,PHASE_EARLY,TIME_MARKER,WONDER,"First patrol. Weapon heavy. Hope never use it.","First patrol. The holster pulls at your hip. The weight is real. You walk slower because of it. You hope you never have to touch it.",26
BEAT_02_03,PHASE_EARLY,CONSTRAINT,TENSION,"Hand touches holster. Notice. Pull back.","Your hand drifts to the holster. You catch it. Pull it back. You don't know why it moved.",17
BEAT_03_01,PHASE_CONFLICT,CONFLICT,TENSION,"First draw. They freeze. Everything stops. Except you.","First time you draw on someone. They're unarmed. You know that before you pull it. They freeze. Everything around you stops. The street. The noise. The person in front of you. Everything stops. Except you.",34
BEAT_03_02,PHASE_CONFLICT,CONFLICT,TENSION,"Wait for fear. It doesn't come.","You wait for the fear. The shaking hands. The racing pulse. It doesn't come. What comes instead is something else. Something steady.",22
BEAT_03_03,PHASE_CONFLICT,CONFLICT,TENSION,"Show your hands. Get on the ground. Slow. Deliberate.","'Show your hands.' Pause. 'Get on the ground.' You say each word like you're reading from a card. Slow. Clear. There's space between the commands. Space for them to comply.",30
BEAT_03_04,PHASE_CONFLICT,REFLECT,TENSION,"You reach before you think. First time.","Back at the car. Your hand is on the holster again. You didn't put it there. You pull it back. You reach before you think. First time you notice that.",29
BEAT_03_05,PHASE_CONFLICT,CONFLICT,TENSION,"Draw faster. They haven't stopped. Already shouting.","Next time you draw faster. They haven't stopped walking yet. You're already shouting. Everything stops. Except you.",18
BEAT_03_06,PHASE_CONFLICT,CONFLICT,DREAD,"Don't wait for them to stop. Don't wait for them to understand.","You stop waiting for them to stop. You stop waiting for them to understand. The commands come out before you've finished deciding what to say.",24
BEAT_03_07,PHASE_CONFLICT,CRISIS,DREAD,"Overlapping commands. Fire. Board clears. Forty minutes.","'Hands up. On the ground. Don't move.' All at once. They can't do all three. That's not a mistake. You fire. The review board meets. Three people behind a desk. They clear you in forty minutes. Forty minutes for a life.",39
BEAT_03_08,PHASE_CONFLICT,REFLECT,DREAD,"Furtive movement. Already wrote that. Don't remember when.","You write 'furtive movement' in the report. You've written that before. You don't remember when the first time was.",19
BEAT_03_09,PHASE_CONFLICT,CONFLICT,DREAD,"Shooting count highest. Sergeant calls proactive. Except you.","Your shooting count is the highest in the precinct. Your sergeant calls you proactive. Everything stops when you arrive. Except you.",20
BEAT_03_10,PHASE_CONFLICT,REFLECT,DREAD,"I feared for my life. Automatic. Camera click.","'I feared for my life.' The words come out before the question finishes. You don't think about them. The body camera clicks. You don't look at it.",26
BEAT_04_01,PHASE_CRISIS,CRISIS,DREAD,"Show your ID. They reach. Hands- Fire.","'Show your ID.' They reach into their pocket. Your mouth opens. 'Hands-' You fire.",14
BEAT_04_02,PHASE_CRISIS,CRISIS,DREAD,"Show your ID. It was already in their hand.","You look down. The ID is on the ground. Open. Photo facing up. It was already in their hand. You told them to reach for it. You don't remember deciding to fire.",31
BEAT_04_03,PHASE_CRISIS,CONFLICT,DREAD,"Rookie hesitates. You don't. Rookie fires after.","The rookie is standing behind you. Frozen. You fired first. The rookie fired after. Your decision became theirs.",18
BEAT_04_04,PHASE_CRISIS,REFLECT,CLARITY,"Rookie looks at you. The way you used to look.","The rookie looks at you. Wide eyes. Hands still up. It's the same look you had once. You don't remember when you lost it.",22
BEAT_05_01,PHASE_RESOLUTION,RESOLVE,CLARITY,"Teach rookie five words. Rookie's voice. Sounds wrong.","You teach the rookie the five words. They say it back. 'I feared for my life.' Same words. But it sounds wrong in their voice. Too new. Too clean.",28
BEAT_05_02,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"Report. Recognize words. Not the person.","You look at the report on your desk. You recognize your handwriting. You recognize the words. You don't recognize the person they describe.",22
BEAT_05_03,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"ID photo in corner. Don't remember that face.","There's an ID photo stapled to the corner of the file. You stare at it. You don't remember seeing that face.",20
BEAT_05_04,PHASE_RESOLUTION,REFLECT,BITTERSWEET,"Report again. One detail wrong. Don't fix it.","You read the report again. One detail doesn't match. You know which one. You don't fix it.",16
BEAT_05_05,PHASE_RESOLUTION,RESOLVE,CLARITY,"I feared for my life. Don't remember if you did.","'I feared for my life.' You write it at the bottom of the page. You don't remember if you did.",18
BEAT_06_01,CALLBACK_CLOSE,CALLBACK,BITTERSWEET,"Call comes in. Same format. Hand on holster before dispatcher finishes.","The call comes in. Same format. Different person. Your hand is on the holster before the dispatcher finishes talking.",19
BEAT_06_02,CALLBACK_CLOSE,CTA,CLARITY,"Hand was already there. You didn't place it.","Your hand is already there. You didn't place it.",9
