Beat_ID,Life_Phase,Beat_Type,Mood_Tag,Content_Sketch,VO_Draft_EN,Word_Count
BEAT_01_01,HOOK,ESTABLISH,WONDER,"You arrive second. The gloves go on before you step out of the car.","You arrive second. The gloves go on before you step out of the car.",16
BEAT_01_02,HOOK,ESTABLISH,WONDER,"Thirty-seven scenes. Not one question.","Thirty-seven scenes. Not one investigation. Not one question.",10
BEAT_01_03,HOOK,ESTABLISH,WONDER,"By the time you leave, it never happened.","By the time you leave, it never happened.",9
BEAT_02_01,PHASE_EARLY,ESTABLISH,WONDER,"First patrol week. See cop kick gun closer to body. Say nothing. Silence is the first clean.","First week on patrol. You watch a cop kick a gun two feet closer to the body. You say nothing. That is the first clean. Silence. You learn it before you learn anything else.",34
BEAT_02_02,PHASE_EARLY,CONSTRAINT,TENSION,"Senior cop pulls aside. Shows how to read a scene - not for evidence, for problems.","A senior detective pulls you aside after shift. He does not teach you how to read a crime scene. He teaches you how to read a problem. What the camera saw. What the report needs to say. Where the story does not match.",41
BEAT_02_03,PHASE_EARLY,REFLECT,TENSION,"Watch first clean by someone else. Hands move. Eyes follow. Haven't touched anything but you know.","You watch him work a scene for the first time. His hands move and your eyes follow. He adjusts the angle. He checks the sightline. He writes two words in his notebook and the investigation closes in a week. You have not touched anything. You have not moved anything. But you know how it works now.",50
BEAT_02_04,PHASE_EARLY,REFLECT,TENSION,"You don't touch anything. But you don't report it either.","You don't touch anything. But you don't report it either.",10
BEAT_03_01,PHASE_CONFLICT,CONFLICT,TENSION,"First time cleaning. THE HANDS - palms open, reposition to waistband/reaching.","Your first clean. The scene is simple. One body. One officer. One story that does not match. The hands are up. Palms open. That is not self-defense. You kneel down. You reposition them. One hand on the waistband. One reaching. It takes four seconds. Four seconds and the scene tells a different story.",51
BEAT_03_02,PHASE_CONFLICT,CONFLICT,TENSION,"Tell me again. Coach officer. Third try: story holds.","You find the officer in the hallway. He is shaking. You say three words. Tell me again. He starts over. You stop him at the wrong parts. Tell me again. By the third time the story is clean. It always takes three times.",40
BEAT_03_03,PHASE_CONFLICT,REFLECT,TENSION,"Report filed. Scene cleared. Wait for someone to question it. No one does.","You file the report. The scene is cleared. You drive home. You wait for someone to call. For someone to question it. For the phone to ring with a voice that says something does not add up. No one calls. No one questions it.",40
BEAT_03_04,PHASE_CONFLICT,REFLECT,DREAD,"By the time you leave, it never happened. You step back. You look at the scene.","By the time you leave, it never happened. You step back. You look at the scene. You check if it matches the story you need it to tell. It does. You did that.",33
BEAT_03_05,PHASE_CONFLICT,REFLECT,TENSION,"Sensory beat. Gloves pulled on slowly. Radio turned down.","The gloves go on slower now. One finger at a time. You reach for the radio and turn it down. Dispatch does not need to hear this part.",27
BEAT_04_01,PHASE_CRISIS,CONFLICT,DREAD,"Cycle 2 friction. Gun says self-defense, casings say shooter was moving. Choose gun.","Second scene. The gun position says self-defense. But the casings tell a different story. The shooter was moving. You can fix the gun or the casings. Not both. You choose the gun. You always choose the gun.",36
BEAT_04_02,PHASE_CRISIS,CRISIS,DREAD,"Punchline: fix gun, leave casings. It always matters later. Two inches.","You fix the gun. You leave the casings. You tell yourself it won't matter. It always matters later. Two inches. That is all it takes. Two inches turns an execution into self-defense.",32
BEAT_04_03,PHASE_CRISIS,CRISIS,DREAD,"Scale reveal. Thirty-seven scenes. Not one question. Not one correction. Not one version that wasn't yours.","Thirty-seven scenes. Not one question. Not one correction. Not one version that was not yours.",16
BEAT_04_04,PHASE_CRISIS,CRISIS,DREAD,"Scene anchor resurface. Autopsy contradicts hand position. Adjust one line in report.","The autopsy report comes back three weeks later. Bruising inconsistent with the hand position in your photos. You call the officer. Were the hands up or down when you arrived. He pauses. Down. No. Up. I think up. You adjust one line in the report. Hands were observed reaching toward waistband. One line. One line changes everything.",53
BEAT_04_05,PHASE_CRISIS,CONFLICT,DREAD,"Cycle 3 friction. Cloud-syncing camera. Don't know how much uploaded. Clean anyway.","The body camera was recording. You pull the battery. But the light was on. Cloud-syncing. You don't know how much uploaded. You don't know if the casings from last month will matter either. You clean the scene anyway.",38
BEAT_04_06,PHASE_CRISIS,CRISIS,DREAD,"Report reaches them first. Tell me again (routine). Drop gun. Battery malfunction.","Because the report will reach them first. Tell me again. You say it like a director giving notes to an actor. Skip the part about the hands. They were not up. They were reaching. The drop gun stays in the trunk. The battery died. You know because you pulled it yourself.",46
BEAT_04_07,PHASE_CRISIS,REFLECT,DREAD,"You step back (automatic). Stop remembering names. Bridge: stop asking what happened.","You step back. It already matches. You knew it would. Your hands know the work now. You stop remembering names. You remember charges. You don't remember when that changed. You stop asking what happened. You ask what it needs to look like.",40
BEAT_05_01,PHASE_RESOLUTION,CRISIS,DREAD,"New call. Move gun. Pocket casing. Reposition hands. [PAUSE]","New call. You arrive. You don't ask what happened. You start working. You move the gun. You pocket a casing. You reposition the hands.",23
BEAT_05_02,PHASE_RESOLUTION,CRISIS,DREAD,"Read the scene. First reveal: scene was clean. Justified. Already changed three things.","Then you read the scene. The shooting was justified. The scene was clean. Everything was where it should have been. You already changed three things.",25
BEAT_05_03,PHASE_RESOLUTION,CRISIS,DREAD,"Try to fix angle. Doesn't fix. Second reveal: someone already moved it. Or you were here before.","You try to put the gun back. The angle is wrong. But not the way you expected. Someone already moved it. Or you were here before. You don't know which is worse.",30
BEAT_05_04,PHASE_RESOLUTION,REFLECT,CLARITY,"Gloves on. Don't remember putting them on. Don't remember starting. Agency collapse.","You look at your hands. Gloves on. You don't remember putting them on. You don't remember starting.",17
BEAT_05_05,PHASE_RESOLUTION,REFLECT,CLARITY,"Scene anchor final: hands reaching toward waistband. Remember reaching. Not open. Because you wrote reaching.","You read the report. Hands reaching toward waistband. You remember reaching. You don't remember open. You don't remember up. Because you wrote reaching. And reaching is what you remember now.",31
BEAT_05_06,PHASE_RESOLUTION,RESOLVE,CLARITY,"By the time you leave, it never happened. Write report anyway.","By the time you leave, it never happened. You write the report anyway. The report matches what you made. Not what was there. Not what was there before.",27
BEAT_06_01,CALLBACK_CLOSE,RESOLVE,CLARITY,"New cop watches. Moves casing. You nod. Says 'I arrived after.' Your words.","A new cop watches you work a scene. Eyes on your hands. The next month he moves a casing without being asked. He looks at you. You nod. Someone asks him what he saw. He says I arrived after. Your words. Not his.",40
BEAT_06_02,CALLBACK_CLOSE,REFLECT,CLARITY,"Tell me again from their mouth. Autonomy: you don't remember learning it either. They don't remember asking.","You hear him say it to someone else. Tell me again. Your phrase. Your cadence. You watch him do it. The way you do. Exactly the way you do. You don't remember learning it either. They don't remember asking.",37
BEAT_06_03,CALLBACK_CLOSE,CALLBACK,BITTERSWEET,"By the time you leave, it never happened. It looks right. You don't know why. Memory dissolution.","By the time you leave, it never happened. You step back. You look at the scene. It looks right. You don't know why. You read a report from last year. Your handwriting. Every detail precise. You cannot tell which ones are real.",40
BEAT_06_04,CALLBACK_CLOSE,CALLBACK,BITTERSWEET,"Phone rings. Gloves. Don't ask what happened. Haven't asked in years. Only what it needs to look like.","The phone rings. Same voice. Same fear. Same silence before they say what happened. You are already reaching for the gloves. You don't ask what happened. You haven't asked in years. It doesn't matter what happened. Only what it needs to look like.",42
BEAT_06_05,CALLBACK_CLOSE,CTA,CLARITY,"You arrive second. You always do. You don't remember what 'it' was anymore.","You arrive second. You always do. By the time you leave, it never happened. You don't remember what it was anymore.",20
