Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"You arrive second. The gloves go on before you step out of the car.",WONDER,18,TEXT_OVERLAY,"Stickman cop silhouette at car door, pulling on latex gloves, crime scene tape in background, weight line overlay"
BEAT_01_02,HOOK,ESTABLISH,"Thirty-seven scenes. Not one question.",WONDER,18,NARRATIVE_SCENE,"Cop walking toward crime scene at night, flashlight on vest, badge on belt, number 37 implied through stacked report files"
BEAT_01_03,HOOK,ESTABLISH,"By the time you leave, it never happened.",WONDER,18,TEXT_OVERLAY,"Cop walking away from cleared scene, gloves peeling off, scene behind looks untouched, signature line overlay"
BEAT_02_01,PHASE_EARLY,ESTABLISH,"First patrol week. You see a cop kick a gun closer to the body. You say nothing. Silence is the first clean.",WONDER,25,NARRATIVE_SCENE,"Night scene: senior cop kicking gun toward body outline, rookie cop watching from distance, frozen, mouth closed"
BEAT_02_02,PHASE_EARLY,CONSTRAINT,"Senior cop pulls you aside. Shows you how to read a scene. Not for evidence. For problems.",TENSION,25,NARRATIVE_SCENE,"Senior cop in wrinkled jacket pointing at scene details with flashlight, teaching rookie what to look for, conspiratorial lean"
BEAT_02_03,PHASE_EARLY,REFLECT,"You watch your first clean by someone else. Hands move. Eyes follow. You have not touched anything. You have not done anything. But you know.",TENSION,25,NARRATIVE_SCENE,"Rookie watching senior cop move evidence, close on rookie's eyes tracking hand movements, learning posture"
BEAT_02_04,PHASE_EARLY,REFLECT,"You don't touch anything. But you don't report it either.",TENSION,20,EMOTIONAL_CLOSEUP,"Close on rookie cop's face, tense expression, walking away from scene, looking back once, point of no return"
BEAT_03_01,PHASE_CONFLICT,CONFLICT,"First time cleaning yourself. Simple scene. The hands are up. Palms open. That is not self-defense. You reposition them. One on the waistband. One reaching.",TENSION,25,NARRATIVE_SCENE,"Cop kneeling at scene, victim outline with hands palms-up, cop repositioning hands to waistband and reaching position, gloves on"
BEAT_03_02,PHASE_CONFLICT,CONFLICT,"Tell me again. Start from when you arrived. Not from when it started. Third try. The story holds.",TENSION,22,NARRATIVE_SCENE,"Precinct hallway: cop coaching uniformed officer through statement, officer restarting story, third attempt, cop nodding"
BEAT_03_03,PHASE_CONFLICT,REFLECT,"Report filed. Scene cleared. You wait for someone to question it. No one does.",TENSION,22,NARRATIVE_SCENE,"Cop at desk filing report, empty hallway behind, no one approaching, system silence"
