Beat_ID,Life_Phase,Beat_Type,Content_Sketch,Mood_Tag,Beat_Duration_Sec,Scene_Type,Illustration_Note
BEAT_01_01,HOOK,ESTABLISH,"Screen showing crypto prices. $26B net worth. Numbers climbing. Then falling. $0. Seventy-two hours.",TENSION,28,NARRATIVE_SCENE,"Laptop screen with price charts crashing. Green to red. Numbers dissolving."
BEAT_01_02,HOOK,CONSTRAINT,"Cargo shorts in federal courtroom. You hear the sentence. Self-justification: you thought you could fix it before anyone noticed.",TENSION,32,CONTRAST_SPLIT,"Split: left cargo shorts at exchange; right suit in courtroom. Same stickman."
BEAT_01_03,HOOK,ESTABLISH,"You gambled with eight million people's money. And you lost. The weight of that number.",DREAD,24,TEXT_OVERLAY,"Bold white text on black. Scale of betrayal stated."
BEAT_02_01,PHASE_EARLY,ESTABLISH,"Growing up on university campus. Two professors for parents. Books everywhere. Dinner is a debate. You are the smartest kid in every room - but you cannot connect with anyone.",WONDER,38,NARRATIVE_SCENE,"Child stickman at dinner table with two professor stickmen (faceless). Books stacked. Academic warmth."
BEAT_02_02,PHASE_EARLY,REFLECT,"You discover a philosophy: earn as much as possible - then give it all away. For the first time everything makes sense. Purpose found. The dangerous belief takes root.",WONDER,42,NARRATIVE_SCENE,"Teen stickman reading book. Lightbulb moment. Philosophy text visible. Warm idealistic glow."
BEAT_02_03,PHASE_EARLY,ESTABLISH,"Internship at Wall Street trading desk. Learning arbitrage. Suits and ties and money moving in milliseconds. You realize crypto has bigger gaps - wider spreads - free money sitting uncollected.",TENSION,40,NARRATIVE_SCENE,"Young adult stickman at trading desk screens. Suit environment. Then looking at crypto charts on phone."
BEAT_02_04,PHASE_EARLY,TIME_MARKER,"Age twenty-five. You quit. Start trading firm in cramped apartment. Mattresses on floor. Screens everywhere. You are not building a company. You are building a machine to save the world.",LONGING,36,TIME_SKIP_SCENE,"Two panels: left suit at Wall Street desk; right T-shirt in cramped apartment with mattresses and screens."
BEAT_03_01,PHASE_CONFLICT,ESTABLISH,"The trading firm makes hundreds of millions from crypto arbitrage. You are proving the philosophy right. Earning to give. The numbers validate everything.",TENSION,32,NARRATIVE_SCENE,"Multiple screens showing profits. Stickman with wild curly hair watching numbers climb. Green glow."
BEAT_03_02,PHASE_CONFLICT,ESTABLISH,"You build your own exchange on a Caribbean island. Age twenty-seven. Penthouse costs forty million. Ten people live there - work there - date each other. You call it optimizing. Not luxury.",TENSION,40,NARRATIVE_SCENE,"Island penthouse interior. Beanbags. Screens. Multiple stickmen living and working. Tropical through windows."
BEAT_03_03,PHASE_CONFLICT,CONFLICT,"Investors pour in. Four hundred million. Then two billion. Congress invites you to testify about regulation. They praise you. You play video games during board calls - not because you do not care - because you think faster than everyone in the room.",TENSION,44,NARRATIVE_SCENE,"Congressional hearing room. Stickman with curly hair at witness table. Senators (faceless) nodding. Then gaming during video call."
