Beat_ID,Life_Phase,Beat_Type,Mood_Tag,Content_Sketch,VO_Draft_EN,Word_Count
BEAT_01_01,HOOK,ESTABLISH,TENSION,"Screen showing crypto prices. $26B net worth. Numbers climbing. Then falling. $0. Seventy-two hours.","The number on the screen says twenty-six billion. It is the largest number you have ever seen attached to your name. You don't think of it as real. You think of it as proof. Proof you were right about everything. Seventy-two hours from now, that number will be zero.",51
BEAT_01_02,HOOK,CONSTRAINT,TENSION,"Cargo shorts in federal courtroom. Self-justification: you thought you could fix it before anyone noticed.","You are standing in a federal courtroom. You are wearing a suit someone else picked out. Three years ago you wore cargo shorts to a congressional hearing. You didn't think you were gambling. You thought you could fix it before anyone noticed.",41
BEAT_01_03,HOOK,ESTABLISH,DREAD,"You gambled with eight million people's money. And you lost.","You gambled with eight million people's money. And you lost.",11
BEAT_02_01,PHASE_EARLY,ESTABLISH,WONDER,"Growing up on university campus. Two professors for parents. You are the smartest kid in every room but cannot connect with anyone.","You grow up on a university campus. Your parents are both professors. Law. The most elite school in the country. Dinner is a debate. Breakfast is a correction. You are the smartest kid in every room you walk into. And you cannot connect with a single person in any of them.",47
BEAT_02_02,PHASE_EARLY,REFLECT,WONDER,"You discover the philosophy: earn as much as possible then give it all away. Purpose found. Dangerous belief takes root.","You are fourteen. You find a philosophy that changes everything. Earn as much money as you possibly can. Then give it all away. Not some. All. The math is simple. If you make enough money, you can save more lives than any doctor. More than any politician. More than anyone. The purpose isn't money. The purpose is maximizing impact. That sentence will follow you to a courtroom.",63
BEAT_02_03,PHASE_EARLY,ESTABLISH,TENSION,"Internship at Wall Street. Learning arbitrage. Crypto has bigger gaps.","You get a job at a trading desk on Wall Street. Suits. Ties. Money moving in fractions of a second. You learn that money has cracks. Tiny differences between what something costs here and what it costs there. Arbitrage. You are good at finding the cracks. Then you notice something. Crypto has wider cracks. Much wider. Money sitting there. Uncollected.",57
BEAT_02_04,PHASE_EARLY,TIME_MARKER,LONGING,"Age twenty-five. Quit. Start trading firm in cramped apartment. Building a machine to save the world.","You are twenty-five. You quit. You rent an apartment. Mattresses on the floor. Screens on every surface. You are not building a company. You are building a machine to save the world. At least that is what you tell yourself.",39
BEAT_03_01,PHASE_CONFLICT,ESTABLISH,TENSION,"Trading firm makes hundreds of millions. Proving the philosophy right.","The trading firm makes hundreds of millions in its first year. Arbitrage. The cracks in the market. You are proving the philosophy right. Earn to give. Every dollar is a future life saved. The numbers validate everything you believe.",38
BEAT_03_02,PHASE_CONFLICT,ESTABLISH,TENSION,"Build exchange on Caribbean island. Age twenty-seven. Penthouse. Ten people live and work there. You call it optimizing.","You are twenty-seven. You build your own exchange. Not on Wall Street. On an island. The Caribbean. The penthouse costs forty million dollars. Ten people live there. They also work there. Some of them are dating each other. You call it optimizing. Not luxury. Optimizing.",42
BEAT_03_03,PHASE_CONFLICT,CONFLICT,TENSION,"Investors pour in. Congress praises you. You play games during board calls because you think faster than everyone.","The biggest investors in the world pour money in. Four hundred million. Then two billion. Congress invites you to testify. They call you responsible. They call you the adult in the room. You play video games during board calls. Not because you don't care. Because you think faster than everyone on the screen.",51
