Strip_ID,Start_VO_ID,End_VO_ID,VO_Count,Life_Phase,Scene_Type,Duration_Sec,Strip_Summary
PV_0014_001,1,2,2,HOOK,POV_SHOT,8.8,"Laptop screen showing $26B figure glowing in dark room. Largest number ever."
PV_0014_002,3,5,3,HOOK,NARRATIVE_SCENE,9.8,"Subject gazing at screen. Not seeing money - seeing validation of everything."
PV_0014_003,6,7,2,HOOK,POV_SHOT,10.2,"Bold countdown text '72 HOURS' against digital timer. Zero approaching."
PV_0014_004,8,8,1,HOOK,TEXT_OVERLAY,3.8,"You just don't know that yet."
PV_0014_005,9,11,3,HOOK,POV_SHOT,9.3,"Stickman in ill-fitting suit standing in bright federal courtroom. Rigid posture."
PV_0014_006,12,14,3,HOOK,NARRATIVE_SCENE,9.2,"Stickman in cargo shorts at congressional podium. Suited officials watching."
PV_0014_007,15,16,2,HOOK,NARRATIVE_SCENE,5.6,"Nobody thought that was a problem."
PV_0014_008,17,17,1,HOOK,TEXT_OVERLAY,6.2,"You thought you could fix it before anyone noticed."
PV_0014_009,18,19,2,HOOK,TEXT_OVERLAY,6.6,"You gambled with eight million people's money. And you lost."
PV_0014_010,20,24,5,PHASE_EARLY,NARRATIVE_SCENE,7.8,"University campus, tree-lined paths, faculty housing. Child stickman with books."
PV_0014_011,25,28,4,PHASE_EARLY,NARRATIVE_SCENE,9.7,"Family dinner table. Two professor parents, child between them. Debate in progress."
PV_0014_012,29,31,3,PHASE_EARLY,NARRATIVE_SCENE,10.7,"Classroom. Child stickman finishing test first while others still writing."
PV_0014_013,32,34,3,PHASE_EARLY,NARRATIVE_SCENE,10.6,"Stickman reading textbook at desk. Teacher at board turning away, corrected."
PV_0014_014,35,36,2,PHASE_EARLY,NARRATIVE_SCENE,10.2,"Cafeteria. Another kid approaching subject's lonely corner table uncertainly."
PV_0014_015,37,39,3,PHASE_EARLY,NARRATIVE_SCENE,10.3,"Stickman walking away from cafeteria alone. Empty tray behind. Isolation visible."
PV_0014_016,40,42,3,PHASE_EARLY,NARRATIVE_SCENE,8.3,"Split: left side messy social scene; right side clean equations on chalkboard."
PV_0014_017,43,45,3,PHASE_EARLY,TIME_SKIP_SCENE,9.3,"Teen stickman at desk, reading philosophy website at 2am. Blue screen glow."
PV_0014_018,46,48,3,PHASE_EARLY,NARRATIVE_SCENE,9.2,"Bedroom at night. Website text glowing: money flowing toward charitable causes."
PV_0014_019,49,51,3,PHASE_EARLY,NARRATIVE_SCENE,9.8,"Infographic: dollar sign connected to malaria net icons. Clean math equation."
PV_0014_020,52,54,3,PHASE_EARLY,NARRATIVE_SCENE,6.5,"Comparison scale: stickman figure towering over doctor and politician icons."
PV_0014_021,55,56,2,PHASE_EARLY,NARRATIVE_SCENE,10.7,"Stickman at desk, numbers and morality arrows converging. Golden light moment."
PV_0014_022,57,59,3,PHASE_EARLY,NARRATIVE_SCENE,8.9,"Text forming in warm light: 'MAXIMIZING IMPACT'. Faint courtroom shadow behind."
PV_0014_023,60,60,1,PHASE_EARLY,NARRATIVE_SCENE,3.8,"Subject silhouetted in doorway. Bright path ahead, unseen shadow behind."
PV_0014_024,61,63,3,PHASE_EARLY,NARRATIVE_SCENE,8.3,"Graduation scene. Stickman in cap and gown walking away from university gates."
PV_0014_025,64,68,5,PHASE_EARLY,NARRATIVE_SCENE,10.2,"Wall Street trading floor. Rows of monitors, suited figures. Subject at desk."
PV_0014_026,69,71,3,PHASE_EARLY,NARRATIVE_SCENE,8.3,"Market visualization showing price gaps between exchanges. Subject finding cracks."
PV_0014_027,72,75,4,PHASE_EARLY,NARRATIVE_SCENE,9.7,"Subject at trading desk, wrists flat on cold surface. Outperforming room."
