VO_ID,Episode_ID,Beat_ID,Life_Phase,Beat_Type,VO_Type,VO_EN,VO_VI,Word_Count_EN,Pause_After
1,PV_0027,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You never arrest people.","Ban khong bao gio bat nguoi.",4,0.5
2,PV_0027,BEAT_01_01,HOOK,ESTABLISH,WEIGHT_LINE,"You collect them.","Ban thu thap ho.",3,2.0
3,PV_0027,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Right now there are fourteen names on your phone.","Ngay luc nay co muoi bon cai ten trong dien thoai cua ban.",9,0.5
4,PV_0027,BEAT_01_02,HOOK,ESTABLISH,NARRATION,"Six of them exist on paper. The department knows about those.","Sau trong so do ton tai tren giay to. So chi biet ve nhung nguoi do.",10,0.5
5,PV_0027,BEAT_01_02,HOOK,ESTABLISH,WEIGHT_LINE,"The rest don't exist at all.","Nhung nguoi con lai khong ton tai.",6,1.5
6,PV_0027,BEAT_01_03,HOOK,ESTABLISH,NARRATION,"Same charge. Different outcome.","Cung mot toi danh. Ket qua khac nhau.",4,0.5
7,PV_0027,BEAT_01_03,HOOK,ESTABLISH,WEIGHT_LINE,"Your choice.","Ban quyet dinh.",2,2.0
8,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"They teach you about confidential informants in the academy.","Ho day ban ve nguon tin mat tai hoc vien.",9,0.5
9,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"There's a whole briefing on it. PowerPoint slides. Protocol charts on the wall.","Co ca mot buoi thuyet trinh. Slide PowerPoint. Bieu do quy trinh tren tuong.",13,0.5
10,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"The instructor calls them assets.","Giang vien goi ho la tai san.",5,0.5
11,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Asset management. Asset deployment. Asset protection.","Quan ly tai san. Trien khai tai san. Bao ve tai san.",6,0.5
12,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You write it down like it's a vocabulary test. Neat rows. Clean definitions.","Ban ghi lai nhu dang lam bai kiem tra tu vung. Hang thang tap. Dinh nghia sach se.",13,0.5
13,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"It sounds clean. Organized.","Nghe sach se. Co he thong.",4,0.5
14,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,WEIGHT_LINE,"Nobody mentions the word people.","Khong ai nhac den tu con nguoi.",5,0.5
14b,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"You walk out of the briefing room and the hallway smells like floor cleaner and burnt coffee.","Ban buoc ra khoi phong hop va hanh lang co mui nuoc lau san va ca phe chay.",16,0.5
14c,PV_0027,BEAT_02_01,PHASE_EARLY,ESTABLISH,NARRATION,"Somebody left a paper cup on the windowsill. You don't pick it up.","Ai do de coc giay tren be cua so. Ban khong nhat.",12,1.0
15,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"First patrol.","Ca tuan tra dau tien.",2,0.5
16,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"You arrest a guy with half a gram tucked in his coat lining. Tuesday afternoon, outside a liquor store.","Ban bat mot ga voi nua gram nhet trong lot ao. Chieu thu Ba, truoc cua hang ruou.",18,0.5
17,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Book him. Process him. Photograph him standing against the wall. File the report.","Ghi so. Xu ly. Chup anh dung truoc tuong. Lap bao cao.",12,0.5
18,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Takes you an hour and a half for the paperwork alone.","Mat mot tieng ruoi chi rieng giay to.",10,0.5
19,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"By the time you're done, the shift's almost over. One arrest. That's your whole day.","Luc ban xong thi ca truc gan het. Mot vu bat. Do la ca ngay cua ban.",14,0.5
20,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,NARRATION,"Your sergeant looks at the whiteboard. Scans the column with your name on it.","Trung si nhin len bang trang. Luot cot co ten ban.",12,0.5
21,PV_0027,BEAT_02_22,PHASE_EARLY,TIME_MARKER,NARRATION,"He doesn't say anything. Doesn't even look at you.","Ong ta khong noi gi. Khong them nhin ban.",8,0.5
22,PV_0027,BEAT_02_02,PHASE_EARLY,TIME_MARKER,WEIGHT_LINE,"But you hear it.","Nhung ban nghe ro.",4,1.0
23,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"A detective pulls you aside after the next shift.","Mot tham tu keo ban ra mot goc sau ca tiep theo.",8,0.5
24,PV_0027,BEAT_02_03,PHASE_EARLY,CONSTRAINT,NARRATION,"Senior guy. Fifteen years in narcotics. Jacket so wrinkled it looks like he slept in it.","Dan anh. Muoi lam nam trong doi ma tuy. Ao khoac nhan nhum nhu ngu trong do.",14,0.5
