Slate,Start_VO_ID,End_VO_ID,Life_Phase,Scene_Type,Image_Prompt
PV_0003_001,1,2,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Tall fit stickman with salt-and-pepper short neat hair close-cropped on sides, dark suit, flag lapel pin, dog tags chain visible at open collar. Clean-shaven strong jawline circle head. Small hazel-green dot eyes. Military-straight expression. Seated at briefing table inside five-sided building  -  massive screens on every wall showing different war zones, tactical maps, satellite feeds. Blue-lit Pentagon war room interior. Rigid military posture despite civilian suit. Age 45. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_002,3,4,HOOK,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Split visualization  -  left side: small group of thirty tiny stickmen soldiers in formation (a platoon). Right side: massive sea of three million tiny stickmen stretching to horizon. Tall fit stickman with salt-and-pepper short neat hair, dark suit, dog tags chain at neck standing between both groups. Clean-shaven strong jawline circle head. Small hazel-green dot eyes. Military-straight expression. Scale contrast  -  thirty vs three million. Dark background with spotlight. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_003,5,6,HOOK,TEXT_OVERLAY,"Dark charcoal background. Large bold white sans-serif text centered: 'That's the price of loyalty.' Smaller secondary text below: 'Theirs and yours.' Flat design, premium typography. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_004,7,7,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Small boy stickman with short brown neat hair, varsity jacket, jeans. White circle head, small dot eyes. Small lakeside town in Minnesota  -  wooden dock stretching into calm lake, pine trees, small-town houses with white fences. Father stickman nearby: medium height, slightly stocky build, short gray thinning hair, warm stern dot eyes with slight smile line, red coaching jacket, whistle on lanyard around neck, coaching clipboard in hand. Warm golden afternoon light. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_005,8,8,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Dinner table scene  -  small family of four stickmen around wooden table. Father stickman: medium stocky build, short gray thinning hair, warm stern dot eyes with slight smile line, red polo, hands clasped in prayer. Mother stickman (faceless, blank white circle head) correcting mid-prayer. Small boy stickman with short brown hair, white circle head, small dot eyes, sitting straight. Modest kitchen interior, casserole on table, cross on wall. Warm domestic lighting. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_006,9,9,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Father stickman: medium stocky build, short gray thinning hair, warm stern dot eyes with slight smile line, red coaching jacket, whistle on lanyard around neck, coaching clipboard in hand. Standing on basketball court sideline in high school gymnasium. Polished hardwood floor, bleachers, scoreboard. Coaching stance  -  pointing, directing. Gym smelling of floor wax atmosphere. Warm gymnasium lighting. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_007,10,10,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Small boy stickman with short brown hair, white circle head, small dot eyes, sitting on gymnasium bleacher  -  basketball shoes squeaking on floor below, players as tiny faceless stickmen running. Father stickman on sideline: medium stocky build, short gray thinning hair, warm stern dot eyes, red coaching jacket with clipboard and whistle on lanyard. High school gym interior. Boy absorbing everything. Warm lighting from overhead gym lights. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_008,11,11,PHASE_EARLY,EMOTIONAL_CLOSEUP,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Mother stickman (faceless, blank white circle head, professional dress)  -  commanding posture, hands on hips, speaking with authority. Morning kitchen before breakfast. Sharp certain voice implied by speech lines radiating outward. Background fades from kitchen on one side to pure white opposite. Warm amber glow at edges. Flat illustration. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_009,12,13,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Triptych layout  -  three connected scenes. Left: white church with steeple, boy stickman (short brown hair, white circle head, small dot eyes) in Sunday clothes entering with family. Center: football field with boy stickman in jersey catching ball, autumn leaves falling. Right: snow-covered houses and bare trees, boy stickman building snow fort. Small-town Minnesota seasons. Warm nostalgic palette. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
PV_0003_010,14,14,PHASE_EARLY,NARRATIVE_SCENE,"Simple stickman character with oversized round white circle head. Body drawn with thin black lines. Clothing as simple flat-colored shapes (no detail, no folds, no shading). Character is deliberately simple  -  contrast against highly detailed, semi-realistic painted background environment. Small-town street  -  houses with unlocked doors, picket fences, American flags on porches, kids' bikes on lawns. Boy stickman with short brown hair, white circle head, small dot eyes, walking down sidewalk. Idyllic Americana. Something worth defending implied in every detail. Warm golden-hour sunlight. Flat illustration, clean lines. --no realistic human faces, no complex facial features, no detailed clothing folds, no body shading on stickman characters, no 3D render on characters, no anime style, no chibi proportions, no filled body volume, no oversized main character"
