"VO_ID","Episode_ID","Beat_ID","Life_Phase","Beat_Type","VO_Type","VO_EN","VO_JA","VO_VI","Word_Count_EN","Pause_After"
"1","PV_0003","BEAT_01_01","HOOK","ESTABLISH","NARRATION","The room has five sides. You've counted them.","部屋には五つの辺がある。あなたは数えた。","Căn phòng có năm cạnh. Bạn đã đếm.","9","0"
"2","PV_0003","BEAT_01_01","HOOK","ESTABLISH","NARRATION","Every wall has a screen. Every screen has a war.","すべての壁にスクリーン。すべてのスクリーンに戦争。","Mỗi bức tường có một màn hình. Mỗi màn hình có một cuộc chiến.","10","0.5"
"3","PV_0003","BEAT_01_02","HOOK","CONSTRAINT","NARRATION","The last time you led men, there were thirty of them.","最後に人を率いたとき、三十人だった。","Lần cuối bạn chỉ huy, có ba mươi người.","11","0"
"4","PV_0003","BEAT_01_02","HOOK","CONSTRAINT","WEIGHT_LINE","Now it's three million.","今は三百万だ。","Giờ là ba triệu.","5","1.5"
"5","PV_0003","BEAT_01_03","HOOK","REFLECT","NARRATION","Nobody in this building wanted you here.","この建物の誰もあなたを望んでいなかった。","Không ai trong toà nhà này muốn bạn ở đây.","8","0"
"6","PV_0003","BEAT_01_03","HOOK","REFLECT","WEIGHT_LINE","That's the price of loyalty. Theirs and yours.","それが忠誠の代償だ。彼らの、そしてあなたの。","Đó là cái giá của lòng trung thành. Của họ và của bạn.","9","2.0"
"7","PV_0003","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","You grow up in a small town on a lake in Minnesota.","ミネソタ州の湖畔の小さな町で育つ。","Bạn lớn lên ở một thị trấn nhỏ ven hồ ở Minnesota.","12","1.0"
"8","PV_0003","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Dinner is at six. Your father says grace. Your mother corrects his grammar mid-prayer. Nobody laughs. That's just how it is.","夕食は六時。父が祈りを唱える。母が祈りの途中で文法を直す。誰も笑わない。ただそういうものだ。","Ăn tối lúc sáu giờ. Cha đọc kinh. Mẹ sửa ngữ pháp giữa chừng. Không ai cười. Chuyện bình thường.","20","0.5"
"9","PV_0003","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your father coaches basketball at the high school. Your mother teaches women how to lead.","父は高校でバスケを教える。母は女性にリーダーシップを教える。","Cha bạn dạy bóng rổ ở trường cấp ba. Mẹ bạn dạy phụ nữ cách lãnh đạo.","14","0"
"10","PV_0003","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","The gym smells like floor wax and sweat. You know every squeak of every shoe.","体育館は床ワックスと汗の匂い。靴のきしみを全部知っている。","Phòng gym mùi sáp sàn và mồ hôi. Bạn thuộc mọi tiếng giày kêu.","14","0.5"
"11","PV_0003","BEAT_02_01","PHASE_EARLY","TIME_MARKER","NARRATION","Your mother's voice carries through the house before breakfast. Sharp. Certain. Like she's briefing staff.","母の声が朝食前に家中に響く。鋭く。確信を持って。まるでスタッフへの指示のように。","Giọng mẹ vang khắp nhà trước bữa sáng. Sắc. Chắc chắn. Như đang briefing nhân viên.","15","0"
"12","PV_0003","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","Church on Sundays. Football in the fall. Snow on everything else.","日曜は教会。秋はフットボール。それ以外は全部雪。","Nhà thờ ngày chủ nhật. Football mùa thu. Tuyết phủ mọi thứ còn lại.","10","0"
"13","PV_0003","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","It's the kind of town where people leave their doors unlocked.","鍵をかけない類の町だ。","Kiểu thị trấn mà người ta không khoá cửa.","11","0"
"14","PV_0003","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","You don't know it yet, but you'll spend the rest of your life defending what this town means.","まだ知らないが、この町の意味を一生守り続けることになる。","Bạn chưa biết, nhưng bạn sẽ dành cả đời bảo vệ ý nghĩa của thị trấn này.","18","0.5"
"15","PV_0003","BEAT_02_02","PHASE_EARLY","PRIVILEGE","NARRATION","Norwegian heritage. Everyone on the block traces back to the same sort of country. Same sort of God.","ノルウェーの血。同じブロックの誰もが同じような国に遡る。同じような神。","Gốc Na Uy. Ai trong khu phố cũng cùng loại quê hương. Cùng loại Chúa.","16","0.5"
"16","PV_0003","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","You are eighteen. Class valedictorian.","十八歳。クラスの首席。","Bạn mười tám tuổi. Thủ khoa.","6","1.0"
"17","PV_0003","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","A letter arrives from an Ivy League school in New Jersey. Full acceptance.","ニュージャージーのアイビーリーグから手紙が届く。合格通知。","Thư từ trường Ivy League ở New Jersey đến. Chấp nhận hoàn toàn.","12","0"
"18","PV_0003","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","The protests are loud but they make you louder. You learn something about yourself here: pushback is fuel.","抗議は激しいが、あなたをもっと激しくする。ここで自分について学ぶ：反発は燃料だ。","Phản đối ồn ào nhưng khiến bạn ồn hơn. Bạn học được điều này: sự chống đối là nhiên liệu.","15","0.5"
"19","PV_0003","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","Your father says nothing at the dinner table. He just nods.","父は夕食の席で何も言わない。ただうなずく。","Cha không nói gì ở bàn ăn. Chỉ gật đầu.","11","0"
"20","PV_0003","BEAT_02_03","PHASE_EARLY","TIME_MARKER","NARRATION","That nod stays with you a long time.","そのうなずきは長く残る。","Cái gật đầu đó ở lại rất lâu.","8","0.5"
"21","PV_0003","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","At the university, you start a conservative newspaper.","大学で保守系の新聞を立ち上げる。","Ở đại học, bạn lập một tờ báo bảo thủ.","7","0"
"22","PV_0003","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","Most students don't read it. Some protest it. A few try to shut it down.","ほとんどの学生は読まない。抗議する者もいる。潰そうとする者もいる。","Đa số sinh viên không đọc. Một số phản đối. Vài người muốn đóng nó.","13","0"
"23","PV_0003","BEAT_02_04","PHASE_EARLY","CONSTRAINT","NARRATION","You keep printing.","刷り続ける。","Bạn vẫn in.","3","0"
"24","PV_0003","BEAT_02_04","PHASE_EARLY","CONSTRAINT","WEIGHT_LINE","This is when you start believing you see what other people don't.","ここから、自分だけが見えていると信じ始める。","Đây là lúc bạn bắt đầu tin rằng mình thấy thứ người khác không thấy.","13","1.5"
"25","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","You join ROTC. You wear the uniform across a civilian campus.","ROTCに入る。民間人のキャンパスを軍服で歩く。","Bạn tham gia ROTC. Mặc quân phục giữa sân trường dân sự.","11","0"
"26","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","People look at you differently now. Some with respect. More with confusion.","人々の目が変わる。尊敬もあれば、困惑の方が多い。","Người ta nhìn bạn khác đi. Một số kính trọng. Nhiều hơn là khó hiểu.","11","0"
"27","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","You like that.","それが好きだ。","Bạn thích vậy.","3","0.5"
"28","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","At graduation, you get a degree in politics and a commission as a second lieutenant.","卒業時、政治学の学位と少尉の任官を得る。","Tốt nghiệp, bạn nhận bằng chính trị học và quân hàm thiếu uý.","13","0"
"29","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","You study politics by day, learn to disassemble a rifle by afternoon.","昼は政治を学び、午後にはライフルの分解を学ぶ。","Ban ngày học chính trị, chiều học tháo súng trường.","10","0"
"30","PV_0003","BEAT_02_05","PHASE_EARLY","CONFLICT","NARRATION","Two paths. Same day. You take both.","二つの道。同じ日。あなたは両方選ぶ。","Hai con đường. Cùng ngày. Bạn chọn cả hai.","7","2.0"
"31","PV_0003","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","You are twenty-four. Your first deployment.","二十四歳。初めての配備。","Bạn hai mươi bốn tuổi. Lần triển khai đầu tiên.","6","1.0"
"32","PV_0003","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","The offshore military prison. Chain-link fences stretching into Caribbean blue.","海外の軍事刑務所。カリブの青に伸びる金網フェンス。","Nhà tù quân sự hải ngoại. Hàng rào kẽm kéo dài vào màu xanh Caribbean.","10","0"
"33","PV_0003","BEAT_03_02","PHASE_CONFLICT","CONFLICT","NARRATION","The smell of diesel and copper. That's Baghdad. Not the buildings. Not the maps. The smell.","ディーゼルと銅の匂い。それがバグダッドだ。建物でもなく、地図でもなく、匂い。","Mùi dầu diesel và đồng. Đó là Baghdad. Không phải toà nhà. Không phải bản đồ. Mùi.","14","0"
"34","PV_0003","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","You guard detainees. You watch them and they watch you.","拘留者を監視する。あなたは彼らを見て、彼らもあなたを見る。","Bạn canh giữ tù nhân. Bạn nhìn họ và họ nhìn bạn.","10","0"
"35","PV_0003","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","The heat is the thing you remember most. Not the faces.","一番覚えているのは暑さだ。顔ではない。","Cái nóng là thứ bạn nhớ nhất. Không phải những khuôn mặt.","12","0.5"
"36","PV_0003","BEAT_03_01","PHASE_CONFLICT","TIME_MARKER","NARRATION","At night it's quiet except for the generators and the sound of someone praying through the wire.","夜は発電機の音と、金網越しの誰かの祈りの声以外は静かだ。","Ban đêm im lặng, trừ tiếng máy phát và tiếng ai đó cầu nguyện qua hàng rào.","17","0.5"
"37","PV_0003","BEAT_03_02","PHASE_CONFLICT","CONFLICT","NARRATION","Iraq. Baghdad. Samarra. You're an infantry platoon leader now.","イラク。バグダッド。サマラ。歩兵小隊長だ。","Iraq. Baghdad. Samarra. Bạn giờ là trung đội trưởng bộ binh.","8","0"
"38","PV_0003","BEAT_03_02","PHASE_CONFLICT","CONFLICT","NARRATION","Convoys through dust. Checkpoints where anything can happen and sometimes does.","砂埃の中の車列。何が起きてもおかしくない検問所。","Đoàn xe qua bụi. Trạm kiểm soát nơi mọi thứ có thể xảy ra.","10","0"
"39","PV_0003","BEAT_03_04","PHASE_CONFLICT","CONFLICT","NARRATION","You shake hands with people who don't know your name and won't remember it tomorrow.","名も知らず明日には忘れる人々と握手する。","Bạn bắt tay với người không biết tên bạn và ngày mai sẽ quên.","13","0"
"40","PV_0003","BEAT_03_02","PHASE_CONFLICT","CONFLICT","NARRATION","You earn two Bronze Stars. The citations are specific. The memories are blurrier.","ブロンズスター二つ。表彰状は具体的。記憶はもっとぼやけている。","Bạn nhận hai Ngôi Sao Đồng. Trích dẫn cụ thể. Ký ức thì mờ hơn.","12","0"
